"level" "taxa" "taxashort" "hex" "R" "G" "B" "taxaSilva" "taxaSilvaCorrected"
"3" "k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]" "[Chloracidobacteria]" "#00FFC1" "0" "1" "0.758620689655172" "Bacteria.Acidobacteria.[Chloracidobacteria]" "Bacteria.Acidobacteria.[Chloracidobacteria]"
"3" "k__Bacteria;p__Acidobacteria;c__iii1-8" "iii1-8" "#008495" "0" "0.517241379310345" "0.586206896551724" "Bacteria.Acidobacteria.iii1-8" "Bacteria.Acidobacteria.iii1-8"
"3" "k__Bacteria;p__Actinobacteria;c__Acidimicrobiia" "Acidimicrobiia" "#00007B" "0" "0" "0.482758620689655" "Bacteria.Actinobacteria.Acidimicrobiia" "Bacteria.Actinobacteria.Acidimicrobiia"
"3" "k__Bacteria;p__Actinobacteria;c__Actinobacteria" "Actinobacteria" "#95D34F" "0.586206896551724" "0.827586206896552" "0.310344827586207" "Bacteria.Actinobacteria.Actinobacteria" "Bacteria.Actinobacteria.Actinobacteria"
"3" "k__Bacteria;p__Actinobacteria;c__Coriobacteriia" "Coriobacteriia" "#F69EDC" "0.96551724137931" "0.620689655172414" "0.862068965517241" "Bacteria.Actinobacteria.Coriobacteriia" "Bacteria.Actinobacteria.Coriobacteriia"
"3" "k__Bacteria;p__Actinobacteria;c__MB-A2-108" "MB-A2-108" "#D312FF" "0.827586206896552" "0.0689655172413793" "1" "Bacteria.Actinobacteria.MB-A2-108" "Bacteria.Actinobacteria.MB-A2-108"
"3" "k__Bacteria;p__Actinobacteria;c__Nitriliruptoria" "Nitriliruptoria" "#7B1A6A" "0.482758620689655" "0.103448275862069" "0.413793103448276" "Bacteria.Actinobacteria.Nitriliruptoria" "Bacteria.Actinobacteria.Nitriliruptoria"
"3" "k__Bacteria;p__Actinobacteria;c__Rubrobacteria" "Rubrobacteria" "#F61261" "0.96551724137931" "0.0689655172413793" "0.379310344827586" "Bacteria.Actinobacteria.Rubrobacteria" "Bacteria.Actinobacteria.Rubrobacteria"
"3" "k__Bacteria;p__Actinobacteria;c__Thermoleophilia" "Thermoleophilia" "#FFC184" "1" "0.758620689655172" "0.517241379310345" "Bacteria.Actinobacteria.Thermoleophilia" "Bacteria.Actinobacteria.Thermoleophilia"
"3" "k__Bacteria;p__Armatimonadetes;c__Armatimonadia" "Armatimonadia" "#232309" "0.137931034482759" "0.137931034482759" "0.0344827586206897" "Bacteria.Armatimonadetes.Armatimonadia" "Bacteria.Armatimonadetes.Armatimonadia"
"3" "k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes" "Chthonomonadetes" "#8DA77B" "0.551724137931034" "0.655172413793103" "0.482758620689655" "Bacteria.Armatimonadetes.Chthonomonadetes" "Bacteria.Armatimonadetes.Chthonomonadetes"
"3" "k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]" "[Fimbriimonadia]" "#F68409" "0.96551724137931" "0.517241379310345" "0.0344827586206897" "Bacteria.Armatimonadetes.[Fimbriimonadia]" "Bacteria.Armatimonadetes.[Fimbriimonadia]"
"3" "k__Bacteria;p__BRC1;c__PRR-11" "PRR-11" "#847200" "0.517241379310345" "0.448275862068966" "0" "Bacteria.BRC1.PRR-11" "Bacteria.BRC1.PRR-11"
"3" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia" "Bacteroidia" "#72F6FF" "0.448275862068966" "0.96551724137931" "1" "Bacteria.Bacteroidetes.Bacteroidia" "Bacteria.Bacteroidetes.Bacteroidia"
"3" "k__Bacteria;p__Bacteroidetes;c__Cytophagia" "Cytophagia" "#9EC1FF" "0.620689655172414" "0.758620689655172" "1" "Bacteria.Bacteroidetes.Cytophagia" "Bacteria.Bacteroidetes.Cytophagia"
"3" "k__Bacteria;p__Bacteroidetes;c__Flavobacteriia" "Flavobacteriia" "#72617B" "0.448275862068966" "0.379310344827586" "0.482758620689655" "Bacteria.Bacteroidetes.Flavobacteriia" "Bacteria.Bacteroidetes.Flavobacteriia"
"3" "k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia" "Sphingobacteriia" "#9E0000" "0.620689655172414" "0" "0" "Bacteria.Bacteroidetes.Sphingobacteriia" "Bacteria.Bacteroidetes.Sphingobacteriia"
"3" "k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]" "[Rhodothermi]" "#004FFF" "0" "0.310344827586207" "1" "Bacteria.Bacteroidetes.[Rhodothermi]" "Bacteria.Bacteroidetes.[Rhodothermi]"
"3" "k__Bacteria;p__Bacteroidetes;c__[Saprospirae]" "[Saprospirae]" "#004695" "0" "0.275862068965517" "0.586206896551724" "Bacteria.Bacteroidetes.[Saprospirae]" "Bacteria.Bacteroidetes.[Saprospirae]"
"3" "k__Bacteria;p__Chlamydiae;c__Chlamydiia" "Chlamydiia" "#D3FF00" "0.827586206896552" "1" "0" "Bacteria.Chlamydiae.Chlamydiia" "Bacteria.Chlamydiae.Chlamydiia"
"3" "k__Bacteria;p__Chloroflexi;c__Anaerolineae" "Anaerolineae" "#B94FD3" "0.724137931034483" "0.310344827586207" "0.827586206896552" "Bacteria.Chloroflexi.Anaerolineae" "Bacteria.Chloroflexi.Anaerolineae"
"3" "k__Bacteria;p__Chloroflexi;c__Chloroflexi" "Chloroflexi" "#3E001A" "0.241379310344828" "0" "0.103448275862069" "Bacteria.Chloroflexi.Chloroflexi" "Bacteria.Chloroflexi.Chloroflexi"
"3" "k__Bacteria;p__Chloroflexi;c__Ellin6529" "Ellin6529" "#EDFFB0" "0.931034482758621" "1" "0.689655172413793" "Bacteria.Chloroflexi.Ellin6529" "Bacteria.Chloroflexi.Ellin6529"
"3" "k__Bacteria;p__Chloroflexi;c__Gitt-GS-136" "Gitt-GS-136" "#FF7B61" "1" "0.482758620689655" "0.379310344827586" "Bacteria.Chloroflexi.Gitt-GS-136" "Bacteria.Chloroflexi.Gitt-GS-136"
"3" "k__Bacteria;p__Chloroflexi;c__S085" "S085" "#46FF7B" "0.275862068965517" "1" "0.482758620689655" "Bacteria.Chloroflexi.S085" "Bacteria.Chloroflexi.S085"
"3" "k__Bacteria;p__Chloroflexi;c__TK10" "TK10" "#12A761" "0.0689655172413793" "0.655172413793103" "0.379310344827586" "Bacteria.Chloroflexi.TK10" "Bacteria.Chloroflexi.TK10"
"3" "k__Bacteria;p__Chloroflexi;c__Thermomicrobia" "Thermomicrobia" "#D3A7A7" "0.827586206896552" "0.655172413793103" "0.655172413793103" "Bacteria.Chloroflexi.Thermomicrobia" "Bacteria.Chloroflexi.Thermomicrobia"
"3" "k__Bacteria;p__Cyanobacteria;c__4C0d-2" "4C0d-2" "#D34F84" "0.827586206896552" "0.310344827586207" "0.517241379310345" "Bacteria.Cyanobacteria.4C0d-2" "Bacteria.Cyanobacteria.4C0d-2"
"3" "k__Bacteria;p__Cyanobacteria;c__Chloroplast" "Chloroplast" "#6A00C1" "0.413793103448276" "0" "0.758620689655172" "Bacteria.Cyanobacteria.Chloroplast" "Bacteria.Cyanobacteria.Chloroplast"
"3" "k__Bacteria;p__Cyanobacteria;c__ML635J-21" "ML635J-21" "#2C6146" "0.172413793103448" "0.379310344827586" "0.275862068965517" "Bacteria.Cyanobacteria.ML635J-21" "Bacteria.Cyanobacteria.ML635J-21"
"3" "k__Bacteria;p__Cyanobacteria;c__Nostocophycideae" "Nostocophycideae" "#0095F6" "0" "0.586206896551724" "0.96551724137931" "Bacteria.Cyanobacteria.Nostocophycideae" "Bacteria.Cyanobacteria.Nostocophycideae"
"3" "k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae" "Oscillatoriophycideae" "#093E4F" "0.0344827586206897" "0.241379310344828" "0.310344827586207" "Bacteria.Cyanobacteria.Oscillatoriophycideae" "Bacteria.Cyanobacteria.Oscillatoriophycideae"
"3" "k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae" "Synechococcophycideae" "#A75809" "0.655172413793103" "0.344827586206897" "0.0344827586206897" "Bacteria.Cyanobacteria.Synechococcophycideae" "Bacteria.Cyanobacteria.Synechococcophycideae"
"3" "k__Bacteria;p__Deferribacteres;c__Deferribacteres" "Deferribacteres" "#72613E" "0.448275862068966" "0.379310344827586" "0.241379310344828" "Bacteria.Deferribacteres.Deferribacteres" "Bacteria.Deferribacteres.Deferribacteres"
"3" "k__Bacteria;p__Firmicutes;c__Bacilli" "Bacilli" "#099500" "0.0344827586206897" "0.586206896551724" "0" "Bacteria.Firmicutes.Bacilli" "Bacteria.Firmicutes.Bacilli"
"3" "k__Bacteria;p__Firmicutes;c__Clostridia" "Clostridia" "#9E6AB9" "0.620689655172414" "0.413793103448276" "0.724137931034483" "Bacteria.Firmicutes.Clostridia" "Bacteria.Firmicutes.Clostridia"
"3" "k__Bacteria;p__Firmicutes;c__Erysipelotrichi" "Erysipelotrichi" "#FFFF72" "1" "1" "0.448275862068966" "Bacteria.Firmicutes.Erysipelotrichi" "Bacteria.Firmicutes.Erysipelotrichi"
"3" "k__Bacteria;p__Fusobacteria;c__Fusobacteriia" "Fusobacteriia" "#A7F6CA" "0.655172413793103" "0.96551724137931" "0.793103448275862" "Bacteria.Fusobacteria.Fusobacteriia" "Bacteria.Fusobacteria.Fusobacteriia"
