r11	r22	rs1	rs2	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	uniqueRatio	sharedRatio
0.95	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.720844723923651	0.917043773559633	1.27217935170288	0.842105263157895	0.25
0.05	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.437134189620948	0.916975541844804	2.09769806072579	19	0.25
0.2	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.511571954382394	0.91699718634573	1.79250871454201	4.75	0.25
0.35	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.567044447657494	0.917009264310414	1.61717351805251	2.71428571428571	0.25
0.5	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.610277389740884	0.917017423962999	1.50262395326878	1.9	0.25
0.65	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.644902002018631	0.917023388784099	1.4219577329791	1.46153846153846	0.25
0.8	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.673197664406254	0.917027965519951	1.36219718814496	1.1875	0.25
0.95	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.696693281623537	0.917031672477498	1.31626311989186	1	0.25
0.05	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.887469048710102	0.917071137172297	1.03335562914022	1	0.142857142857143
0.2	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.889457119996495	0.91707144551774	1.03104626957324	0.25	0.142857142857143
0.35	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.891086595642103	0.917071663042815	1.02916110233034	0.142857142857143	0.142857142857143
0.5	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.892463188563938	0.917071790495332	1.02757380051831	0.1	0.142857142857143
0.65	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.893647915519632	0.917071985367064	1.0262117433954	0.0769230769230769	0.142857142857143
0.8	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.894680997646427	0.917072118926269	1.02502693288306	0.0625	0.142857142857143
0.95	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.895591076319868	0.917072224958957	1.02398544291817	0.0526315789473684	0.142857142857143
0.05	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.877714623984117	0.91707033462026	1.04483884574863	4	0.142857142857143
0.2	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.880943376049664	0.917070682361764	1.0410097939258	1	0.142857142857143
0.35	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.883533930108059	0.917070941719426	1.03795780837445	0.571428571428572	0.142857142857143
0.5	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.885697626152199	0.917071121794057	1.03542235489346	0.4	0.142857142857143
0.65	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.887535156505561	0.917071353989867	1.03327890424149	0.307692307692308	0.142857142857143
0.8	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.88911795989283	0.917071519053815	1.0314396519044	0.25	0.142857142857143
0.95	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.890497375448965	0.917071652483263	1.02984206104021	0.210526315789474	0.142857142857143
0.05	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.86483767440045	0.917069305568781	1.06039472228652	7	0.142857142857143
0.2	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.869742900532178	0.91706974592147	1.05441475332576	1.75	0.142857142857143
0.35	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.873663244299801	0.917070066518394	1.04968369964263	1	0.142857142857143
0.5	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.876890131710802	0.917070322701489	1.04582123750474	0.7	0.142857142857143
0.65	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.879608770800455	0.917070602223643	1.0425891972281	0.538461538461539	0.142857142857143
0.8	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.881932978547995	0.917070807005179	1.03984183527759	0.4375	0.142857142857143
0.95	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.883943986630878	0.917070974783245	1.03747634313191	0.368421052631579	0.142857142857143
0.05	0.5	0.35	0.05	1	1	alldata	TRUE	FALSE	0.849397645577243	0.917068042581277	1.07966868916625	10	0.142857142857143
0.2	0.5	0.35	0.05	1	1	alldata	TRUE	FALSE	0.85621555630471	0.91706860834119	1.07107211681497	2.5	0.142857142857143
0.35	0.5	0.35	0.05	1	1	alldata	TRUE	FALSE	0.861657724979173	0.917069058198086	1.06430782387549	1.42857142857143	0.142857142857143
0.5	0.5	0.35	0.05	1	1	alldata	TRUE	FALSE	0.866145122435945	0.917069362226727	1.05879411945144	1	0.142857142857143
0.65	0.5	0.35	0.05	1	1	alldata	TRUE	FALSE	0.86992059082526	0.917069705332431	1.0541993315303	0.769230769230769	0.142857142857143
0.8	0.5	0.35	0.05	1	1	alldata	TRUE	FALSE	0.873142244935266	0.917069957070542	1.05030991501108	0.625	0.142857142857143
0.95	0.5	0.35	0.05	1	1	alldata	TRUE	FALSE	0.875922412711096	0.917070168090701	1.04697648419824	0.526315789473684	0.142857142857143
0.05	0.65	0.35	0.05	1	1	alldata	TRUE	FALSE	0.832633668460198	0.917066484438888	1.10140451818965	13	0.142857142857143
0.2	0.65	0.35	0.05	1	1	alldata	TRUE	FALSE	0.841312656869857	0.917067221220091	1.09004329571373	3.25	0.142857142857143
0.35	0.65	0.35	0.05	1	1	alldata	TRUE	FALSE	0.848288623779182	0.917067802573091	1.08107992594253	1.85714285714286	0.142857142857143
0.5	0.65	0.35	0.05	1	1	alldata	TRUE	FALSE	0.854069288339816	0.917068200777399	1.0737632336131	1.3	0.142857142857143
0.65	0.65	0.35	0.05	1	1	alldata	TRUE	FALSE	0.858950427790383	0.917068620969453	1.06766187116127	1	0.142857142857143
0.8	0.65	0.35	0.05	1	1	alldata	TRUE	FALSE	0.863126397617865	0.917068936627955	1.06249668549006	0.8125	0.142857142857143
0.95	0.65	0.35	0.05	1	1	alldata	TRUE	FALSE	0.866736488266855	0.917069202322865	1.05807153008714	0.684210526315789	0.142857142857143
0.05	0.8	0.35	0.05	1	1	alldata	TRUE	FALSE	0.815889413615874	0.917064548432053	1.124005941403	16	0.142857142857143
0.2	0.8	0.35	0.05	1	1	alldata	TRUE	FALSE	0.826154651145994	0.917065542078227	1.1100410084312	4	0.142857142857143
0.35	0.8	0.35	0.05	1	1	alldata	TRUE	FALSE	0.834499089024005	0.91706626678353	1.09894220238885	2.28571428571429	0.142857142857143
0.5	0.8	0.35	0.05	1	1	alldata	TRUE	FALSE	0.841461730419179	0.917066787403705	1.08984966784748	1.6	0.142857142857143
0.65	0.8	0.35	0.05	1	1	alldata	TRUE	FALSE	0.847375147355942	0.917067306697441	1.08224475258563	1.23076923076923	0.142857142857143
0.8	0.8	0.35	0.05	1	1	alldata	TRUE	FALSE	0.852460135732548	0.917067703999324	1.07578954787282	1	0.142857142857143
