r11	r22	rs1	rs2	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	uniqueRatio	sharedRatio
0.05	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0102644209709617	0.989735579029038	96.4239075763775	1	1
0.2	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0109131581149746	0.989873367530579	90.7045748904082	0.25	1
0.35	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0111141765163116	0.989971628695192	89.0728725823521	0.142857142857143	1
0.5	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0113530961908338	0.990050403326946	87.2053214986665	0.1	1
0.65	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0116365245437465	0.990116751179844	85.086981723588	0.0769230769230769	1
0.8	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0119716094625599	0.990174219978422	82.7102005854019	0.0625	1
0.95	0.05	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0123659055706335	0.990224942600717	80.0770260572179	0.0526315789473684	1
0.05	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0101266324694214	0.989086841885025	97.6718415397903	4	1
0.2	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0108150409986489	0.989184959001351	91.4638196124201	1	1
0.35	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0109955278629897	0.989250463411462	89.9684376901283	0.571428571428572	1
0.5	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0112095838368146	0.989300330219339	88.2548669621677	0.4	1
0.65	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0114630939537027	0.989340533220337	86.3065885367513	0.307692307692308	1
0.8	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0117625137923605	0.989374025665454	84.1124646593855	0.25	1
0.95	0.2	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0121145205752855	0.989402571540852	81.6707987239134	0.210526315789474	1
0.05	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.010028371304808	0.988885823483688	98.6088162700535	7	1
0.2	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0107495365885377	0.98900447213701	92.0043821416071	1.75	1
0.35	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0109166622616244	0.989083337738376	90.6030903983648	1	1
0.5	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0111146003376829	0.989143245452276	88.9949449732972	0.7	1
0.65	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0113487815735499	0.989191457835986	87.1627893642301	0.538461538461539	1
0.8	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.011625142232411	0.989231574278894	85.0941480544563	0.4375	1
0.95	0.35	0.05	0.05	1	1	alldata	TRUE	FALSE	0.011949915350072	0.989265730752237	82.78432957655	0.368421052631579	1
0.05	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00994959667305397	0.988646903809166	99.3655256887621	10	1
0.2	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0106996697806607	0.988790416163185	92.4131712878087	2.5	1
0.35	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0108567545477237	0.988885399662317	91.0848076481245	1.42857142857143	1
0.5	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0110426110461913	0.988957388953809	89.5582924017695	1	1
0.65	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0112623057804128	0.989015238675581	87.816407932704	0.769230769230769	1
0.8	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0115214158255738	0.989063320017721	85.8456404135959	0.625	1
0.95	0.5	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0118258177745325	0.9891042123499	83.6393923200798	0.526315789473684	1
0.05	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00988324882015609	0.988363475456253	100.003904934637	13	1
0.2	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0106594667796629	0.988536906046297	92.7379320635739	3.25	1
0.35	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0108085421640135	0.98865121842645	91.4694325492032	1.85714285714286	1
0.5	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0109847613244193	0.988737694219587	90.0099387705048	1.3	1
0.65	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0111929020553409	0.988807097944659	88.3423345487809	1	1
0.8	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0114382545081165	0.988864710330016	86.4524136640192	0.8125	1
0.95	0.65	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0117263997075394	0.98891366582237	84.3322494956877	0.684210526315789	1
0.05	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00982578002157809	0.98802839053744	100.55470287017	16	1
0.2	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.010625974334546	0.98823748620764	93.0020584554573	4	1
0.35	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0107684257211064	0.988374857767589	91.7845266676586	2.28571428571429	1
0.5	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0109366799822793	0.988478584174426	90.3819610499763	1.6	1
0.65	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0111352896699844	0.988561745491884	88.7773712934102	1.23076923076923	1
0.8	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0113692969978132	0.988630703002187	86.9561858743195	1	1
0.95	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0116440224602954	0.988689266522642	84.9095980271374	0.842105263157895	1
0.05	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00977505739928267	0.987634094429366	101.036142713785	19	1
0.2	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0105974284591485	0.987885479424714	93.2193581898534	4.75	1
0.35	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.010734269247763	0.988050084649928	92.0463295492459	2.71428571428571	1
0.5	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0108957876501	0.988174182225467	90.693230628113	1.9	1
0.65	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0110863341776303	0.988273600292461	89.1434070503283	1.46153846153846	1
0.8	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0113107334773577	0.988355977539704	87.3821295071836	1.1875	1
