"Bacteria;Firmicutes;Bacilli"	"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Chloroflexi;Anaerolineae"	"Bacteria;Cyanobacteria;Cyanobacteriia"
"16S-A-A5-L3_e0050-B-5-3-A-A5"	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A5-L4_e0049-3-4-A-A5"	4763	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A5-L5_e0050-A-3-5-A-A5"	5919	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A5-L6_e0050-B-3-6-A-A5"	11	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L0_e0049-5-0-A-A6"	10740	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L1_e0049-8-1-A-A6"	3892	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L2_e0050-A-5-2-A-A6"	11052	2	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L3_e0050-B-5-3-A-A6"	3027	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L4_e0049-3-4-A-A6"	3920	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L5_e0050-A-3-5-A-A6"	8226	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L6_e0050-B-3-6-A-A6"	4991	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L0_e0049-5-0-A-A7"	10890	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L1_e0049-8-1-A-A7"	2125	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L2_e0050-A-5-2-A-A7"	12294	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L3_e0050-B-5-3-A-A7"	12587	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L4_e0049-3-4-A-A7"	4115	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L5_e0050-A-3-5-A-A7"	8858	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L6_e0050-B-3-6-A-A7"	9727	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L0_e0049-5-0-A-A8"	125	6	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L2_e0050-A-5-2-A-A8"	8	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L3_e0050-B-5-3-A-A8"	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L4_e0049-3-4-A-A8"	24	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L5_e0050-A-3-5-A-A8"	14	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L6_e0050-B-3-6-A-A8"	47	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L7_e0050-8-7-A-A8"	0	0	1	0	0	0	0	0	0	0	0	0
"16S-A-A9-L0_e0049-5-0-A-A9"	34	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L2_e0050-A-5-2-A-A9"	3	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L3_e0050-B-5-3-A-A9"	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L4_e0049-3-4-A-A9"	16	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L6_e0050-B-3-6-A-A9"	72	3	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L0_e0049-5-0-A-B1"	12727	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L1_e0049-8-1-A-B1"	12237	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L2_e0050-A-5-2-A-B1"	1742	6091	7462	3068	94	208	38	0	0	0	0	0
"16S-A-B1-L3_e0050-B-5-3-A-B1"	2324	5048	9485	4573	0	108	34	8	0	0	0	0
"16S-A-B1-L4_e0049-3-4-A-B1"	10619	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L5_e0050-A-3-5-A-B1"	412	4008	6293	2631	311	146	12	0	0	0	0	0
"16S-A-B1-L6_e0050-B-3-6-A-B1"	1460	3336	4847	2569	0	93	48	9	0	0	0	0
"16S-A-B1-L7_e0050-8-7-A-B1"	200	2952	4287	1622	193	330	5	0	0	0	0	0
"16S-A-B10-L0_e0049-5-0-A-B10"	12844	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L1_e0049-8-1-A-B10"	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L2_e0050-A-5-2-A-B10"	1866	3730	7114	2249	239	133	30	0	0	0	0	0
"16S-A-B10-L3_e0050-B-5-3-A-B10"	12854	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L4_e0049-3-4-A-B10"	9811	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L5_e0050-A-3-5-A-B10"	740	1870	2609	1103	43	116	5	0	0	0	0	0
"16S-A-B10-L6_e0050-B-3-6-A-B10"	6514	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L7_e0050-8-7-A-B10"	1196	2486	3672	1204	255	144	9	0	0	0	0	0
"16S-A-B11-L0_e0049-5-0-A-B11"	9958	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L2_e0050-A-5-2-A-B11"	871	2460	4957	1535	51	79	28	0	0	0	0	0
"16S-A-B11-L3_e0050-B-5-3-A-B11"	9126	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L4_e0049-3-4-A-B11"	6506	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L5_e0050-A-3-5-A-B11"	466	1034	1455	630	62	56	2	0	0	0	0	0
"16S-A-B11-L6_e0050-B-3-6-A-B11"	7525	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L7_e0050-8-7-A-B11"	59	2500	4808	1612	85	253	12	0	0	0	0	0
"16S-A-B12-L0_e0049-5-0-A-B12"	15444	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L2_e0050-A-5-2-A-B12"	742	4178	8037	1951	141	129	28	0	0	0	0	0
"16S-A-B12-L3_e0050-B-5-3-A-B12"	18837	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L4_e0049-3-4-A-B12"	10624	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L5_e0050-A-3-5-A-B12"	1597	3528	4822	1930	397	130	20	0	0	0	0	0
"16S-A-B12-L6_e0050-B-3-6-A-B12"	3952	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L7_e0050-8-7-A-B12"	726	2770	5858	1347	7	121	18	0	0	0	0	0
