"Bacteria;Firmicutes"	"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Chloroflexi"	"Bacteria;Cyanobacteria"
"16S-A-A7-L3_e0050-B-5-3-A-A7"	12587	0	0	0	0	0	0	0
"16S-A-A7-L4_e0049-3-4-A-A7"	4115	0	0	0	0	0	0	0
"16S-A-A7-L5_e0050-A-3-5-A-A7"	8858	0	0	0	0	0	0	0
"16S-A-A7-L6_e0050-B-3-6-A-A7"	9727	0	0	0	0	0	0	0
"16S-A-A8-L0_e0049-5-0-A-A8"	125	6	0	0	0	0	0	0
"16S-A-A8-L2_e0050-A-5-2-A-A8"	8	0	0	0	0	0	0	0
"16S-A-A8-L3_e0050-B-5-3-A-A8"	0	0	0	0	0	0	0	0
"16S-A-A8-L4_e0049-3-4-A-A8"	24	0	0	0	0	0	0	0
"16S-A-A8-L5_e0050-A-3-5-A-A8"	14	0	0	0	0	0	0	0
"16S-A-A8-L6_e0050-B-3-6-A-A8"	47	0	0	0	0	0	0	0
"16S-A-A8-L7_e0050-8-7-A-A8"	0	0	1	0	0	0	0	0
"16S-A-A9-L0_e0049-5-0-A-A9"	34	0	0	0	0	0	0	0
"16S-A-A9-L2_e0050-A-5-2-A-A9"	3	0	0	0	0	0	0	0
"16S-A-A9-L3_e0050-B-5-3-A-A9"	0	0	0	0	0	0	0	0
"16S-A-A9-L4_e0049-3-4-A-A9"	16	0	0	0	0	0	0	0
"16S-A-A9-L6_e0050-B-3-6-A-A9"	72	3	0	0	0	0	0	0
"16S-A-B1-L0_e0049-5-0-A-B1"	12727	0	0	0	0	0	0	0
"16S-A-B1-L1_e0049-8-1-A-B1"	12237	0	0	0	0	0	0	0
"16S-A-B1-L2_e0050-A-5-2-A-B1"	5018	6091	7462	94	38	0	0	0
"16S-A-B1-L3_e0050-B-5-3-A-B1"	7005	5048	9485	0	34	8	0	0
"16S-A-B1-L4_e0049-3-4-A-B1"	10619	0	0	0	0	0	0	0
"16S-A-B1-L5_e0050-A-3-5-A-B1"	3189	4008	6293	311	12	0	0	0
"16S-A-B1-L6_e0050-B-3-6-A-B1"	4122	3336	4847	0	48	9	0	0
"16S-A-B1-L7_e0050-8-7-A-B1"	2152	2952	4287	193	5	0	0	0
"16S-A-B10-L0_e0049-5-0-A-B10"	12844	0	0	0	0	0	0	0
"16S-A-B10-L1_e0049-8-1-A-B10"	0	0	0	0	0	0	0	0
"16S-A-B10-L2_e0050-A-5-2-A-B10"	4248	3730	7114	239	30	0	0	0
"16S-A-B10-L3_e0050-B-5-3-A-B10"	12854	0	0	0	0	0	0	0
"16S-A-B10-L4_e0049-3-4-A-B10"	9811	0	0	0	0	0	0	0
"16S-A-B10-L5_e0050-A-3-5-A-B10"	1959	1870	2609	43	5	0	0	0
"16S-A-B10-L6_e0050-B-3-6-A-B10"	6514	0	0	0	0	0	0	0
"16S-A-B10-L7_e0050-8-7-A-B10"	2544	2486	3672	255	9	0	0	0
"16S-A-B11-L0_e0049-5-0-A-B11"	9958	0	0	0	0	0	0	0
"16S-A-B11-L2_e0050-A-5-2-A-B11"	2485	2460	4957	51	28	0	0	0
"16S-A-B11-L3_e0050-B-5-3-A-B11"	9126	0	0	0	0	0	0	0
"16S-A-B11-L4_e0049-3-4-A-B11"	6506	0	0	0	0	0	0	0
"16S-A-B11-L5_e0050-A-3-5-A-B11"	1152	1034	1455	62	2	0	0	0
"16S-A-B11-L6_e0050-B-3-6-A-B11"	7525	0	0	0	0	0	0	0
"16S-A-B11-L7_e0050-8-7-A-B11"	1924	2500	4808	85	12	0	0	0
"16S-A-B12-L0_e0049-5-0-A-B12"	15444	0	0	0	0	0	0	0
"16S-A-B12-L2_e0050-A-5-2-A-B12"	2822	4178	8037	141	28	0	0	0
"16S-A-B12-L3_e0050-B-5-3-A-B12"	18837	0	0	0	0	0	0	0
"16S-A-B12-L4_e0049-3-4-A-B12"	10624	0	0	0	0	0	0	0
"16S-A-B12-L5_e0050-A-3-5-A-B12"	3657	3528	4822	397	20	0	0	0
"16S-A-B12-L6_e0050-B-3-6-A-B12"	3952	0	0	0	0	0	0	0
"16S-A-B12-L7_e0050-8-7-A-B12"	2194	2770	5858	7	18	0	0	0
"16S-A-B2-L0_e0049-5-0-A-B2"	12338	0	0	0	0	0	0	0
"16S-A-B2-L1_e0049-8-1-A-B2"	8356	0	0	0	0	0	0	0
"16S-A-B2-L2_e0050-A-5-2-A-B2"	5473	5312	8307	619	44	0	0	0
"16S-A-B2-L3_e0050-B-5-3-A-B2"	4938	4394	5429	0	43	7	0	0
"16S-A-B2-L4_e0049-3-4-A-B2"	9032	0	0	0	0	0	0	0
"16S-A-B2-L5_e0050-A-3-5-A-B2"	5112	4274	8179	338	34	3	0	0
"16S-A-B2-L6_e0050-B-3-6-A-B2"	5075	3356	5275	0	65	18	0	0
"16S-A-B2-L7_e0050-8-7-A-B2"	2587	3472	4325	67	9	0	0	0
"16S-A-B3-L0_e0049-5-0-A-B3"	11694	0	0	0	0	0	0	0
"16S-A-B3-L1_e0049-8-1-A-B3"	11926	0	0	0	0	0	0	0
"16S-A-B3-L2_e0050-A-5-2-A-B3"	5927	4475	11297	13	39	0	0	0
"16S-A-B3-L3_e0050-B-5-3-A-B3"	5326	5137	6708	4	28	27	0	0
"16S-A-B3-L4_e0049-3-4-A-B3"	8770	0	0	0	0	0	0	0
"16S-A-B3-L5_e0050-A-3-5-A-B3"	3681	3297	8183	305	28	0	0	0
"16S-A-B3-L6_e0050-B-3-6-A-B3"	3548	2326	4159	26	49	15	0	0
"16S-A-B3-L7_e0050-8-7-A-B3"	1813	2252	3697	0	10	0	0	0
"16S-A-B4-L0_e0049-5-0-A-B4"	61	0	0	0	0	0	0	0
"16S-A-B4-L1_e0049-8-1-A-B4"	76	0	0	0	0	0	0	0
"16S-A-B4-L2_e0050-A-5-2-A-B4"	14	0	0	0	0	0	0	0
"16S-A-B4-L3_e0050-B-5-3-A-B4"	35	3	0	0	0	0	0	0
"16S-A-B4-L4_e0049-3-4-A-B4"	34	0	0	0	0	0	0	0
"16S-A-B4-L5_e0050-A-3-5-A-B4"	81	2	0	0	0	0	0	0
"16S-A-B4-L6_e0050-B-3-6-A-B4"	68	9	0	0	0	0	0	0
"16S-A-B4-L7_e0050-8-7-A-B4"	0	0	4	0	0	0	0	0
"16S-A-B5-L0_e0049-5-0-A-B5"	7939	0	0	0	0	0	0	0
"16S-A-B5-L1_e0049-8-1-A-B5"	6923	0	0	0	0	0	0	0
