"Bacteria;Firmicutes"	"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Chloroflexi"	"Bacteria;Cyanobacteria"
"16S-A-D2-L2_e0050-A-5-2-A-D2"	6318	4607	10259	193	46	0	0	0
"16S-A-D2-L4_e0049-3-4-A-D2"	7095	0	0	0	0	0	0	0
"16S-A-D2-L5_e0050-A-3-5-A-D2"	4636	2944	6678	289	25	0	0	0
"16S-A-D2-L6_e0050-B-3-6-A-D2"	4538	3086	4608	0	46	28	0	0
"16S-A-D2-L7_e0050-8-7-A-D2"	3535	3725	6725	60	21	0	0	0
"16S-A-D3-L0_e0049-5-0-A-D3"	6226	0	0	0	0	0	0	0
"16S-A-D3-L1_e0049-8-1-A-D3"	5916	0	0	0	0	0	0	0
"16S-A-D3-L2_e0050-A-5-2-A-D3"	2366	2502	4921	134	16	0	0	0
"16S-A-D3-L3_e0050-B-5-3-A-D3"	3963	2831	3247	3	48	7	0	0
"16S-A-D3-L4_e0049-3-4-A-D3"	5892	0	0	0	0	0	0	0
"16S-A-D3-L5_e0050-A-3-5-A-D3"	2273	1447	2965	114	15	0	0	0
"16S-A-D3-L6_e0050-B-3-6-A-D3"	2821	1868	2142	3	40	13	0	0
"16S-A-D3-L7_e0050-8-7-A-D3"	3082	2461	4613	81	9	0	0	0
"16S-A-D4-L0_e0049-5-0-A-D4"	7527	0	0	0	0	0	0	0
"16S-A-D4-L1_e0049-8-1-A-D4"	7751	0	0	0	0	0	0	0
"16S-A-D4-L2_e0050-A-5-2-A-D4"	42	8	0	0	0	0	0	0
"16S-A-D4-L3_e0050-B-5-3-A-D4"	27	2	0	0	0	0	0	0
"16S-A-D4-L4_e0049-3-4-A-D4"	25	2	0	0	0	0	0	0
"16S-A-D4-L5_e0050-A-3-5-A-D4"	75	9	0	0	0	0	0	0
"16S-A-D4-L6_e0050-B-3-6-A-D4"	45	5	0	0	0	0	0	0
"16S-A-D5-L0_e0049-5-0-A-D5"	11289	0	0	0	0	0	0	0
"16S-A-D5-L1_e0049-8-1-A-D5"	8646	0	0	0	0	0	0	0
"16S-A-D5-L2_e0050-A-5-2-A-D5"	5548	4702	12494	353	45	0	0	0
"16S-A-D5-L3_e0050-B-5-3-A-D5"	439	386	746	12	0	0	0	0
"16S-A-D5-L4_e0049-3-4-A-D5"	6656	0	0	0	0	0	0	0
"16S-A-D5-L5_e0050-A-3-5-A-D5"	4121	3615	8462	424	41	2	0	0
"16S-A-D5-L6_e0050-B-3-6-A-D5"	3371	2756	5468	192	33	2	0	0
"16S-A-D5-L7_e0050-8-7-A-D5"	3741	3444	7827	249	15	0	0	0
"16S-A-D6-L0_e0049-5-0-A-D6"	8990	0	0	0	0	0	0	0
"16S-A-D6-L1_e0049-8-1-A-D6"	8538	0	0	0	0	0	0	0
"16S-A-D6-L2_e0050-A-5-2-A-D6"	5371	4227	6480	556	51	0	0	0
"16S-A-D6-L3_e0050-B-5-3-A-D6"	5095	6264	8505	201	55	0	0	0
"16S-A-D6-L4_e0049-3-4-A-D6"	5857	0	0	0	0	0	0	0
"16S-A-D6-L5_e0050-A-3-5-A-D6"	3331	2756	3926	249	24	0	0	0
"16S-A-D6-L6_e0050-B-3-6-A-D6"	2603	2417	2916	143	31	0	0	0
"16S-A-D6-L7_e0050-8-7-A-D6"	2663	2993	3904	112	20	0	0	0
"16S-A-D7-L0_e0049-5-0-A-D7"	10419	0	0	0	0	0	0	0
"16S-A-D7-L1_e0049-8-1-A-D7"	8956	0	0	0	0	0	0	0
"16S-A-D7-L2_e0050-A-5-2-A-D7"	6762	5075	13195	426	48	0	0	0
"16S-A-D7-L3_e0050-B-5-3-A-D7"	5200	6539	12107	50	54	0	0	0
"16S-A-D7-L4_e0049-3-4-A-D7"	8224	0	0	0	0	0	0	0
"16S-A-D7-L5_e0050-A-3-5-A-D7"	3916	3023	7565	126	34	0	0	0
"16S-A-D7-L6_e0050-B-3-6-A-D7"	2489	2570	6615	279	27	0	0	0
"16S-A-D7-L7_e0050-8-7-A-D7"	4203	3362	7084	112	15	0	0	0
"16S-A-D8-L0_e0049-5-0-A-D8"	5	2	0	0	0	0	0	0
"16S-A-D8-L1_e0049-8-1-A-D8"	5391	0	0	0	0	0	0	0
"16S-A-D8-L2_e0050-A-5-2-A-D8"	40	2	0	0	0	0	0	0
"16S-A-D8-L3_e0050-B-5-3-A-D8"	20	0	0	0	0	0	0	0
"16S-A-D8-L4_e0049-3-4-A-D8"	31	0	0	0	0	0	0	0
"16S-A-D8-L5_e0050-A-3-5-A-D8"	74	3	0	0	0	0	0	0
"16S-A-D8-L6_e0050-B-3-6-A-D8"	27	0	0	0	0	0	0	0
"16S-A-D8-L7_e0050-8-7-A-D8"	0	0	1	0	0	0	0	0
"16S-A-D9-L0_e0049-5-0-A-D9"	10018	0	0	0	0	0	0	0
"16S-A-D9-L1_e0049-8-1-A-D9"	11499	0	0	0	0	0	0	0
"16S-A-D9-L2_e0050-A-5-2-A-D9"	59	5	0	0	0	0	0	0
"16S-A-D9-L3_e0050-B-5-3-A-D9"	34	0	0	0	0	0	0	0
"16S-A-D9-L4_e0049-3-4-A-D9"	7063	0	0	0	0	0	0	0
"16S-A-D9-L5_e0050-A-3-5-A-D9"	75	0	0	0	0	0	0	0
"16S-A-D9-L6_e0050-B-3-6-A-D9"	66	0	0	0	0	0	0	0
"16S-A-D9-L7_e0050-8-7-A-D9"	0	0	0	0	0	0	0	0
"16S-A-E1-L0_e0049-5-0-A-E1"	13042	0	0	0	0	0	0	0
"16S-A-E1-L1_e0049-8-1-A-E1"	8980	0	0	0	0	0	0	0
"16S-A-E1-L2_e0050-A-5-2-A-E1"	5762	6269	11852	308	33	0	0	0
"16S-A-E1-L3_e0050-B-5-3-A-E1"	8554	5033	8687	11	91	14	0	0
"16S-A-E1-L4_e0049-3-4-A-E1"	7863	0	0	0	0	0	0	0
"16S-A-E1-L5_e0050-A-3-5-A-E1"	3275	3108	6237	465	24	0	0	0
"16S-A-E1-L6_e0050-B-3-6-A-E1"	5258	4422	7071	7	57	0	0	0
"16S-A-E1-L7_e0050-8-7-A-E1"	5273	4881	11127	695	27	0	0	0
"16S-A-E10-L0_e0049-5-0-A-E10"	5529	0	0	0	0	0	0	0
"16S-A-E10-L1_e0049-8-1-A-E10"	7046	0	0	0	0	0	0	0
"16S-A-E10-L2_e0050-A-5-2-A-E10"	3406	3259	6453	297	21	0	0	0
"16S-A-E10-L3_e0050-B-5-3-A-E10"	8025	0	0	0	0	0	0	0
"16S-A-E10-L4_e0049-3-4-A-E10"	5393	0	0	0	0	0	0	0
"16S-A-E10-L5_e0050-A-3-5-A-E10"	2574	2473	4707	11	17	0	0	0
"16S-A-E10-L6_e0050-B-3-6-A-E10"	5744	0	0	0	0	0	0	0
"16S-A-E10-L7_e0050-8-7-A-E10"	2089	2595	4961	52	10	0	0	0
"16S-A-E11-L0_e0049-5-0-A-E11"	10647	0	0	0	0	0	0	0
"16S-A-E11-L1_e0049-8-1-A-E11"	13068	0	0	0	0	0	0	0
"16S-A-E11-L2_e0050-A-5-2-A-E11"	6854	5945	11353	354	45	0	0	0
"16S-A-E11-L3_e0050-B-5-3-A-E11"	18486	0	0	0	0	0	0	0
"16S-A-E11-L4_e0049-3-4-A-E11"	10100	0	0	0	0	0	0	0
"16S-A-E11-L5_e0050-A-3-5-A-E11"	4339	3265	6983	9	13	0	0	0
"16S-A-E11-L6_e0050-B-3-6-A-E11"	11351	0	0	0	0	0	0	0
"16S-A-E11-L7_e0050-8-7-A-E11"	4520	4665	7722	184	20	0	0	0
"16S-A-E12-L0_e0049-5-0-A-E12"	13937	0	0	0	0	0	0	0
"16S-A-E12-L1_e0049-8-1-A-E12"	10554	0	0	0	0	0	0	0
"16S-A-E12-L2_e0050-A-5-2-A-E12"	6225	4743	10825	45	38	0	0	0
"16S-A-E12-L3_e0050-B-5-3-A-E12"	19904	0	0	0	0	0	0	0
"16S-A-E12-L4_e0049-3-4-A-E12"	10767	0	0	0	0	0	0	0
"16S-A-E12-L5_e0050-A-3-5-A-E12"	3618	3205	9229	208	21	0	0	0
"16S-A-E12-L6_e0050-B-3-6-A-E12"	11101	0	0	0	0	0	0	0
"16S-A-E12-L7_e0050-8-7-A-E12"	5086	4731	8761	377	35	0	0	0
"16S-A-E2-L0_e0049-5-0-A-E2"	10073	0	0	0	0	0	0	0
"16S-A-E2-L1_e0049-8-1-A-E2"	10260	0	0	0	0	0	0	0
"16S-A-E2-L2_e0050-A-5-2-A-E2"	5750	5684	9741	47	19	0	0	0
"16S-A-E2-L3_e0050-B-5-3-A-E2"	7015	4199	5387	0	68	19	0	0
"16S-A-E2-L4_e0049-3-4-A-E2"	6953	0	0	0	0	0	0	0
"16S-A-E2-L5_e0050-A-3-5-A-E2"	3567	4225	7034	365	23	0	0	0
"16S-A-E2-L6_e0050-B-3-6-A-E2"	3302	1646	2777	8	41	23	0	0
"16S-A-E2-L7_e0050-8-7-A-E2"	3232	2491	4885	240	18	0	0	0
"16S-A-E3-L0_e0049-5-0-A-E3"	9247	0	0	0	0	0	0	0
"16S-A-E3-L1_e0049-8-1-A-E3"	8413	0	0	0	0	0	0	0
"16S-A-E3-L2_e0050-A-5-2-A-E3"	4733	4558	10996	468	42	0	0	0
"16S-A-E3-L3_e0050-B-5-3-A-E3"	5201	4317	6775	0	62	10	0	0
"16S-A-E3-L4_e0049-3-4-A-E3"	6755	0	0	0	0	0	0	0
"16S-A-E3-L5_e0050-A-3-5-A-E3"	3773	3290	7542	185	37	0	0	0
"16S-A-E3-L6_e0050-B-3-6-A-E3"	2890	1605	2643	0	38	24	0	0
"16S-A-E3-L7_e0050-8-7-A-E3"	3105	2804	6164	128	23	0	0	0
"16S-A-E4-L0_e0049-5-0-A-E4"	1330	3	0	0	0	0	0	0
"16S-A-E4-L1_e0049-8-1-A-E4"	28	2	0	0	0	0	0	0
"16S-A-E4-L2_e0050-A-5-2-A-E4"	78	6	0	0	0	0	0	0
"16S-A-E4-L3_e0050-B-5-3-A-E4"	44	0	0	0	0	0	0	0
"16S-A-E4-L4_e0049-3-4-A-E4"	28	0	0	0	0	0	0	0
"16S-A-E4-L5_e0050-A-3-5-A-E4"	78	4	0	0	0	0	0	0
"16S-A-E4-L6_e0050-B-3-6-A-E4"	81	0	0	0	0	0	0	0
"16S-A-E5-L0_e0049-5-0-A-E5"	6642	0	0	0	0	0	0	0
"16S-A-E5-L1_e0049-8-1-A-E5"	4703	0	0	0	0	0	0	0
"16S-A-E5-L2_e0050-A-5-2-A-E5"	2286	2088	5569	19	7	0	0	0
"16S-A-E5-L3_e0050-B-5-3-A-E5"	4080	3602	6928	213	27	0	0	0
"16S-A-E5-L4_e0049-3-4-A-E5"	3363	0	0	0	0	0	0	0
"16S-A-E5-L5_e0050-A-3-5-A-E5"	2306	1557	3782	139	11	0	0	0
"16S-A-E5-L6_e0050-B-3-6-A-E5"	1149	1046	2271	83	15	0	0	0
"16S-A-E5-L7_e0050-8-7-A-E5"	2007	1790	3009	0	15	0	0	0
"16S-A-E6-L0_e0049-5-0-A-E6"	11304	0	0	0	0	0	0	0
"16S-A-E6-L1_e0049-8-1-A-E6"	12878	0	0	0	0	0	0	0
"16S-A-E6-L2_e0050-A-5-2-A-E6"	6890	5675	12984	397	48	0	0	0
"16S-A-E6-L3_e0050-B-5-3-A-E6"	7454	7062	13248	338	84	0	0	0
"16S-A-E6-L4_e0049-3-4-A-E6"	7041	0	0	0	0	0	0	0
"16S-A-E6-L5_e0050-A-3-5-A-E6"	3558	2363	6366	98	17	4	0	0
"16S-A-E6-L6_e0050-B-3-6-A-E6"	2560	2912	6118	173	24	0	0	0
"16S-A-E6-L7_e0050-8-7-A-E6"	4426	3616	7251	279	21	0	0	0
"16S-A-E7-L0_e0049-5-0-A-E7"	14130	0	0	0	0	0	0	0
"16S-A-E7-L1_e0049-8-1-A-E7"	10863	0	0	0	0	0	0	0
"16S-A-E7-L2_e0050-A-5-2-A-E7"	6409	4796	11477	235	41	0	0	0
"16S-A-E7-L3_e0050-B-5-3-A-E7"	5103	4138	9222	336	50	0	0	0
"16S-A-E7-L4_e0049-3-4-A-E7"	7194	0	0	0	0	0	0	0
"16S-A-E7-L5_e0050-A-3-5-A-E7"	2971	2450	6800	71	20	0	0	0
"16S-A-E7-L6_e0050-B-3-6-A-E7"	2027	2168	4262	259	11	0	0	0
"16S-A-E7-L7_e0050-8-7-A-E7"	2495	1844	4397	57	16	0	0	0
"16S-A-E8-L0_e0049-5-0-A-E8"	9	0	18	0	0	5	0	0
"16S-A-E8-L1_e0049-8-1-A-E8"	25	0	0	0	0	0	0	0
"16S-A-E8-L2_e0050-A-5-2-A-E8"	66	0	0	0	0	0	0	0
"16S-A-E8-L3_e0050-B-5-3-A-E8"	22	0	0	0	0	0	0	0
"16S-A-E8-L4_e0049-3-4-A-E8"	21	0	0	0	0	0	0	0
"16S-A-E8-L5_e0050-A-3-5-A-E8"	55	0	0	0	0	0	0	0
"16S-A-E8-L6_e0050-B-3-6-A-E8"	122	0	0	0	0	0	0	0
"16S-A-E9-L0_e0049-5-0-A-E9"	9379	0	0	0	0	0	0	0
"16S-A-E9-L1_e0049-8-1-A-E9"	9997	0	0	0	0	0	0	0
"16S-A-E9-L2_e0050-A-5-2-A-E9"	41	9	0	0	0	0	0	0
"16S-A-E9-L3_e0050-B-5-3-A-E9"	61	0	0	0	0	0	0	0
"16S-A-E9-L4_e0049-3-4-A-E9"	5985	0	0	0	0	0	0	0
"16S-A-E9-L5_e0050-A-3-5-A-E9"	35	0	0	0	0	0	0	0
"16S-A-E9-L6_e0050-B-3-6-A-E9"	45	0	0	0	0	0	0	0
"16S-A-F1-L0_e0049-5-0-A-F1"	12071	0	0	0	0	0	0	0
"16S-A-F1-L1_e0049-8-1-A-F1"	8166	0	0	0	0	0	0	0
"16S-A-F1-L2_e0050-A-5-2-A-F1"	4844	4714	10955	399	42	0	0	0
"16S-A-F1-L3_e0050-B-5-3-A-F1"	7224	6121	8050	206	49	3	0	0
"16S-A-F1-L4_e0049-3-4-A-F1"	6374	0	0	0	0	0	0	0
"16S-A-F1-L5_e0050-A-3-5-A-F1"	3921	2754	13371	120	15	0	0	0
"16S-A-F1-L6_e0050-B-3-6-A-F1"	5402	4787	9163	24	38	0	0	0
"16S-A-F1-L7_e0050-8-7-A-F1"	5188	4439	10627	175	35	0	0	0
"16S-A-F10-L0_e0049-5-0-A-F10"	14266	0	0	0	0	0	0	0
"16S-A-F10-L1_e0049-8-1-A-F10"	12109	0	0	0	0	0	0	0
"16S-A-F10-L2_e0050-A-5-2-A-F10"	6258	5421	12430	4	61	0	0	0
"16S-A-F10-L3_e0050-B-5-3-A-F10"	17827	0	0	0	0	0	0	0
"16S-A-F10-L4_e0049-3-4-A-F10"	6760	0	0	0	0	0	0	0
"16S-A-F10-L5_e0050-A-3-5-A-F10"	6596	4831	11296	157	38	0	0	0
"16S-A-F10-L6_e0050-B-3-6-A-F10"	7350	0	0	0	0	0	0	0
"16S-A-F10-L7_e0050-8-7-A-F10"	5324	4244	9183	39	27	0	0	0
"16S-A-F11-L0_e0049-5-0-A-F11"	1283	0	0	0	0	0	0	0
"16S-A-F11-L1_e0049-8-1-A-F11"	1451	0	0	0	0	0	0	0
"16S-A-F11-L2_e0050-A-5-2-A-F11"	626	606	1452	0	0	0	0	0
"16S-A-F11-L3_e0050-B-5-3-A-F11"	3104	0	0	0	0	0	0	0
"16S-A-F11-L4_e0049-3-4-A-F11"	1147	0	0	0	0	0	0	0
"16S-A-F11-L5_e0050-A-3-5-A-F11"	1315	1171	2940	99	0	0	0	0
"16S-A-F11-L6_e0050-B-3-6-A-F11"	2296	0	0	0	0	0	0	0
"16S-A-F11-L7_e0050-8-7-A-F11"	938	836	1628	17	0	0	0	0
"16S-A-F12-L0_e0049-5-0-A-F12"	12770	0	0	0	0	0	0	0
"16S-A-F12-L2_e0050-A-5-2-A-F12"	5520	4029	9798	10	39	0	0	0
"16S-A-F12-L3_e0050-B-5-3-A-F12"	17477	0	0	0	0	0	0	0
"16S-A-F12-L4_e0049-3-4-A-F12"	7412	0	0	0	0	0	0	0
"16S-A-F12-L5_e0050-A-3-5-A-F12"	4845	4284	9678	235	24	0	0	0
"16S-A-F12-L6_e0050-B-3-6-A-F12"	748	0	0	0	0	0	0	0
"16S-A-F12-L7_e0050-8-7-A-F12"	5134	3926	8625	115	37	0	0	0
"16S-A-F2-L0_e0049-5-0-A-F2"	8863	0	0	0	0	0	0	0
"16S-A-F2-L1_e0049-8-1-A-F2"	7308	0	0	0	0	0	0	0
"16S-A-F2-L2_e0050-A-5-2-A-F2"	4367	3998	9338	177	23	0	0	0
"16S-A-F2-L3_e0050-B-5-3-A-F2"	4618	4350	5845	141	42	10	0	0
"16S-A-F2-L4_e0049-3-4-A-F2"	4635	0	0	0	0	0	0	0
"16S-A-F2-L5_e0050-A-3-5-A-F2"	2378	1648	3634	224	9	0	0	0
"16S-A-F2-L6_e0050-B-3-6-A-F2"	1981	1396	2454	14	18	0	0	0
"16S-A-F2-L7_e0050-8-7-A-F2"	2362	2046	4201	21	7	0	0	0
"16S-A-F3-L0_e0049-5-0-A-F3"	10744	0	0	0	0	0	0	0
"16S-A-F3-L1_e0049-8-1-A-F3"	9801	0	0	0	0	0	0	0
"16S-A-F3-L2_e0050-A-5-2-A-F3"	4939	6284	11243	138	36	0	0	0
"16S-A-F3-L3_e0050-B-5-3-A-F3"	6873	5413	8366	233	57	4	0	0
"16S-A-F3-L4_e0049-3-4-A-F3"	7030	0	0	0	0	0	0	0
"16S-A-F3-L5_e0050-A-3-5-A-F3"	2573	1631	4888	168	21	4	0	0
"16S-A-F3-L6_e0050-B-3-6-A-F3"	2924	1634	3431	27	44	0	0	0
"16S-A-F3-L7_e0050-8-7-A-F3"	2877	3433	6176	37	13	0	0	0
"16S-A-F4-L0_e0049-5-0-A-F4"	9711	0	0	0	0	0	0	0
"16S-A-F4-L1_e0049-8-1-A-F4"	13577	0	0	0	0	0	0	0
"16S-A-F4-L2_e0050-A-5-2-A-F4"	159	23	0	0	0	0	0	0
"16S-A-F4-L3_e0050-B-5-3-A-F4"	100	14	0	0	0	0	0	0
"16S-A-F4-L4_e0049-3-4-A-F4"	6762	0	0	0	0	0	0	0
"16S-A-F4-L5_e0050-A-3-5-A-F4"	35	2	0	0	0	0	0	0
"16S-A-F4-L6_e0050-B-3-6-A-F4"	102	12	0	0	0	0	0	0
"16S-A-F5-L0_e0049-5-0-A-F5"	10968	0	0	0	0	0	0	0
"16S-A-F5-L1_e0049-8-1-A-F5"	10150	0	0	0	0	0	0	0
"16S-A-F5-L2_e0050-A-5-2-A-F5"	3806	3791	8656	10	35	0	0	0
"16S-A-F5-L3_e0050-B-5-3-A-F5"	7050	5500	11728	84	69	0	0	0
"16S-A-F5-L4_e0049-3-4-A-F5"	6761	0	0	0	0	0	0	0
"16S-A-F5-L5_e0050-A-3-5-A-F5"	3491	2574	4716	167	17	2	0	0
"16S-A-F5-L6_e0050-B-3-6-A-F5"	2524	2399	5051	64	22	0	0	0
"16S-A-F5-L7_e0050-8-7-A-F5"	2595	1861	4021	8	10	2	0	0
"16S-A-F6-L0_e0049-5-0-A-F6"	10184	0	0	0	0	0	0	0
"16S-A-F6-L1_e0049-8-1-A-F6"	10210	0	0	0	0	0	0	0
"16S-A-F6-L2_e0050-A-5-2-A-F6"	7933	6827	15136	64	73	0	0	0
"16S-A-F6-L3_e0050-B-5-3-A-F6"	5338	6479	12143	112	47	0	0	0
"16S-A-F6-L4_e0049-3-4-A-F6"	8099	0	0	0	0	0	0	0
"16S-A-F6-L5_e0050-A-3-5-A-F6"	3338	2194	5129	183	18	0	0	0
"16S-A-F6-L6_e0050-B-3-6-A-F6"	3361	3728	7077	55	33	0	0	0
"16S-A-F6-L7_e0050-8-7-A-F6"	2860	2525	4812	5	12	0	0	0
"16S-A-F7-L0_e0049-5-0-A-F7"	10343	0	0	0	0	0	0	0
"16S-A-F7-L1_e0049-8-1-A-F7"	9313	0	0	0	0	0	0	0
"16S-A-F7-L2_e0050-A-5-2-A-F7"	3945	3407	7371	312	40	2	0	0
"16S-A-F7-L3_e0050-B-5-3-A-F7"	4095	2942	12934	201	14	0	0	0
"16S-A-F7-L4_e0049-3-4-A-F7"	6270	0	0	0	0	0	0	0
"16S-A-F7-L5_e0050-A-3-5-A-F7"	3722	2662	7371	116	15	0	0	0
"16S-A-F7-L6_e0050-B-3-6-A-F7"	1525	1793	3720	168	20	0	0	0
"16S-A-F7-L7_e0050-8-7-A-F7"	5034	3897	7541	312	20	0	0	0
"16S-A-F8-L0_e0049-5-0-A-F8"	46	0	0	0	0	0	0	0
"16S-A-F8-L1_e0049-8-1-A-F8"	65	3	0	0	0	0	0	0
"16S-A-F8-L2_e0050-A-5-2-A-F8"	54	0	0	0	0	0	0	0
"16S-A-F8-L3_e0050-B-5-3-A-F8"	33	0	0	0	0	0	0	0
"16S-A-F8-L4_e0049-3-4-A-F8"	184	0	0	0	0	0	0	0
"16S-A-F8-L5_e0050-A-3-5-A-F8"	44	5	0	0	0	0	0	0
"16S-A-F8-L6_e0050-B-3-6-A-F8"	75	5	0	0	0	0	0	0
"16S-A-F8-L7_e0050-8-7-A-F8"	0	0	0	0	0	0	0	0
"16S-A-F9-L0_e0049-5-0-A-F9"	10016	0	0	0	0	0	0	0
"16S-A-F9-L1_e0049-8-1-A-F9"	8010	0	0	0	0	0	0	0
"16S-A-F9-L2_e0050-A-5-2-A-F9"	23	3	0	0	0	0	0	0
"16S-A-F9-L3_e0050-B-5-3-A-F9"	30	0	0	0	0	0	0	0
"16S-A-F9-L4_e0049-3-4-A-F9"	6571	0	0	0	0	0	0	0
"16S-A-F9-L5_e0050-A-3-5-A-F9"	45	0	0	0	0	0	0	0
"16S-A-F9-L6_e0050-B-3-6-A-F9"	66	0	0	0	0	0	0	0
"16S-A-F9-L7_e0050-8-7-A-F9"	0	0	0	0	0	0	0	0
"16S-A-G1-L0_e0049-5-0-A-G1"	12619	3	0	0	0	0	0	0
"16S-A-G1-L1_e0049-8-1-A-G1"	10112	0	0	0	0	0	0	0
"16S-A-G1-L2_e0050-A-5-2-A-G1"	4397	4766	11443	139	40	0	0	0
"16S-A-G1-L3_e0050-B-5-3-A-G1"	7163	4947	10633	3	34	0	0	0
"16S-A-G1-L4_e0049-3-4-A-G1"	4680	0	0	0	0	0	0	0
"16S-A-G1-L5_e0050-A-3-5-A-G1"	8118	8389	19094	1418	81	0	0	0
"16S-A-G1-L6_e0050-B-3-6-A-G1"	2765	2369	3514	8	10	0	0	0
"16S-A-G1-L7_e0050-8-7-A-G1"	3418	3895	7229	253	7	0	0	0
"16S-A-G10-L0_e0049-5-0-A-G10"	12106	0	0	0	0	0	0	0
"16S-A-G10-L1_e0049-8-1-A-G10"	9027	0	0	0	0	0	0	0
"16S-A-G10-L2_e0050-A-5-2-A-G10"	3791	3660	12185	208	41	0	0	0
"16S-A-G10-L3_e0050-B-5-3-A-G10"	16630	0	0	0	0	0	0	0
"16S-A-G10-L4_e0049-3-4-A-G10"	4722	0	2	0	0	2	0	0
"16S-A-G10-L5_e0050-A-3-5-A-G10"	8029	5569	13077	60	45	0	0	0
"16S-A-G10-L6_e0050-B-3-6-A-G10"	12661	0	0	0	0	0	0	0
"16S-A-G10-L7_e0050-8-7-A-G10"	6415	5113	11016	339	22	0	0	0
"16S-A-G11-L0_e0049-5-0-A-G11"	15150	0	0	0	0	0	0	0
"16S-A-G11-L1_e0049-8-1-A-G11"	7805	0	0	0	0	0	0	0
"16S-A-G11-L2_e0050-A-5-2-A-G11"	3461	3057	5783	62	26	0	0	0
"16S-A-G11-L3_e0050-B-5-3-A-G11"	13349	0	0	0	0	0	0	0
"16S-A-G11-L4_e0049-3-4-A-G11"	4563	0	0	0	0	0	0	0
"16S-A-G11-L5_e0050-A-3-5-A-G11"	8380	6292	13898	74	23	5	0	0
"16S-A-G11-L6_e0050-B-3-6-A-G11"	349	0	0	0	0	0	0	0
"16S-A-G11-L7_e0050-8-7-A-G11"	4681	3493	7041	35	23	2	0	0
"16S-A-G12-L0_e0049-5-0-A-G12"	9163	0	0	0	0	0	0	0
"16S-A-G12-L1_e0049-8-1-A-G12"	3965	0	0	0	0	0	0	0
"16S-A-G12-L2_e0050-A-5-2-A-G12"	3457	5187	8974	0	19	0	0	0
"16S-A-G12-L3_e0050-B-5-3-A-G12"	12062	0	0	0	0	0	0	0
"16S-A-G12-L4_e0049-3-4-A-G12"	6297	0	0	0	0	0	0	0
"16S-A-G12-L5_e0050-A-3-5-A-G12"	4669	4146	10938	483	29	3	0	0
"16S-A-G12-L6_e0050-B-3-6-A-G12"	14973	0	0	0	0	0	0	0
"16S-A-G12-L7_e0050-8-7-A-G12"	5686	4983	10743	270	46	2	0	0
"16S-A-G2-L0_e0049-5-0-A-G2"	9974	0	0	0	0	0	0	0
"16S-A-G2-L1_e0049-8-1-A-G2"	9417	0	0	0	0	0	0	0
"16S-A-G2-L2_e0050-A-5-2-A-G2"	4890	4663	16216	183	17	0	0	0
"16S-A-G2-L3_e0050-B-5-3-A-G2"	6389	5097	6690	0	48	4	0	0
"16S-A-G2-L4_e0049-3-4-A-G2"	5515	0	0	0	0	0	0	0
"16S-A-G2-L5_e0050-A-3-5-A-G2"	3852	3777	6687	198	24	0	0	0
"16S-A-G2-L6_e0050-B-3-6-A-G2"	3901	3341	4892	10	37	13	0	0
"16S-A-G2-L7_e0050-8-7-A-G2"	6612	8502	15043	134	32	0	0	0
"16S-A-G3-L0_e0049-5-0-A-G3"	13864	0	0	0	0	0	0	0
"16S-A-G3-L1_e0049-8-1-A-G3"	11839	0	0	0	0	0	0	0
"16S-A-G3-L2_e0050-A-5-2-A-G3"	7120	7792	15745	77	50	0	0	0
"16S-A-G3-L3_e0050-B-5-3-A-G3"	7066	5126	7060	119	73	20	0	0
"16S-A-G3-L4_e0049-3-4-A-G3"	7831	0	0	0	0	0	0	0
"16S-A-G3-L5_e0050-A-3-5-A-G3"	4088	3237	9157	42	31	3	0	0
"16S-A-G3-L6_e0050-B-3-6-A-G3"	7065	5197	11407	55	65	6	0	0
"16S-A-G3-L7_e0050-8-7-A-G3"	6670	9134	15496	281	57	0	0	0
"16S-A-G4-L0_e0049-5-0-A-G4"	11138	0	0	0	0	0	0	0
"16S-A-G4-L1_e0049-8-1-A-G4"	12521	0	0	0	0	0	0	0
"16S-A-G4-L2_e0050-A-5-2-A-G4"	50	7	0	0	0	0	0	0
"16S-A-G4-L3_e0050-B-5-3-A-G4"	51	0	0	0	0	0	0	0
"16S-A-G4-L4_e0049-3-4-A-G4"	4765	0	0	0	0	0	0	0
"16S-A-G4-L5_e0050-A-3-5-A-G4"	48	0	0	0	0	0	0	0
"16S-A-G4-L6_e0050-B-3-6-A-G4"	104	4	0	0	0	0	0	0
"16S-A-G4-L7_e0050-8-7-A-G4"	0	0	0	0	0	0	0	0
"16S-A-G5-L0_e0049-5-0-A-G5"	9427	0	0	0	0	0	0	0
"16S-A-G5-L1_e0049-8-1-A-G5"	7775	0	0	0	0	0	0	0
"16S-A-G5-L2_e0050-A-5-2-A-G5"	4252	3145	7887	234	34	0	0	0
"16S-A-G5-L3_e0050-B-5-3-A-G5"	5550	4531	10456	65	51	0	0	0
"16S-A-G5-L4_e0049-3-4-A-G5"	5605	0	0	0	0	0	0	0
"16S-A-G5-L5_e0050-A-3-5-A-G5"	8571	7251	12595	462	65	0	0	0
"16S-A-G5-L6_e0050-B-3-6-A-G5"	8087	7111	13951	289	60	0	0	0
