"level" "taxa" "taxashort" "hex" "R" "G" "B"
3 "k__Bacteria;p__Acidobacteria;c__Sva0725" "Sva0725" "#9E4F46" 0.620689655172414 0.310344827586207 0.275862068965517
3 "k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]" "[Chloracidobacteria]" "#00FFC1" 0 1 0.758620689655172
3 "k__Bacteria;p__Acidobacteria;c__iii1-8" "iii1-8" "#008495" 0 0.517241379310345 0.586206896551724
3 "k__Bacteria;p__Actinobacteria;c__Acidimicrobiia" "Acidimicrobiia" "#00007B" 0 0 0.482758620689655
3 "k__Bacteria;p__Actinobacteria;c__Actinobacteria" "Actinobacteria" "#95D34F" 0.586206896551724 0.827586206896552 0.310344827586207
3 "k__Bacteria;p__Actinobacteria;c__Coriobacteriia" "Coriobacteriia" "#F69EDC" 0.96551724137931 0.620689655172414 0.862068965517241
3 "k__Bacteria;p__Actinobacteria;c__MB-A2-108" "MB-A2-108" "#D312FF" 0.827586206896552 0.0689655172413793 1
3 "k__Bacteria;p__Actinobacteria;c__Nitriliruptoria" "Nitriliruptoria" "#7B1A6A" 0.482758620689655 0.103448275862069 0.413793103448276
3 "k__Bacteria;p__Actinobacteria;c__Rubrobacteria" "Rubrobacteria" "#F61261" 0.96551724137931 0.0689655172413793 0.379310344827586
3 "k__Bacteria;p__Actinobacteria;c__Thermoleophilia" "Thermoleophilia" "#FFC184" 1 0.758620689655172 0.517241379310345
3 "k__Bacteria;p__Armatimonadetes;c__Armatimonadia" "Armatimonadia" "#232309" 0.137931034482759 0.137931034482759 0.0344827586206897
3 "k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes" "Chthonomonadetes" "#8DA77B" 0.551724137931034 0.655172413793103 0.482758620689655
3 "k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]" "[Fimbriimonadia]" "#F68409" 0.96551724137931 0.517241379310345 0.0344827586206897
3 "k__Bacteria;p__BRC1;c__PRR-11" "PRR-11" "#847200" 0.517241379310345 0.448275862068966 0
3 "k__Bacteria;p__Bacteroidetes;c__Bacteroidia" "Bacteroidia" "#72F6FF" 0.448275862068966 0.96551724137931 1
3 "k__Bacteria;p__Bacteroidetes;c__Cytophagia" "Cytophagia" "#9EC1FF" 0.620689655172414 0.758620689655172 1
3 "k__Bacteria;p__Bacteroidetes;c__Flavobacteriia" "Flavobacteriia" "#72617B" 0.448275862068966 0.379310344827586 0.482758620689655
3 "k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia" "Sphingobacteriia" "#9E0000" 0.620689655172414 0 0
3 "k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]" "[Rhodothermi]" "#004FFF" 0 0.310344827586207 1
3 "k__Bacteria;p__Bacteroidetes;c__[Saprospirae]" "[Saprospirae]" "#004695" 0 0.275862068965517 0.586206896551724
3 "k__Bacteria;p__Chlamydiae;c__Chlamydiia" "Chlamydiia" "#D3FF00" 0.827586206896552 1 0
3 "k__Bacteria;p__Chloroflexi;c__Anaerolineae" "Anaerolineae" "#B94FD3" 0.724137931034483 0.310344827586207 0.827586206896552
3 "k__Bacteria;p__Chloroflexi;c__Chloroflexi" "Chloroflexi" "#3E001A" 0.241379310344828 0 0.103448275862069
3 "k__Bacteria;p__Chloroflexi;c__Ellin6529" "Ellin6529" "#EDFFB0" 0.931034482758621 1 0.689655172413793
3 "k__Bacteria;p__Chloroflexi;c__Gitt-GS-136" "Gitt-GS-136" "#FF7B61" 1 0.482758620689655 0.379310344827586
3 "k__Bacteria;p__Chloroflexi;c__S085" "S085" "#46FF7B" 0.275862068965517 1 0.482758620689655
3 "k__Bacteria;p__Chloroflexi;c__TK10" "TK10" "#12A761" 0.0689655172413793 0.655172413793103 0.379310344827586
3 "k__Bacteria;p__Chloroflexi;c__Thermomicrobia" "Thermomicrobia" "#D3A7A7" 0.827586206896552 0.655172413793103 0.655172413793103
3 "k__Bacteria;p__Cyanobacteria;c__4C0d-2" "4C0d-2" "#D34F84" 0.827586206896552 0.310344827586207 0.517241379310345
3 "k__Bacteria;p__Cyanobacteria;c__Chloroplast" "Chloroplast" "#6A00C1" 0.413793103448276 0 0.758620689655172
3 "k__Bacteria;p__Cyanobacteria;c__ML635J-21" "ML635J-21" "#2C6146" 0.172413793103448 0.379310344827586 0.275862068965517
3 "k__Bacteria;p__Cyanobacteria;c__Nostocophycideae" "Nostocophycideae" "#0095F6" 0 0.586206896551724 0.96551724137931
3 "k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae" "Oscillatoriophycideae" "#093E4F" 0.0344827586206897 0.241379310344828 0.310344827586207
3 "k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae" "Synechococcophycideae" "#A75809" 0.655172413793103 0.344827586206897 0.0344827586206897
3 "k__Bacteria;p__Deferribacteres;c__Deferribacteres" "Deferribacteres" "#72613E" 0.448275862068966 0.379310344827586 0.241379310344828
3 "k__Bacteria;p__Firmicutes;c__Bacilli" "Bacilli" "#099500" 0.0344827586206897 0.586206896551724 0
3 "k__Bacteria;p__Firmicutes;c__Clostridia" "Clostridia" "#9E6AB9" 0.620689655172414 0.413793103448276 0.724137931034483
3 "k__Bacteria;p__Firmicutes;c__Erysipelotrichi" "Erysipelotrichi" "#FFFF72" 1 1 0.448275862068966
3 "k__Bacteria;p__Fusobacteria;c__Fusobacteriia" "Fusobacteriia" "#A7F6CA" 0.655172413793103 0.96551724137931 0.793103448275862
3 "k__Bacteria;p__Gemmatimonadetes;c__Gemm-3" "Gemm-3" "#95B0B9" 0.586206896551724 0.689655172413793 0.724137931034483
3 "k__Bacteria;p__Gemmatimonadetes;c__Gemm-5" "Gemm-5" "#B0B009" 0.689655172413793 0.689655172413793 0.0344827586206897
3 "k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes" "Gemmatimonadetes" "#2C004F" 0.172413793103448 0 0.310344827586207
3 "k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]" "[Lentisphaeria]" "#00CAFF" 0 0.793103448275862 1
3 "k__Bacteria;p__Nitrospirae;c__Nitrospira" "Nitrospira" "#4F2300" 0.310344827586207 0.137931034482759 0
3 "k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5" "028H05-P-BN-P5" "#00B9A7" 0 0.724137931034483 0.655172413793103
3 "k__Bacteria;p__Planctomycetes;c__Phycisphaerae" "Phycisphaerae" "#9E0035" 0.620689655172414 0 0.206896551724138
3 "k__Bacteria;p__Planctomycetes;c__Planctomycetia" "Planctomycetia" "#4F7BB0" 0.310344827586207 0.482758620689655 0.689655172413793
3 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria" "Alphaproteobacteria" "#1A46C1" 0.103448275862069 0.275862068965517 0.758620689655172
3 "k__Bacteria;p__Proteobacteria;c__Betaproteobacteria" "Betaproteobacteria" "#58D300" 0.344827586206897 0.827586206896552 0
3 "k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria" "Deltaproteobacteria" "#729535" 0.448275862068966 0.586206896551724 0.206896551724138
3 "k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria" "Epsilonproteobacteria" "#E5A735" 0.896551724137931 0.655172413793103 0.206896551724138
3 "k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria" "Gammaproteobacteria" "#F68D95" 0.96551724137931 0.551724137931034 0.586206896551724
3 "k__Bacteria;p__Spirochaetes;c__Spirochaetes" "Spirochaetes" "#6A128D" 0.413793103448276 0.0689655172413793 0.551724137931034
3 "k__Bacteria;p__TM6;c__SJA-4" "SJA-4" "#E561C1" 0.896551724137931 0.379310344827586 0.758620689655172
3 "k__Bacteria;p__Tenericutes;c__Mollicutes" "Mollicutes" "#EDD3FF" 0.931034482758621 0.827586206896552 1
3 "k__Bacteria;p__Tenericutes;c__RF3" "RF3" "#9EFF9E" 0.620689655172414 1 0.620689655172414
3 "k__Bacteria;p__Verrucomicrobia;c__Opitutae" "Opitutae" "#FF4FF6" 1 0.310344827586207 0.96551724137931
3 "k__Bacteria;p__Verrucomicrobia;c__Verruco-5" "Verruco-5" "#9561FF" 0.586206896551724 0.379310344827586 1
3 "k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae" "Verrucomicrobiae" "#C1B961" 0.758620689655172 0.724137931034483 0.379310344827586
3 "k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]" "[Pedosphaerae]" "#ED2C35" 0.931034482758621 0.172413793103448 0.206896551724138
3 "k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]" "[Spartobacteria]" "#B06A84" 0.689655172413793 0.413793103448276 0.517241379310345
3 "k__Bacteria;p__[Thermi];c__Deinococci" "Deinococci" "#462C58" 0.275862068965517 0.172413793103448 0.344827586206897
4 "Unassigned;Other;Other;Other" "Unassigned;Other;Other;Other" "#0000FF" 0 0 1
4 "k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales" "Nitrososphaerales" "#FF0000" 1 0 0
4 "k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales" "Halobacteriales" "#00FF00" 0 1 0
4 "k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales" "Methanobacteriales" "#00002C" 0 0 0.172413793103448
4 "k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2" "E2" "#FF1AB9" 1 0.103448275862069 0.724137931034483
4 "k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21" "CCU21" "#FFD300" 1 0.827586206896552 0
4 "k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15" "iii1-15" "#005800" 0 0.344827586206897 0
4 "k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales" "Acidobacteriales" "#8484FF" 0.517241379310345 0.517241379310345 1
4 "k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales" "Solibacterales" "#9E4F46" 0.620689655172414 0.310344827586207 0.275862068965517
4 "k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725" "Sva0725" "#00FFC1" 0 1 0.758620689655172
4 "k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24" "11-24" "#008495" 0 0.517241379310345 0.586206896551724
4 "k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100" "DS-100" "#00007B" 0 0 0.482758620689655
4 "k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41" "RB41" "#95D34F" 0.586206896551724 0.827586206896552 0.310344827586207
4 "k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18" "DS-18" "#F69EDC" 0.96551724137931 0.620689655172414 0.862068965517241
4 "k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales" "Acidimicrobiales" "#D312FF" 0.827586206896552 0.0689655172413793 1
4 "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales" "Actinomycetales" "#7B1A6A" 0.482758620689655 0.103448275862069 0.413793103448276
4 "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales" "Bifidobacteriales" "#F61261" 0.96551724137931 0.0689655172413793 0.379310344827586
4 "k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales" "Coriobacteriales" "#FFC184" 1 0.758620689655172 0.517241379310345
4 "k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__" "" "#232309" 0.137931034482759 0.137931034482759 0.0344827586206897
4 "k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14" "0319-7L14" "#8DA77B" 0.551724137931034 0.655172413793103 0.482758620689655
4 "k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales" "Euzebyales" "#F68409" 0.96551724137931 0.517241379310345 0.0344827586206897
4 "k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales" "Nitriliruptorales" "#847200" 0.517241379310345 0.448275862068966 0
4 "k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales" "Rubrobacterales" "#72F6FF" 0.448275862068966 0.96551724137931 1
4 "k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales" "Gaiellales" "#9EC1FF" 0.620689655172414 0.758620689655172 1
4 "k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales" "Solirubrobacterales" "#72617B" 0.448275862068966 0.379310344827586 0.482758620689655
4 "k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales" "Armatimonadales" "#9E0000" 0.620689655172414 0 0
4 "k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales" "Chthonomonadales" "#004FFF" 0 0.310344827586207 1
4 "k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]" "[Fimbriimonadales]" "#004695" 0 0.275862068965517 0.586206896551724
4 "k__Bacteria;p__BRC1;c__PRR-11;o__" "" "#D3FF00" 0.827586206896552 1 0
4 "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales" "Bacteroidales" "#B94FD3" 0.724137931034483 0.310344827586207 0.827586206896552
4 "k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales" "Cytophagales" "#3E001A" 0.241379310344828 0 0.103448275862069
4 "k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales" "Flavobacteriales" "#EDFFB0" 0.931034482758621 1 0.689655172413793
4 "k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales" "Sphingobacteriales" "#FF7B61" 1 0.482758620689655 0.379310344827586
4 "k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales]" "[Rhodothermales]" "#46FF7B" 0.275862068965517 1 0.482758620689655
4 "k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]" "[Saprospirales]" "#12A761" 0.0689655172413793 0.655172413793103 0.379310344827586
4 "k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales" "Chlamydiales" "#D3A7A7" 0.827586206896552 0.655172413793103 0.655172413793103
4 "k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales" "Anaerolineales" "#D34F84" 0.827586206896552 0.310344827586207 0.517241379310345
4 "k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales" "Ardenscatenales" "#6A00C1" 0.413793103448276 0 0.758620689655172
4 "k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales" "Caldilineales" "#2C6146" 0.172413793103448 0.379310344827586 0.275862068965517
4 "k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__DRC31" "DRC31" "#0095F6" 0 0.586206896551724 0.96551724137931
4 "k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004" "GCA004" "#093E4F" 0.0344827586206897 0.241379310344828 0.310344827586207
4 "k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031" "SBR1031" "#A75809" 0.655172413793103 0.344827586206897 0.0344827586206897
4 "k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__AKIW781" "AKIW781" "#72613E" 0.448275862068966 0.379310344827586 0.241379310344828
4 "k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales" "Chloroflexales" "#099500" 0.0344827586206897 0.586206896551724 0
4 "k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales]" "[Roseiflexales]" "#9E6AB9" 0.620689655172414 0.413793103448276 0.724137931034483
4 "k__Bacteria;p__Chloroflexi;c__Ellin6529;o__" "" "#FFFF72" 1 1 0.448275862068966
4 "k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__" "" "#A7F6CA" 0.655172413793103 0.96551724137931 0.793103448275862
4 "k__Bacteria;p__Chloroflexi;c__S085;o__" "" "#95B0B9" 0.586206896551724 0.689655172413793 0.724137931034483
4 "k__Bacteria;p__Chloroflexi;c__TK10;Other" "TK10;Other" "#B0B009" 0.689655172413793 0.689655172413793 0.0344827586206897
4 "k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__" "" "#2C004F" 0.172413793103448 0 0.310344827586207
4 "k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45" "JG30-KF-CM45" "#00CAFF" 0 0.793103448275862 1
4 "k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales" "Sphaerobacterales" "#4F2300" 0.310344827586207 0.137931034482759 0
4 "k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12" "MLE1-12" "#00B9A7" 0 0.724137931034483 0.655172413793103
4 "k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2" "YS2" "#9E0035" 0.620689655172414 0 0.206896551724138
4 "k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__" "" "#4F7BB0" 0.310344827586207 0.482758620689655 0.689655172413793
4 "k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__CAB-I" "CAB-I" "#1A46C1" 0.103448275862069 0.275862068965517 0.758620689655172
4 "k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta" "Chlorophyta" "#58D300" 0.344827586206897 0.827586206896552 0
4 "k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles" "Stramenopiles" "#729535" 0.448275862068966 0.586206896551724 0.206896551724138
4 "k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta" "Streptophyta" "#E5A735" 0.896551724137931 0.655172413793103 0.206896551724138
4 "k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__" "" "#F68D95" 0.96551724137931 0.551724137931034 0.586206896551724
4 "k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales" "Nostocales" "#6A128D" 0.413793103448276 0.0689655172413793 0.551724137931034
4 "k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales" "Chroococcales" "#E561C1" 0.896551724137931 0.379310344827586 0.758620689655172
4 "k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales" "Oscillatoriales" "#EDD3FF" 0.931034482758621 0.827586206896552 1
4 "k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales" "Pseudanabaenales" "#9EFF9E" 0.620689655172414 1 0.620689655172414
4 "k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales" "Synechococcales" "#FF4FF6" 1 0.310344827586207 0.96551724137931
4 "k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales" "Deferribacterales" "#9561FF" 0.586206896551724 0.379310344827586 1
4 "k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales" "Bacillales" "#C1B961" 0.758620689655172 0.724137931034483 0.379310344827586
4 "k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales" "Gemellales" "#ED2C35" 0.931034482758621 0.172413793103448 0.206896551724138
4 "k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales" "Lactobacillales" "#B06A84" 0.689655172413793 0.413793103448276 0.517241379310345
4 "k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales" "Turicibacterales" "#462C58" 0.275862068965517 0.172413793103448 0.344827586206897
4 "k__Bacteria;p__Firmicutes;c__Clostridia;Other" "Clostridia;Other" "#B98458" 0.724137931034483 0.517241379310345 0.344827586206897
4 "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales" "Clostridiales" "#8D09FF" 0.551724137931034 0.0344827586206897 1
4 "k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98" "SHA-98" "#464F00" 0.275862068965517 0.310344827586207 0
4 "k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales" "Thermoanaerobacterales" "#DCD3B0" 0.862068965517241 0.827586206896552 0.689655172413793
4 "k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales" "Erysipelotrichales" "#E595FF" 0.896551724137931 0.586206896551724 1
4 "k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales" "Fusobacteriales" "#000009" 0 0 0.0344827586206897
4 "k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__" "" "#613E3E" 0.379310344827586 0.241379310344828 0.241379310344828
4 "k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__" "" "#ED0084" 0.931034482758621 0 0.517241379310345
4 "k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__" "" "#B00095" 0.689655172413793 0 0.586206896551724
4 "k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Ellin5290" "Ellin5290" "#6A0000" 0.413793103448276 0 0
4 "k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales" "Gemmatimonadales" "#B9A7FF" 0.724137931034483 0.655172413793103 1
4 "k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales" "Victivallales" "#A795C1" 0.655172413793103 0.586206896551724 0.758620689655172
4 "k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales" "Nitrospirales" "#842C4F" 0.517241379310345 0.172413793103448 0.310344827586207
4 "k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5;o__" "" "#727B72" 0.448275862068966 0.482758620689655 0.448275862068966
4 "k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales" "Phycisphaerales" "#DC4600" 0.862068965517241 0.275862068965517 0
4 "k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101" "WD2101" "#093500" 0.0344827586206897 0.206896551724138 0
4 "k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales" "Gemmatales" "#95CA7B" 0.586206896551724 0.793103448275862 0.482758620689655
4 "k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales" "Pirellulales" "#0012D3" 0 0.0689655172413793 0.827586206896552
4 "k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales" "Planctomycetales" "#B9EDFF" 0.724137931034483 0.931034482758621 1
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__" "" "#583E95" 0.344827586206897 0.241379310344828 0.586206896551724
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3" "BD7-3" "#468446" 0.275862068965517 0.517241379310345 0.275862068965517
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales" "Caulobacterales" "#B0FF4F" 0.689655172413793 1 0.310344827586207
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329" "Ellin329" "#46CA58" 0.275862068965517 0.793103448275862 0.344827586206897
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32" "RF32" "#E5586A" 0.896551724137931 0.344827586206897 0.413793103448276
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales" "Rhizobiales" "#ED8D46" 0.931034482758621 0.551724137931034 0.275862068965517
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales" "Rhodobacterales" "#7B4F12" 0.482758620689655 0.310344827586207 0.0689655172413793
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales" "Rhodospirillales" "#6172CA" 0.379310344827586 0.448275862068966 0.793103448275862
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales" "Rickettsiales" "#00FFED" 0 1 0.931034482758621
4 "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales" "Sphingomonadales" "#4F9584" 0.310344827586207 0.586206896551724 0.517241379310345
4 "k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other" "Betaproteobacteria;Other" "#B900CA" 0.724137931034483 0 0.793103448275862
4 "k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__" "" "#FFDC72" 1 0.862068965517241 0.448275862068966
4 "k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__ASSO-13" "ASSO-13" "#1223B9" 0.0689655172413793 0.137931034482759 0.724137931034483
