sample reads.in reads.out
16S-B-D9-L0_1-0-B-D9.fastq.gz 25552 24389
16S-B-D9-L1_2-1-B-D9.fastq.gz 31830 30345
16S-B-D9-L2_3-2-B-D9.fastq.gz 38722 37510
16S-B-E1-L0_1-0-B-E1.fastq.gz 48857 47038
16S-B-E1-L1_2-1-B-E1.fastq.gz 85189 81217
16S-B-E1-L2_3-2-B-E1.fastq.gz 44874 43788
16S-B-E2-L0_1-0-B-E2.fastq.gz 23448 22664
16S-B-E2-L1_2-1-B-E2.fastq.gz 34973 33280
16S-B-E2-L2_3-2-B-E2.fastq.gz 34331 33328
16S-B-E3-L0_1-0-B-E3.fastq.gz 12146 11620
16S-B-E3-L1_2-1-B-E3.fastq.gz 28511 27094
16S-B-E3-L2_3-2-B-E3.fastq.gz 31758 30899
16S-B-E4-L0_1-0-B-E4.fastq.gz 36008 34677
16S-B-E4-L1_2-1-B-E4.fastq.gz 32531 31025
16S-B-E4-L2_3-2-B-E4.fastq.gz 40311 39233
16S-B-E5-L0_1-0-B-E5.fastq.gz 23554 22560
16S-B-E5-L1_2-1-B-E5.fastq.gz 38077 36299
16S-B-E5-L2_3-2-B-E5.fastq.gz 36069 34998
16S-B-E6-L0_1-0-B-E6.fastq.gz 34845 33427
16S-B-E6-L1_2-1-B-E6.fastq.gz 39985 37906
16S-B-E6-L2_3-2-B-E6.fastq.gz 36511 35329
16S-B-E7-L0_1-0-B-E7.fastq.gz 20473 19724
16S-B-E7-L1_2-1-B-E7.fastq.gz 32905 31303
16S-B-E7-L2_3-2-B-E7.fastq.gz 33424 32514
16S-B-E8-L0_1-0-B-E8.fastq.gz 2844 2721
16S-B-E8-L1_2-1-B-E8.fastq.gz 1691 1611
16S-B-E8-L2_3-2-B-E8.fastq.gz 1794 1727
16S-B-E9-L0_1-0-B-E9.fastq.gz 23133 22175
16S-B-E9-L1_2-1-B-E9.fastq.gz 29330 27847
16S-B-E9-L2_3-2-B-E9.fastq.gz 21474 20807
16S-B-F1-L0_1-0-B-F1.fastq.gz 50437 48389
16S-B-F1-L1_2-1-B-F1.fastq.gz 99073 94232
16S-B-F1-L2_3-2-B-F1.fastq.gz 61290 59756
16S-B-F2-L0_1-0-B-F2.fastq.gz 37213 35710
16S-B-F2-L1_2-1-B-F2.fastq.gz 51707 49207
16S-B-F2-L2_3-2-B-F2.fastq.gz 31622 30809
16S-B-F3-L0_1-0-B-F3.fastq.gz 50539 48580
16S-B-F3-L1_2-1-B-F3.fastq.gz 60782 57479
16S-B-F3-L2_3-2-B-F3.fastq.gz 32688 31770
16S-B-F4-L0_1-0-B-F4.fastq.gz 39408 37954
16S-B-F4-L1_2-1-B-F4.fastq.gz 68664 65549
16S-B-F4-L2_3-2-B-F4.fastq.gz 41419 40356
16S-B-F5-L0_1-0-B-F5.fastq.gz 45277 43645
16S-B-F5-L1_2-1-B-F5.fastq.gz 41362 39567
16S-B-F5-L2_3-2-B-F5.fastq.gz 33058 32240
16S-B-F6-L0_1-0-B-F6.fastq.gz 50980 48652
16S-B-F6-L1_2-1-B-F6.fastq.gz 54762 51957
16S-B-F6-L2_3-2-B-F6.fastq.gz 42030 40741
16S-B-F7-L0_1-0-B-F7.fastq.gz 47381 45525
16S-B-F7-L1_2-1-B-F7.fastq.gz 37655 35920
16S-B-F7-L2_3-2-B-F7.fastq.gz 33475 32556
16S-B-F8-L0_1-0-B-F8.fastq.gz 32085 30805
16S-B-F8-L1_2-1-B-F8.fastq.gz 33378 31655
16S-B-F8-L2_3-2-B-F8.fastq.gz 24858 24246
16S-B-F9-L0_1-0-B-F9.fastq.gz 51754 49574
16S-B-F9-L1_2-1-B-F9.fastq.gz 80174 76078
16S-B-F9-L2_3-2-B-F9.fastq.gz 25779 25147
16S-B-G1-L0_1-0-B-G1.fastq.gz 69203 66666
16S-B-G1-L1_2-1-B-G1.fastq.gz 28555 27190
16S-B-G1-L2_3-2-B-G1.fastq.gz 25733 25044
16S-B-G2-L0_1-0-B-G2.fastq.gz 80376 77488
16S-B-G2-L1_2-1-B-G2.fastq.gz 92586 87977
16S-B-G2-L2_3-2-B-G2.fastq.gz 70196 68452
16S-B-G3-L0_1-0-B-G3.fastq.gz 63570 61109
16S-B-G3-L1_2-1-B-G3.fastq.gz 71963 68490
16S-B-G3-L2_3-2-B-G3.fastq.gz 69774 67873
16S-B-G4-L0_1-0-B-G4.fastq.gz 40924 39409
16S-B-G4-L1_2-1-B-G4.fastq.gz 81420 77485
16S-B-G4-L2_3-2-B-G4.fastq.gz 47612 46305
16S-B-G5-L0_1-0-B-G5.fastq.gz 47584 45688
16S-B-G5-L1_2-1-B-G5.fastq.gz 47953 45763
16S-B-G5-L2_3-2-B-G5.fastq.gz 43288 42083
16S-B-G6-L0_1-0-B-G6.fastq.gz 61294 59033
16S-B-G6-L1_2-1-B-G6.fastq.gz 58686 56174
16S-B-G6-L2_3-2-B-G6.fastq.gz 38195 37272
16S-B-G7-L0_1-0-B-G7.fastq.gz 93430 89910
16S-B-G7-L1_2-1-B-G7.fastq.gz 36600 34668
16S-B-G7-L2_3-2-B-G7.fastq.gz 84051 81881
16S-B-G8-L0_1-0-B-G8.fastq.gz 61914 59394
16S-B-G8-L1_2-1-B-G8.fastq.gz 65028 61800
16S-B-G8-L2_3-2-B-G8.fastq.gz 40177 38983
16S-B-G9-L0_1-0-B-G9.fastq.gz 102838 98984
16S-B-G9-L1_2-1-B-G9.fastq.gz 90163 85976
16S-B-G9-L2_3-2-B-G9.fastq.gz 80370 78365
16S-B-H1-L0_1-0-B-H1.fastq.gz 61602 59263
16S-B-H1-L1_2-1-B-H1.fastq.gz 74712 70872
16S-B-H1-L2_3-2-B-H1.fastq.gz 38276 37307
16S-B-H2-L0_1-0-B-H2.fastq.gz 48201 46241
16S-B-H2-L1_2-1-B-H2.fastq.gz 97423 92371
16S-B-H2-L2_3-2-B-H2.fastq.gz 98799 96090
16S-B-H3-L0_1-0-B-H3.fastq.gz 55044 52796
16S-B-H3-L1_2-1-B-H3.fastq.gz 107612 102528
16S-B-H3-L2_3-2-B-H3.fastq.gz 102814 100010
16S-B-H4-L0_1-0-B-H4.fastq.gz 53462 50939
16S-B-H4-L1_2-1-B-H4.fastq.gz 78508 74351
16S-B-H4-L2_3-2-B-H4.fastq.gz 91358 88188
16S-B-H5-L0_1-0-B-H5.fastq.gz 75059 71676
16S-B-H5-L1_2-1-B-H5.fastq.gz 117161 111327
16S-B-H5-L2_3-2-B-H5.fastq.gz 102456 99327
16S-B-H6-L0_1-0-B-H6.fastq.gz 54167 51944
16S-B-H6-L1_2-1-B-H6.fastq.gz 96915 92317
16S-B-H6-L2_3-2-B-H6.fastq.gz 102349 99312
16S-B-H7-L0_1-0-B-H7.fastq.gz 66531 63696
16S-B-H7-L1_2-1-B-H7.fastq.gz 55700 52915
16S-B-H7-L2_3-2-B-H7.fastq.gz 92174 89490
16S-B-H8-L0_1-0-B-H8.fastq.gz 41571 40107
16S-B-H8-L1_2-1-B-H8.fastq.gz 85374 81506
16S-B-H8-L2_3-2-B-H8.fastq.gz 96612 94052
16S-B-H9-L0_1-0-B-H9.fastq.gz 61334 59067
16S-B-H9-L1_2-1-B-H9.fastq.gz 80829 76606
16S-B-H9-L2_3-2-B-H9.fastq.gz 89650 87262
