rs1	rs2	rt1	rt3	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	sharedSratio	sharedTratio
0.95	0.8	0.05	0.05	1	1	alldata	TRUE	FALSE	0.110892682342844	0.989982077666052	8.92738868562448	0.842105263157895	1
0.05	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00604554398863387	0.505757194578565	83.6578470902586	19	1
0.2	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0072312871508454	0.580183609012483	80.232411866628	4.75	1
0.35	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.00955426969460227	0.850172379476941	88.983502313866	2.71428571428571	1
0.5	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0139885960385793	0.976200088571977	69.7854227743588	1.9	1
0.65	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0221911591806069	0.98755756788238	44.5022975070819	1.46153846153846	1
0.8	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0368235006665452	0.989312789253502	26.8663427253213	1.1875	1
0.95	0.95	0.05	0.05	1	1	alldata	TRUE	FALSE	0.0617844674216625	0.989782502795376	16.0199244907361	1	1
0.05	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.836948082135014	0.990156461261693	1.18305601314702	1	0.25
0.2	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.940601368095019	0.990176865013305	1.05270617139192	0.25	0.25
0.35	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.958000639597813	0.990180121311565	1.03359025076148	0.142857142857143	0.25
0.5	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.964866796846151	0.990181610783572	1.02623658936152	0.1	0.25
0.65	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.968462703909894	0.990182466940132	1.02242705159688	0.0769230769230769	0.25
0.8	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.970643066402493	0.990183029714872	1.02013094616211	0.0625	0.25
0.95	0.05	0.2	0.05	1	1	alldata	TRUE	FALSE	0.972093841432928	0.990183426967473	1.0186088881171	0.0526315789473684	0.25
0.05	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.427930422130504	0.987424769025335	2.30744232697764	4	0.25
0.2	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.523102935217227	0.990112469759351	1.89276794890893	1	0.25
0.35	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.717617140751613	0.990157005222789	1.37978449648754	0.571428571428572	0.25
0.5	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.8463630180973	0.990168594022783	1.16991004196848	0.4	0.25
0.65	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.902166185822313	0.990173661081901	1.09755129004239	0.307692307692308	0.25
0.8	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.928411132576208	0.990176459497543	1.06652799040652	0.25	0.25
0.95	0.2	0.2	0.05	1	1	alldata	TRUE	FALSE	0.942523581638877	0.99017822081143	1.05056068633285	0.210526315789474	0.25
0.05	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.417607908021946	0.885364969497125	2.12008669493538	7	0.25
0.2	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.448779626952158	0.9896485846403	2.20519944579793	1.75	0.25
0.35	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.476794908048699	0.990068165489657	2.07650742232451	1	0.25
