

Software Version	3.09.07



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0050.B4.xpt
Protocol File Path:	C:\Users\Public\Documents\Experiments\Doran\96well-48hr-orbital.prt



Plate Number	Plate 1
Date	10/11/2023
Time	12:09:58 PM
Reader Type:	Epoch 2
Reader Serial Number:	200304C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
38:44:16	37.1	1.63080	1.68820	1.71990	0.47900	0.67780	1.49490	1.37660	0.54090	0.49000	1.19660	1.20160	1.00500	1.66110	1.69560	1.66250	0.89290	1.59380	1.61760	1.65540	0.80660	0.56210	1.05810	1.20420	1.10340	1.70720	1.62670	1.65340	0.94640	1.60420	1.61910	1.58460	0.80390	0.65530	1.24060	1.10840	1.06870	1.69380	1.61260	1.65840	0.89220	1.65140	1.56030	1.61330	0.87100	0.58620	0.98300	1.07590	1.12790	1.58240	1.69110	1.63300	0.79000	1.63630	1.65830	1.66190	0.80680	0.73580	1.03720	1.12260	1.10510	1.62530	1.60630	1.51760	0.84010	1.66080	1.66050	1.65220	0.83240	0.65790	1.21090	1.04190	0.84800	1.52060	1.54330	1.59710	0.83120	1.57760	1.56580	1.64410	0.61550	0.59600	0.98290	0.92800	0.99560	1.01290	1.16930	1.15180	0.36020	1.18370	1.23540	1.26250	0.26140	0.27750	1.01050	1.00900	0.94280
38:59:16	37.1	1.62800	1.68490	1.72050	0.45080	0.53120	1.49340	1.37280	0.63370	0.50120	1.18470	1.20840	1.05120	1.66060	1.69620	1.65780	0.89420	1.59220	1.61580	1.65140	0.80360	0.68280	1.05570	1.19940	1.10470	1.70650	1.63860	1.65970	0.98500	1.60520	1.61700	1.58390	0.82640	0.67440	1.23560	1.10380	1.09260	1.69260	1.61130	1.65970	0.89270	1.64740	1.55450	1.61470	0.85780	0.63540	0.97890	1.08080	1.13080	1.58160	1.68280	1.63300	0.76250	1.63520	1.65890	1.65930	0.80480	0.74660	1.04020	1.11380	1.08950	1.62130	1.62280	1.51390	0.82970	1.65920	1.66170	1.64240	0.82160	0.60000	1.21390	1.03920	0.79650	1.51860	1.54670	1.59800	0.81190	1.57520	1.56400	1.64380	0.61980	0.65470	0.95280	0.92280	0.97100	0.98580	1.17870	1.12130	0.34920	1.20870	1.20380	1.22610	0.32010	0.31580	1.00780	0.98350	0.92630
39:14:15	37.0	1.62590	1.68520	1.71750	0.48960	0.56460	1.49220	1.39700	0.64990	0.54420	1.22000	1.20140	1.07930	1.65920	1.69170	1.66420	0.88740	1.59810	1.62210	1.65390	0.81470	0.80300	1.05630	1.19350	1.08650	1.70690	1.62370	1.65930	0.95950	1.60580	1.62710	1.58840	0.84980	0.67980	1.22940	1.09000	1.04630	1.69600	1.61170	1.65230	0.89870	1.64870	1.56900	1.61460	0.74070	0.58440	0.95160	1.07840	1.13220	1.58200	1.67580	1.63280	0.77610	1.63620	1.66060	1.65970	0.82520	0.74580	1.06740	1.12210	1.10040	1.61870	1.62850	1.51110	0.81150	1.65900	1.65780	1.65560	0.80650	0.62530	1.20560	1.03900	0.83610	1.51650	1.54090	1.59640	0.81830	1.57510	1.56060	1.64670	0.53840	0.62720	1.03110	0.92540	0.97050	1.06090	1.12430	1.13300	0.29690	1.20350	1.16540	1.20100	0.43530	0.33640	1.02840	0.97790	0.91760
39:29:16	37.0	1.62560	1.68250	1.71720	0.45160	0.53770	1.49140	1.37970	0.58860	0.49840	1.19080	1.20970	1.03970	1.65960	1.69120	1.65540	0.88900	1.59300	1.61470	1.65220	0.77820	0.78050	1.05370	1.16330	1.05880	1.70670	1.62410	1.65120	0.92710	1.60110	1.61700	1.58220	0.81490	0.66290	1.23980	1.07920	1.07760	1.69590	1.60910	1.65720	0.89520	1.64760	1.55570	1.61470	0.67470	0.59720	0.94960	1.08240	1.12790	1.58020	1.67470	1.63210	0.76670	1.63490	1.65970	1.66270	0.81840	0.72830	1.06270	1.12330	1.09120	1.61460	1.63050	1.50760	0.81330	1.65960	1.66150	1.64790	0.82550	0.61500	1.21210	1.03750	0.79070	1.51360	1.53990	1.59590	0.82430	1.57320	1.56060	1.64780	0.55230	0.54120	0.97570	0.91270	1.01290	1.02380	1.07890	1.04460	0.55570	1.19540	1.17330	1.20140	0.47620	0.30850	0.95900	0.98310	0.86970
39:44:16	37.0	1.62250	1.68210	1.71730	0.50310	0.55690	1.49290	1.39270	0.63500	0.47750	1.19620	1.21240	1.05810	1.65900	1.69060	1.66140	0.88880	1.59350	1.61770	1.65500	0.81250	0.77910	1.05640	1.16800	1.04780	1.70620	1.64250	1.66280	0.90750	1.60370	1.61840	1.58420	0.84840	0.68090	1.24250	1.06310	1.07890	1.69680	1.61010	1.65460	0.88420	1.64790	1.55810	1.61370	0.82420	0.59810	0.94670	1.08400	1.12840	1.58160	1.68940	1.63310	0.78620	1.63340	1.65430	1.66500	0.80800	0.72240	1.06770	1.12760	1.09650	1.61060	1.63230	1.50450	0.81690	1.65770	1.65790	1.63990	0.83420	0.58870	1.20230	1.04570	0.77730	1.51250	1.53740	1.59670	0.80960	1.57030	1.55810	1.63090	0.55680	0.64540	1.02960	0.89910	0.99250	0.93280	1.09800	1.06250	0.34140	1.18810	1.16720	1.33910	0.46350	0.35640	0.95500	0.99640	0.84870
39:59:16	37.0	1.62240	1.67880	1.71690	0.43850	0.54720	1.49290	1.39550	0.65660	0.53520	1.20760	1.22010	1.04950	1.65750	1.69150	1.66530	0.88420	1.59270	1.61730	1.65640	0.79180	0.83740	1.06180	1.19280	1.07380	1.70670	1.62130	1.65220	0.91620	1.60280	1.61730	1.58300	0.83230	0.68530	1.25020	1.06330	1.08530	1.69540	1.60920	1.65560	0.86930	1.64850	1.56010	1.61430	0.72560	0.57750	0.95290	1.08590	1.12960	1.57910	1.67340	1.63230	0.75630	1.63360	1.65420	1.65870	0.79820	0.73240	1.07280	1.12390	1.10220	1.60310	1.63150	1.50360	0.83020	1.65480	1.65790	1.63960	0.82020	0.60730	1.19610	1.04780	0.77970	1.50800	1.53800	1.59650	0.82240	1.56840	1.55810	1.62140	0.57290	0.66100	1.05380	0.89200	0.99170	0.90400	1.06330	1.04050	0.32060	1.16910	1.13740	1.17090	0.36230	0.36630	0.96510	0.94240	0.81920
40:14:16	37.0	1.62240	1.67830	1.71810	0.50490	0.53570	1.49080	1.37550	0.66140	0.51040	1.18960	1.21820	1.02740	1.65730	1.69180	1.65990	0.88760	1.59160	1.61460	1.65370	0.80930	0.78700	1.05510	1.18950	1.09190	1.70620	1.62600	1.64750	0.96430	1.60230	1.61530	1.58270	0.82480	0.68350	1.24530	1.06830	1.06580	1.69810	1.60930	1.66120	0.87680	1.64730	1.55120	1.61340	0.81280	0.62830	0.95820	1.08840	1.11550	1.57880	1.67430	1.63000	0.75720	1.63140	1.65200	1.65610	0.81020	0.73590	1.06870	1.11520	1.09970	1.59530	1.62040	1.49790	0.82900	1.65540	1.65910	1.63810	0.81240	0.61820	1.18730	1.04660	0.75450	1.50670	1.53230	1.59510	0.80260	1.56930	1.55510	1.62050	0.57570	0.56080	1.10140	0.87670	1.03070	0.87310	1.07830	1.01710	0.33130	1.17470	1.13340	1.17840	0.38780	0.36250	1.02910	0.97110	0.70540
40:29:16	37.0	1.61910	1.67740	1.71540	0.45670	0.60570	1.49390	1.38750	0.69230	0.48050	1.19240	1.21890	1.08630	1.65720	1.68900	1.65670	0.88890	1.59180	1.61720	1.65390	0.80700	0.79830	1.05710	1.19990	1.05900	1.70550	1.63940	1.64740	0.98790	1.60250	1.61990	1.58140	0.83360	0.68450	1.23730	1.07000	1.07760	1.69510	1.61150	1.65530	0.88900	1.64920	1.55150	1.61420	1.01130	0.56020	0.96630	1.08700	1.11310	1.57800	1.67410	1.63140	0.75750	1.63210	1.65230	1.65460	0.82010	0.73420	1.06040	1.10320	1.10370	1.59160	1.60420	1.49770	0.80980	1.65300	1.65620	1.63680	0.82950	0.66620	1.18100	1.05120	0.75200	1.50510	1.53550	1.59390	0.81630	1.56300	1.55220	1.62260	0.57130	0.64580	1.13760	0.86800	0.99290	0.85840	1.03860	1.00230	0.23740	1.11120	1.10720	1.17200	0.23940	0.35940	0.89520	0.93600	0.70020
40:44:16	37.0	1.61960	1.67360	1.71560	0.48320	0.76270	1.49150	1.38610	0.67420	0.52960	1.19460	1.22130	1.05300	1.65440	1.69160	1.65610	0.88980	1.59440	1.61450	1.65570	0.79030	0.81910	1.05530	1.20530	1.06760	1.70600	1.62310	1.64950	0.95890	1.60080	1.61490	1.58180	0.82910	0.69300	1.23840	1.07470	1.07010	1.69150	1.61070	1.65750	0.88930	1.64810	1.54840	1.61430	0.66770	0.64170	0.96750	1.09590	1.12460	1.57760	1.67250	1.62940	0.78470	1.63050	1.65240	1.65480	0.81440	0.71520	1.05410	1.10260	1.09610	1.58760	1.58920	1.49580	0.80270	1.65190	1.65460	1.63700	0.83140	0.63900	1.18540	1.04290	0.74880	1.50490	1.53750	1.59560	0.80790	1.56510	1.55300	1.62230	0.55110	0.59930	1.13230	0.86690	1.03990	0.83520	1.07560	1.00330	0.29190	1.14820	1.09660	1.21240	0.25840	0.35510	0.91480	0.93880	0.64790
40:59:16	37.0	1.61790	1.67040	1.71620	0.47320	0.73870	1.48950	1.37850	0.68470	0.52340	1.18490	1.21680	1.07650	1.65230	1.68940	1.65570	0.89120	1.59000	1.61560	1.65390	0.81130	0.78200	1.04850	1.18030	1.06120	1.70630	1.63610	1.65100	0.93510	1.60040	1.61640	1.57980	0.82150	0.68490	1.23630	1.07490	1.07570	1.69670	1.61220	1.65900	0.88970	1.64720	1.54660	1.61480	0.94800	0.56580	0.96530	1.07960	1.11930	1.57680	1.67260	1.62900	0.75320	1.63010	1.65210	1.65880	0.79970	0.71330	1.04630	1.09070	1.08520	1.58300	1.58680	1.49340	0.80690	1.64930	1.65710	1.63570	0.81330	0.68580	1.19090	1.03620	0.74750	1.50420	1.53280	1.59430	0.80480	1.56150	1.55100	1.61020	0.55070	0.58360	1.10510	0.87580	1.03450	0.81290	1.05790	0.92760	0.31190	1.12730	1.09200	1.15860	0.34460	0.34260	0.87370	0.90580	0.66370
41:14:16	37.0	1.61660	1.66700	1.71600	0.45080	0.76450	1.48940	1.38810	0.67240	0.47830	1.18420	1.21400	1.07760	1.65140	1.68980	1.65740	0.89260	1.59190	1.61360	1.66050	0.79270	0.78090	1.05260	1.16910	1.07200	1.70790	1.62440	1.65260	0.92680	1.60150	1.61430	1.58360	0.75310	0.69520	1.22840	1.06730	1.07620	1.70500	1.61290	1.65880	0.89270	1.64580	1.54300	1.61380	1.10580	0.66060	0.97990	1.06920	1.11450	1.57460	1.67240	1.63030	0.74710	1.62950	1.65170	1.66320	0.80760	0.73150	1.03980	1.09620	1.07960	1.58120	1.58100	1.49190	0.81840	1.64650	1.65510	1.64270	0.82550	0.67680	1.18700	1.03420	0.75520	1.50440	1.53300	1.59330	0.81410	1.56010	1.54830	1.60920	0.56160	0.53780	1.13030	0.88880	1.03300	0.78300	1.04490	0.92560	0.24750	1.07820	1.09120	1.15960	0.34750	0.28220	0.88410	0.90060	0.64190
41:29:16	37.0	1.61560	1.67050	1.71580	0.49180	0.61650	1.49110	1.38710	0.67460	0.48760	1.19020	1.20720	1.08110	1.65390	1.68820	1.66140	0.89380	1.59220	1.61630	1.65420	0.81400	0.80450	1.05790	1.18350	1.13200	1.70620	1.66350	1.65500	0.96140	1.60220	1.61450	1.58050	0.65850	0.71220	1.22490	1.05260	1.07480	1.70040	1.61300	1.65660	0.86990	1.64830	1.54580	1.61370	0.98620	0.58560	0.99000	1.06960	1.11460	1.57560	1.69310	1.63110	0.74760	1.62860	1.65230	1.66240	0.81880	0.72970	1.04590	1.10020	1.07740	1.57880	1.58350	1.48660	0.82680	1.64470	1.65410	1.63520	0.83200	0.70420	1.19120	1.03190	0.75130	1.50670	1.53260	1.59330	0.79530	1.55810	1.54790	1.60050	0.56730	0.59160	1.14360	0.88020	1.02710	0.76520	1.02150	0.94530	0.26840	1.10340	1.08200	1.12610	0.25760	0.32170	0.90900	0.91190	0.60670
41:44:16	37.0	1.61470	1.66380	1.71590	0.45650	0.55820	1.48990	1.38370	0.67240	0.49420	1.17900	1.19350	1.07100	1.65330	1.68690	1.66130	0.89340	1.59010	1.61660	1.66000	0.78260	0.78750	1.05680	1.18190	1.11640	1.70680	1.66560	1.64740	0.98110	1.60280	1.61350	1.58370	0.60200	0.68890	1.21250	1.04720	1.08570	1.69830	1.61210	1.65930	0.87660	1.65090	1.54030	1.61430	0.79160	0.62050	0.99430	1.07650	1.10830	1.57430	1.67290	1.62890	0.77670	1.62810	1.65120	1.65520	0.81550	0.70990	1.02710	1.10740	1.07380	1.57790	1.57760	1.48690	0.80790	1.64370	1.65410	1.63510	0.82600	0.65390	1.18980	1.02760	0.77320	1.52080	1.52850	1.59190	0.81000	1.55210	1.54760	1.59450	0.54740	0.61650	1.10640	0.85200	1.05250	0.73760	1.00430	0.94710	0.22170	1.07260	1.05940	1.12190	0.26810	0.26340	0.90690	0.86480	0.58610
41:59:16	37.0	1.61640	1.66270	1.71270	0.44140	0.73200	1.48960	1.39710	0.71250	0.52980	1.20620	1.19340	1.07130	1.65220	1.68500	1.65750	0.89250	1.59260	1.61480	1.65900	0.79570	0.84290	1.07470	1.21470	1.12310	1.70670	1.62170	1.65000	0.96870	1.60200	1.61200	1.58500	0.58250	0.70720	1.22710	1.03640	1.10620	1.69160	1.61280	1.65830	0.88060	1.64700	1.55050	1.61520	0.78350	0.62320	1.00740	1.10940	1.10120	1.57240	1.68150	1.62660	0.73790	1.62640	1.65310	1.65960	0.79930	0.69150	1.03290	1.09570	1.07150	1.57580	1.57730	1.48300	0.79480	1.64140	1.65460	1.63160	0.80700	0.70740	1.20120	1.02470	0.75060	1.52590	1.52720	1.59100	0.78640	1.55020	1.54460	1.58830	0.54450	0.65940	1.10580	0.85420	1.05240	0.71670	0.99750	0.86410	0.22800	1.03940	1.04990	1.10260	0.28390	0.28800	0.83890	0.85510	0.57310
42:14:16	37.0	1.61560	1.66110	1.71420	0.49490	0.69720	1.48900	1.39400	0.67170	0.53070	1.18200	1.18440	1.06080	1.65190	1.68520	1.65920	0.88900	1.59280	1.61700	1.65550	0.79780	0.78690	1.06260	1.19120	1.08990	1.70620	1.66610	1.64790	0.94470	1.60170	1.61350	1.57970	0.55870	0.70040	1.21670	1.04630	1.08430	1.69180	1.61150	1.65570	0.88810	1.65150	1.54140	1.61420	0.86960	0.57710	0.99460	1.10110	1.10870	1.57390	1.66980	1.62850	0.73980	1.62590	1.65150	1.65890	0.80320	0.71030	1.01470	1.08530	1.07680	1.57260	1.57610	1.47830	0.79630	1.63970	1.65370	1.63370	0.83010	0.66670	1.16460	1.02560	0.76720	1.52410	1.52670	1.59110	0.79200	1.54620	1.54460	1.58220	0.55560	0.64320	1.15940	0.84080	1.05460	0.69420	0.98910	0.87270	0.28660	1.02260	1.04200	1.08700	0.23010	0.34350	0.82950	0.85620	0.56350
42:29:16	37.0	1.61540	1.65880	1.71430	0.45650	0.76100	1.48800	1.39760	0.72600	0.51900	1.18250	1.18660	1.04670	1.64990	1.68430	1.65910	0.88910	1.59180	1.61310	1.65750	0.80810	0.79730	1.06230	1.16920	1.11830	1.70500	1.64760	1.64700	0.92960	1.60160	1.61290	1.58190	0.57940	0.69670	1.22430	1.05100	1.09290	1.68710	1.54230	1.65720	0.89460	1.64810	1.53720	1.61470	0.85450	0.62780	0.98770	1.11130	1.10330	1.57160	1.68020	1.62500	0.75310	1.62650	1.65160	1.65920	0.80940	0.69570	1.01060	1.07950	1.07690	1.57120	1.57180	1.47620	0.80610	1.63920	1.65240	1.63080	0.84130	0.69330	1.16330	1.02870	0.76130	1.52290	1.52330	1.59010	0.76000	1.54310	1.54140	1.57460	0.56250	0.54630	1.14720	0.80640	1.06460	0.67110	0.98470	0.86550	0.23770	1.01050	1.04230	1.08930	0.21210	0.33870	0.82020	0.82480	0.53420
42:44:16	37.0	1.61160	1.65510	1.71440	0.42780	0.74040	1.48880	1.39380	0.67380	0.45730	1.17800	1.18810	1.03330	1.64870	1.68300	1.65640	0.88760	1.59040	1.61570	1.66280	0.79950	0.78540	1.06130	1.18200	1.08430	1.70550	1.63340	1.64730	0.95470	1.60150	1.61280	1.58120	0.57180	0.68080	1.23230	1.05200	1.11350	1.66470	1.52050	1.65740	0.89210	1.64850	1.53810	1.61460	0.85730	0.58330	0.98440	1.10220	1.09950	1.57230	1.67080	1.62650	0.75840	1.62420	1.65160	1.65740	0.80850	0.66450	1.01600	1.07210	1.06150	1.56970	1.56910	1.47520	0.81680	1.63810	1.65050	1.63980	0.81320	0.66140	1.17050	1.03120	0.75780	1.52700	1.49240	1.58780	0.77480	1.53970	1.53960	1.56450	0.55010	0.64860	1.13490	0.77570	1.07940	0.64800	0.94720	0.85340	0.21130	1.01140	1.02390	1.06650	0.26970	0.30820	0.80920	0.80450	0.50740
42:59:16	37.0	1.61170	1.65560	1.71140	0.48370	0.70520	1.48950	1.39960	0.73420	0.47100	1.17890	1.19280	1.00390	1.64780	1.68250	1.65820	0.88360	1.59180	1.61670	1.66400	0.80690	0.77380	1.05690	1.18590	1.02900	1.70640	1.62220	1.64670	0.98180	1.60140	1.61380	1.58290	0.56950	0.68900	1.22740	1.04860	1.09730	1.66550	1.49900	1.65900	0.87820	1.64880	1.53730	1.61760	0.93970	0.58750	0.96970	1.09230	1.09770	1.57170	1.67150	1.62500	0.72600	1.62430	1.65250	1.65670	0.78950	0.70550	1.02610	1.07700	1.05530	1.56880	1.56980	1.47580	0.79950	1.63650	1.64880	1.64130	0.81720	0.68780	1.16910	1.03360	0.73100	1.52760	1.49450	1.58790	0.76820	1.53710	1.53690	1.55990	0.54260	0.65370	1.14970	0.76420	1.06470	0.62650	0.88100	0.88830	0.25250	0.98740	1.03290	1.04860	0.24930	0.30780	0.79580	0.82850	0.48420
43:14:16	37.0	1.60790	1.65090	1.71300	0.49060	0.76560	1.48900	1.39670	0.69120	0.49150	1.18700	1.18960	1.02600	1.64670	1.68420	1.65710	0.88510	1.59150	1.61490	1.66420	0.80870	0.76050	1.05850	1.20400	1.07230	1.70480	1.62190	1.64630	0.97180	1.59990	1.61080	1.58420	0.58970	0.69600	1.23200	1.03620	1.10080	1.66790	1.49890	1.66020	0.87260	1.64830	1.53230	1.61560	0.83340	0.64260	0.97600	1.10090	1.09150	1.57090	1.67070	1.62490	0.73570	1.62270	1.65100	1.65710	0.79640	0.70700	1.04550	1.08520	1.05520	1.56690	1.56850	1.47050	0.78310	1.63370	1.65280	1.63720	0.82420	0.67460	1.17240	1.03070	0.72770	1.52820	1.49620	1.58580	0.74840	1.53380	1.53460	1.55090	0.54210	0.55460	1.15240	0.73930	1.06400	0.60460	0.86860	0.89310	0.24100	0.96820	1.01060	1.06460	0.21220	0.21760	0.78660	0.79570	0.46160
43:29:16	37.0	1.60460	1.64900	1.71200	0.44840	0.70620	1.48700	1.39550	0.70110	0.50500	1.18510	1.18710	0.93130	1.64680	1.68170	1.65910	0.88820	1.59790	1.61810	1.65980	0.79400	0.78730	1.04150	1.19370	1.05860	1.70470	1.62120	1.66250	0.94430	1.60160	1.61180	1.58070	0.56060	0.68050	1.23010	1.02640	1.08400	1.66680	1.50530	1.65910	0.88480	1.64770	1.53430	1.61850	0.93180	0.57390	0.95100	1.10630	1.09310	1.57060	1.67180	1.62550	0.76130	1.62350	1.65010	1.66010	0.81060	0.66860	1.05500	1.08340	1.05910	1.56640	1.56990	1.46820	0.78950	1.63090	1.64930	1.63870	0.82240	0.68230	1.17580	1.03450	0.70520	1.52940	1.49820	1.58500	0.76480	1.53150	1.53260	1.54070	0.56470	0.57320	1.13210	0.76120	1.06770	0.58360	0.88680	0.91120	0.22140	0.96730	1.00510	1.07340	0.22450	0.25620	0.79090	0.75830	0.43890
43:44:16	37.0	1.60070	1.64350	1.71190	0.47440	0.75600	1.48540	1.38540	0.73620	0.53650	1.17770	1.17780	0.93740	1.64120	1.68230	1.65640	0.88670	1.58350	1.61030	1.66240	0.81140	0.81810	1.03800	1.17700	1.03070	1.70480	1.62560	1.64570	0.93910	1.60150	1.61020	1.58480	0.60480	0.66030	1.22570	1.02320	1.11190	1.66520	1.52110	1.66310	0.88260	1.64790	1.52650	1.60890	0.95170	0.60420	0.95430	1.10260	1.08450	1.56890	1.66990	1.62150	0.73810	1.62190	1.64990	1.65710	0.80730	0.67670	1.05100	1.07120	1.06320	1.56550	1.56930	1.46630	0.79640	1.63020	1.64870	1.62530	0.80320	0.67360	1.16710	1.03390	0.70360	1.52700	1.49910	1.58220	0.71630	1.52770	1.53130	1.53390	0.56460	0.58210	1.18360	0.73330	1.07790	0.56340	0.86120	0.87460	0.20800	0.93800	0.97010	1.02280	0.21090	0.23840	0.78590	0.72610	0.41750
43:59:16	37.0	1.60210	1.64450	1.71080	0.50140	0.73010	1.48700	1.39370	0.69110	0.52350	1.19890	1.17440	1.01640	1.64070	1.68310	1.65810	0.88750	1.58150	1.61490	1.66070	0.80230	0.75890	1.03390	1.17540	1.08720	1.70370	1.64870	1.64990	0.93760	1.60000	1.61140	1.58210	0.56130	0.70560	1.22800	1.02180	1.11840	1.66820	1.50370	1.65870	0.88960	1.64940	1.53130	1.60570	0.90650	0.64160	0.95810	1.11010	1.07770	1.56890	1.67020	1.62200	0.72440	1.62260	1.64980	1.65750	0.78650	0.72140	1.04200	1.06040	1.06420	1.56240	1.57020	1.46240	0.81080	1.62960	1.64700	1.62580	0.81220	0.62820	1.16660	1.03740	0.70310	1.52150	1.49820	1.58170	0.74310	1.52660	1.52700	1.52520	0.56420	0.64650	1.19080	0.73320	1.06870	0.54500	0.83670	0.90640	0.19480	0.93630	0.94000	1.12710	0.25000	0.23280	0.79520	0.75890	0.39480
44:14:16	37.0	1.60030	1.64260	1.71180	0.45970	0.69630	1.48690	1.38660	0.73950	0.51350	1.17220	1.16210	1.00730	1.64150	1.68180	1.65720	0.88390	1.58270	1.61270	1.66600	0.82360	0.76850	1.02670	1.17180	1.09600	1.70410	1.62430	1.64540	0.96910	1.59990	1.61100	1.58460	0.56910	0.71110	1.20870	1.03680	1.12760	1.66640	1.49540	1.66220	0.89120	1.64770	1.52400	1.60720	0.92590	0.57290	0.97200	1.10220	1.08530	1.56870	1.66660	1.62290	0.73950	1.62220	1.65020	1.65860	0.79720	0.68700	1.03670	1.05030	1.05260	1.56090	1.57010	1.46390	0.79640	1.62450	1.64690	1.63030	0.81730	0.67970	1.15740	1.02880	0.70490	1.52840	1.49670	1.57950	0.70870	1.52480	1.52470	1.52210	0.56240	0.52920	1.14360	0.74310	1.03590	0.52680	0.78980	0.83610	0.21670	0.92390	0.94230	0.99460	0.20240	0.23940	0.77420	0.75690	0.37930
44:29:16	37.0	1.59790	1.64070	1.70980	0.44100	0.76020	1.48370	1.38510	0.70060	0.52360	1.17980	1.15670	1.00950	1.64170	1.68310	1.66010	0.88140	1.58200	1.61170	1.66150	0.80220	0.77970	1.02090	1.18800	1.06850	1.70420	1.61980	1.64720	0.97080	1.60030	1.60920	1.58380	0.57870	0.70390	1.20370	1.03040	1.10810	1.66690	1.49360	1.66440	0.87080	1.64820	1.52270	1.61170	0.87910	0.61670	0.98530	1.09310	1.07970	1.56620	1.66700	1.62020	0.75630	1.62080	1.64890	1.65930	0.80150	0.64880	1.02480	1.04970	1.04250	1.55910	1.57100	1.45960	0.77310	1.61860	1.64670	1.62280	0.81180	0.64440	1.15910	1.02360	0.70310	1.52100	1.49930	1.57820	0.71960	1.52350	1.52210	1.51900	0.55100	0.55690	1.17280	0.76740	1.05150	0.50850	0.82030	0.89380	0.20410	0.90540	0.95800	0.90580	0.25970	0.21600	0.77710	0.72850	0.36620
44:44:16	37.1	1.59420	1.63940	1.71040	0.50930	0.72850	1.48320	1.38450	0.67270	0.46200	1.17130	1.15000	0.92940	1.63980	1.67880	1.66810	0.87720	1.58150	1.61180	1.65950	0.81720	0.77480	1.01970	1.17720	1.04670	1.70360	1.61900	1.66060	0.95030	1.60050	1.60840	1.57980	0.55650	0.72350	1.19730	1.01690	1.08610	1.66620	1.50050	1.66190	0.86960	1.64850	1.51980	1.60600	0.89660	0.55500	0.98790	1.08870	1.07940	1.56650	1.66390	1.62040	0.71020	1.61750	1.64880	1.65950	0.79400	0.68700	1.01480	1.05680	1.02940	1.55760	1.56930	1.45560	0.77720	1.61760	1.64640	1.62200	0.79670	0.66050	1.15920	1.01720	0.71590	1.52000	1.49650	1.57780	0.71610	1.52120	1.52130	1.50690	0.54080	0.63860	1.10840	0.79370	1.05790	0.48960	0.77510	0.86530	0.20650	0.88120	0.92420	0.94310	0.24020	0.20990	0.73440	0.71300	0.35210
44:59:16	37.0	1.58960	1.63670	1.71080	0.48450	0.71230	1.48160	1.38800	0.74770	0.46110	1.16830	1.14830	0.93150	1.64040	1.68050	1.65670	0.87500	1.58080	1.61280	1.66350	0.80370	0.76450	1.01940	1.15210	1.07800	1.70260	1.61700	1.64700	0.93690	1.60110	1.60800	1.58390	0.59680	0.72110	1.19600	1.00950	1.12850	1.66800	1.52540	1.66480	0.88310	1.64770	1.51820	1.60540	0.93600	0.57220	0.98690	1.09270	1.07570	1.56410	1.66480	1.61660	0.71680	1.61750	1.64840	1.65590	0.78230	0.68730	1.00530	1.06160	1.02650	1.55610	1.56850	1.45290	0.78860	1.61570	1.64610	1.62540	0.81800	0.65300	1.16600	1.01760	0.70690	1.52400	1.49460	1.57590	0.69780	1.52030	1.52010	1.50380	0.56370	0.63430	1.13430	0.80620	1.02870	0.47020	0.64710	0.83480	0.20200	0.87140	0.88500	1.04600	0.20590	0.23140	0.78140	0.71310	0.34130
45:14:16	37.0	1.58140	1.63510	1.70850	0.47240	0.76810	1.48360	1.39090	0.70680	0.50030	1.17970	1.13950	0.90960	1.64000	1.67790	1.65680	0.87230	1.58320	1.62200	1.66530	0.80000	0.77880	1.02780	1.16980	1.00900	1.70280	1.61510	1.64810	0.94580	1.61170	1.61040	1.57960	0.55420	0.72300	1.18880	1.00510	1.07450	1.66110	1.52550	1.66050	0.88990	1.64940	1.52020	1.61220	0.87490	0.61890	1.00190	1.10220	1.07100	1.56460	1.66250	1.61830	0.73040	1.61520	1.64880	1.66210	0.80490	0.65910	1.00580	1.05050	1.02640	1.55430	1.56840	1.44840	0.80230	1.61490	1.64490	1.62110	0.80910	0.63490	1.16220	1.02580	0.71530	1.52450	1.49500	1.57470	0.70930	1.51970	1.51980	1.49940	0.54540	0.63150	1.24540	0.79770	1.04480	0.45070	0.67990	0.83660	0.19220	0.88230	0.83760	0.93080	0.21210	0.22560	0.75420	0.67650	0.33130
