

Software Version	3.09.07



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0046.2B.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\DG-37C-48Hr-orbital-continuous.prt



Plate Number	Plate 1
Date	8/18/2023
Time	1:43:34 PM
Reader Type:	Epoch 2
Reader Serial Number:	20022826
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
2:44:16	37.1	1.11330	1.12990	1.12650	1.05020	1.08710	1.05970	1.08680	1.10820	1.06740	1.14280	1.13930	1.04950	1.14090	1.13170	1.11530	1.08420	1.04570	1.13790	1.09300	1.14840	1.14890	1.19120	1.21410	1.11720	1.09180	1.04710	1.10980	1.10530	1.08180	1.10010	1.19630	1.16920	1.17070	1.22230	1.14480	1.11090	1.11960	1.05690	1.09000	1.03210	1.06740	1.04990	1.15350	1.17770	1.16180	1.15950	1.17800	1.08760	1.13030	1.14750	1.19090	1.08350	1.10390	1.10130	1.17100	1.21850	1.23190	1.22320	1.14880	1.18830	1.11960	1.07900	1.09210	1.07390	1.10690	1.05720	1.11970	1.21190	1.18670	1.17720	1.14790	1.13500	1.17940	1.14110	1.06880	1.07190	1.11880	1.09010	1.12540	1.15270	1.14440	1.05390	1.13270	1.04290	1.13950	1.18590	1.28600	1.19380	1.29610	1.29540	1.21790	1.22220	1.21950	1.25800	1.24270	1.13740
2:59:16	37.1	1.13200	1.15130	1.15270	1.05890	1.14550	1.10040	1.08150	1.15530	1.06380	1.15270	1.12140	1.05230	1.16350	1.14580	1.12550	1.09410	1.05790	1.14440	1.11380	1.17230	1.18620	1.22140	1.24320	1.14940	1.09480	1.05350	1.11560	1.11130	1.09630	1.10770	1.24790	1.21070	1.20690	1.25640	1.17540	1.14020	1.14040	1.06990	1.11700	1.04030	1.07940	1.06150	1.18740	1.24400	1.18770	1.19390	1.24170	1.12590	1.14420	1.17220	1.22190	1.10630	1.11590	1.11470	1.20120	1.26170	1.26790	1.24240	1.18580	1.22230	1.13000	1.09280	1.12480	1.08510	1.12260	1.06550	1.14650	1.25330	1.22050	1.20220	1.17520	1.16070	1.17920	1.15160	1.08030	1.08010	1.13350	1.09720	1.15190	1.18090	1.16940	1.08050	1.13940	1.06990	1.15720	1.22870	1.33100	1.24540	1.34590	1.34470	1.27810	1.26410	1.26190	1.30290	1.28650	1.17610
3:14:16	37.1	1.15500	1.17050	1.18350	1.10240	1.22790	1.16820	1.08220	1.15210	1.06670	1.13220	1.11610	1.07700	1.19320	1.16230	1.13940	1.11040	1.07910	1.15250	1.14510	1.19920	1.24820	1.25190	1.27100	1.17630	1.11740	1.06380	1.13130	1.11520	1.10580	1.11810	1.29590	1.27180	1.26740	1.29120	1.21230	1.17480	1.16670	1.10280	1.15320	1.04700	1.09930	1.07530	1.22650	1.27030	1.25060	1.23840	1.26710	1.13650	1.16690	1.20050	1.26150	1.12470	1.12950	1.12820	1.27010	1.31270	1.31980	1.28110	1.22150	1.25600	1.14230	1.11120	1.15030	1.10280	1.14950	1.08150	1.17860	1.30240	1.29120	1.23610	1.20830	1.21000	1.18360	1.16100	1.10220	1.10270	1.15940	1.13750	1.17870	1.21940	1.19830	1.10500	1.15190	1.06980	1.18840	1.27170	1.37370	1.30390	1.38310	1.38250	1.32280	1.29070	1.33550	1.33420	1.34470	1.22270
3:29:16	37.1	1.18820	1.19640	1.23060	1.15280	1.32330	1.20500	1.08500	1.14770	1.06670	1.11850	1.11730	1.08980	1.22270	1.18740	1.16280	1.12720	1.09900	1.16990	1.18470	1.23530	1.30670	1.30170	1.30580	1.21080	1.13480	1.07660	1.16760	1.12840	1.13840	1.13500	1.35570	1.31800	1.32660	1.33220	1.26030	1.21860	1.20230	1.16920	1.19080	1.06580	1.12500	1.09620	1.26370	1.33370	1.30130	1.28150	1.37070	1.16880	1.19640	1.25070	1.31300	1.15320	1.15190	1.15020	1.32270	1.38650	1.36260	1.32770	1.26070	1.29900	1.16640	1.14060	1.19770	1.12860	1.19410	1.10720	1.21390	1.35240	1.33640	1.27070	1.24710	1.25500	1.19590	1.18550	1.12680	1.11610	1.18900	1.17060	1.22760	1.26070	1.25530	1.14700	1.18860	1.09190	1.22720	1.32000	1.42050	1.34000	1.41590	1.42880	1.35880	1.34380	1.33360	1.37790	1.36370	1.25000
3:44:16	37.1	1.22590	1.22950	1.28520	1.18880	1.35740	1.23620	1.08330	1.14700	1.08180	1.10930	1.14280	1.08330	1.26340	1.21800	1.20690	1.15020	1.12900	1.19160	1.26240	1.27950	1.35890	1.33390	1.35750	1.25280	1.15140	1.09500	1.21410	1.14360	1.15610	1.15810	1.40570	1.36650	1.36940	1.37460	1.30820	1.25660	1.24630	1.24020	1.24160	1.08580	1.16160	1.12130	1.33930	1.40970	1.35630	1.30730	1.37780	1.27380	1.23530	1.30220	1.34580	1.19260	1.18210	1.17970	1.36400	1.41130	1.41340	1.35600	1.30210	1.32870	1.20470	1.18010	1.25540	1.16410	1.22810	1.14300	1.25990	1.39200	1.38570	1.30530	1.28330	1.29040	1.20990	1.21740	1.16590	1.14450	1.22660	1.19410	1.27410	1.31300	1.28190	1.21880	1.23230	1.09540	1.27320	1.35630	1.44840	1.36940	1.44450	1.45730	1.37650	1.38160	1.35330	1.38740	1.39050	1.29560
3:59:16	37.1	1.26380	1.26420	1.32950	1.22210	1.36550	1.27030	1.08790	1.14150	1.06970	1.09850	1.13500	1.08290	1.31090	1.26090	1.25130	1.17800	1.15950	1.21900	1.31470	1.32940	1.39240	1.37530	1.38890	1.30540	1.18470	1.12530	1.25790	1.17290	1.18420	1.18690	1.46370	1.38540	1.41860	1.40960	1.34830	1.27800	1.29140	1.28480	1.29920	1.11670	1.21360	1.15730	1.37480	1.38460	1.37300	1.34760	1.43250	1.25260	1.28330	1.34010	1.37410	1.23890	1.22180	1.22180	1.39330	1.43290	1.45690	1.38380	1.33550	1.35990	1.25150	1.23760	1.29130	1.21030	1.27350	1.19060	1.30660	1.41600	1.41760	1.38100	1.32330	1.33800	1.23280	1.26590	1.21940	1.18620	1.27320	1.25770	1.30260	1.38790	1.31400	1.28780	1.27580	1.12080	1.30790	1.38430	1.46800	1.40150	1.45580	1.47470	1.40180	1.38320	1.39530	1.40500	1.40590	1.29760
4:14:16	37.1	1.30350	1.29240	1.37020	1.27210	1.38320	1.31470	1.08670	1.17760	1.06800	1.09250	1.13490	1.08430	1.35910	1.29760	1.30210	1.21390	1.20750	1.25200	1.38410	1.38300	1.42270	1.39220	1.41480	1.34020	1.22950	1.16630	1.32720	1.21140	1.22090	1.22580	1.47420	1.41270	1.45880	1.44490	1.36880	1.34140	1.30870	1.32420	1.33750	1.15680	1.26120	1.20840	1.45680	1.40570	1.41850	1.37140	1.43660	1.33790	1.31350	1.36970	1.41580	1.28060	1.26360	1.26040	1.43180	1.50420	1.46100	1.42350	1.36290	1.38000	1.29320	1.30380	1.31440	1.25640	1.31110	1.23890	1.33640	1.45300	1.48280	1.39250	1.34680	1.36320	1.26800	1.31200	1.27050	1.23440	1.31290	1.28410	1.32980	1.39670	1.35470	1.28520	1.32980	1.17590	1.34150	1.41700	1.49390	1.41670	1.46040	1.46900	1.43520	1.43690	1.40340	1.42940	1.44420	1.30950
4:29:16	37.1	1.33150	1.31430	1.40520	1.30050	1.39660	1.34480	1.08650	1.19880	1.06870	1.09360	1.13990	1.09210	1.38640	1.32170	1.32580	1.25260	1.25890	1.28920	1.42500	1.38230	1.44860	1.41350	1.42610	1.36080	1.27330	1.21830	1.32900	1.24250	1.25920	1.27000	1.49880	1.44350	1.48880	1.46240	1.38670	1.38260	1.33640	1.35760	1.36500	1.20830	1.29330	1.26060	1.48020	1.44570	1.38680	1.40060	1.45580	1.39030	1.33700	1.39540	1.44030	1.31380	1.30150	1.30110	1.48910	1.51440	1.48440	1.43620	1.37560	1.39670	1.31270	1.33580	1.35210	1.29520	1.34090	1.27460	1.37140	1.49180	1.45630	1.40600	1.35690	1.37900	1.30520	1.33940	1.30420	1.28030	1.34830	1.32550	1.35190	1.44020	1.37300	1.28800	1.38480	1.18940	1.37770	1.43360	1.50590	1.42060	1.46630	1.46660	1.45820	1.48280	1.45020	1.45460	1.46760	1.35190
4:44:16	37.1	1.34960	1.34100	1.43400	1.34000	1.41960	1.37800	1.08420	1.21210	1.06960	1.10260	1.13640	1.11240	1.42170	1.35120	1.35230	1.30080	1.29640	1.32530	1.48500	1.45080	1.49340	1.44340	1.45820	1.39720	1.30620	1.25980	1.36660	1.28900	1.30340	1.30410	1.51580	1.48390	1.52860	1.47740	1.43100	1.37530	1.38290	1.39460	1.40200	1.24900	1.33170	1.29550	1.51750	1.52480	1.39790	1.43340	1.49160	1.41450	1.37230	1.42970	1.47610	1.35070	1.33170	1.32990	1.48940	1.53680	1.50380	1.47690	1.40330	1.42810	1.34490	1.35920	1.37980	1.33000	1.37900	1.31310	1.38580	1.50510	1.52130	1.37480	1.37620	1.40410	1.33680	1.37230	1.36660	1.31560	1.38570	1.35490	1.37420	1.42410	1.37580	1.35370	1.35130	1.23570	1.41250	1.43510	1.51060	1.42460	1.46830	1.45900	1.47890	1.47390	1.43260	1.47150	1.52710	1.35710
4:59:16	37.1	1.37370	1.36420	1.45770	1.37160	1.44100	1.40050	1.08610	1.20710	1.06870	1.10240	1.14950	1.10870	1.45000	1.38170	1.38640	1.33940	1.33730	1.36490	1.51910	1.45570	1.51620	1.46370	1.48210	1.42060	1.33480	1.29090	1.41200	1.32030	1.33950	1.34080	1.54650	1.51160	1.56460	1.49230	1.42830	1.41520	1.40930	1.42240	1.42920	1.28400	1.37180	1.33810	1.56760	1.56580	1.47030	1.45340	1.50240	1.40690	1.39590	1.43490	1.47870	1.38560	1.36930	1.36810	1.51990	1.57370	1.53440	1.50940	1.42380	1.44770	1.37400	1.40160	1.40060	1.37050	1.40790	1.35620	1.43780	1.52160	1.53560	1.39980	1.40180	1.44160	1.36220	1.41360	1.40980	1.35450	1.41450	1.38950	1.41210	1.45810	1.48420	1.38920	1.45070	1.28070	1.42060	1.43530	1.50780	1.42540	1.47260	1.45670	1.48850	1.53410	1.47170	1.48550	1.53240	1.38040
