

Software Version	3.09.07



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0049.2.xpt
Protocol File Path:	C:\Users\Public\Documents\Experiments\Doran\96well-48hr-orbital.prt



Plate Number	Plate 1
Date	10/3/2023
Time	11:39:48 AM
Reader Type:	Epoch 2
Reader Serial Number:	2003031F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
2:44:16	37.1	0.68930	0.76240	0.74330	0.61290	0.86670	0.92840	0.92780	0.61690	0.61220	0.78180	0.79750	0.64690	0.67720	0.65310	0.68170	0.61850	0.89270	0.75870	0.70050	0.66900	0.68100	0.57490	0.67260	0.76690	0.63000	0.69940	0.79630	0.59910	0.81790	0.71970	0.79520	0.64920	0.81220	0.67430	0.86590	0.63520	0.58360	0.67540	0.65310	0.55630	0.64770	0.64340	0.63690	0.61310	0.60800	0.67420	0.60180	0.72330	0.66490	0.68540	0.71330	0.56500	0.71730	0.68100	0.63410	0.64190	0.72590	1.07250	1.40290	0.96340	0.60380	0.61320	0.57280	0.69680	0.67350	0.72650	0.64240	0.59290	0.58630	0.64580	0.71550	0.63770	0.62450	0.66200	0.66610	0.61430	0.70400	0.70120	0.73760	0.61690	0.69000	0.62600	0.82270	0.87090	0.64510	0.68830	0.66150	0.64320	0.70940	0.64730	0.63960	0.60080	0.64930	0.64520	0.80360	0.85510
2:59:16	37.1	0.77310	0.82870	0.78700	0.72610	0.97050	1.00060	1.00270	0.58850	0.64620	0.83170	0.92800	0.70630	0.84220	0.65210	0.71110	0.60070	0.97340	0.79750	0.71740	0.56730	0.73260	0.61860	0.68050	0.74710	0.66800	0.71370	0.73430	0.60130	0.86180	0.78360	0.87500	0.64700	0.85020	0.70900	0.93430	0.59710	0.65780	0.70050	0.71610	0.56080	0.66930	0.68670	0.64850	0.64970	0.63940	0.69650	0.59910	0.72060	0.60990	0.65210	0.75590	0.62110	0.77680	0.63370	0.63280	0.57940	0.73470	1.00410	1.48690	0.95100	0.63470	0.63320	0.60460	0.75120	0.76850	0.74440	0.68370	0.60740	0.56620	0.71380	0.76870	0.64650	0.63280	0.64350	0.70300	0.59890	0.65910	0.73470	0.90550	0.62410	0.66450	0.71720	0.89400	0.93020	0.71820	0.71200	0.75740	0.62040	0.69730	0.73160	0.71210	0.62640	0.67030	0.75070	0.87270	0.90380
3:14:16	37.1	0.74810	0.89520	0.82820	0.73170	1.02250	1.06470	1.03970	0.61460	0.56340	0.91160	0.93720	0.72330	0.90590	0.74440	0.74570	0.58370	1.05100	0.84480	0.79450	0.56980	0.75040	0.69990	0.76620	0.82270	0.71050	0.74830	0.88910	0.69100	0.84590	0.83800	0.92650	0.61780	0.88920	0.75540	0.95890	0.59040	0.67450	0.72080	0.75320	0.55940	0.71800	0.78170	0.61720	0.59290	0.63360	0.66510	0.74140	0.84550	0.59110	0.71130	0.74860	0.55360	0.78090	0.72460	0.60350	0.59170	0.83300	1.10010	1.51210	0.85790	0.67020	0.67640	0.68620	0.84760	0.81950	0.77640	0.66940	0.61440	0.67780	0.68610	0.89030	0.67870	0.62290	0.64440	0.78880	0.62490	0.72870	0.75940	0.94910	0.62160	0.76440	0.77590	0.88950	0.96380	0.74710	0.83380	0.82690	0.62300	0.71480	0.74660	0.67570	0.64850	0.64720	0.74250	0.91110	0.91430
3:29:16	37.1	0.76670	0.96090	0.89090	0.72440	1.08630	1.11460	1.08170	0.58160	0.66430	0.98920	1.01610	0.82810	0.95770	0.70800	0.81780	0.63490	1.13620	0.90480	0.86740	0.62450	0.79090	0.75240	0.81340	0.88770	0.78510	0.78730	0.93020	0.66740	0.92570	0.90710	0.98710	0.64220	0.99760	0.78720	1.07910	0.65720	0.75150	0.76100	0.84220	0.55970	0.76540	0.89690	0.64590	0.63230	0.68190	0.71070	0.72370	0.88960	0.62140	0.74640	0.78740	0.57650	0.80310	0.77980	0.63450	0.63500	0.88230	1.15450	1.49410	0.94630	0.68860	0.72580	0.75590	0.86430	0.92000	0.91190	0.70310	0.63710	0.74170	0.74980	0.96600	0.69840	0.64290	0.62660	0.83820	0.63370	0.80590	0.78490	1.00610	0.62480	0.82800	0.78970	0.95430	1.00510	0.81760	0.85140	0.85090	0.64810	0.80740	0.72770	0.70500	0.63020	0.66700	0.72720	0.97540	0.96650
3:44:16	37.1	0.80000	1.03610	0.93800	0.76000	1.14800	1.17590	1.13090	0.58610	0.62660	1.01300	1.05420	0.91010	1.01330	0.76200	0.89640	0.58080	1.18800	0.99260	1.01800	0.62350	0.87010	0.83140	0.86630	1.02400	0.90000	0.81990	0.91710	0.68900	1.02390	1.05080	1.07360	0.63040	1.02150	0.90510	1.17710	0.71790	0.78090	0.85160	0.95310	0.57850	0.86860	0.94530	0.75010	0.61140	0.74540	0.77230	0.76260	0.94740	0.62540	0.78610	0.81750	0.60190	0.84260	0.80600	0.67140	0.59700	0.95620	1.21380	1.52040	1.04390	0.74460	0.75360	0.81560	0.94260	0.95910	0.98930	0.79420	0.62360	0.81200	0.84990	1.07420	0.74510	0.68210	0.65370	0.84220	0.64960	0.81930	0.86780	1.06490	0.66370	0.95510	0.83480	0.99760	1.06420	0.78420	0.86200	0.90680	0.60620	0.91120	0.79510	0.79300	0.66210	0.62490	0.77970	1.04920	1.02180
3:59:16	37.1	0.81700	1.06760	0.99820	0.77650	1.17940	1.20410	1.17810	0.59460	0.57850	1.06070	1.08360	0.94590	1.08160	0.82250	0.98950	0.58340	1.20700	1.08390	1.06610	0.61750	0.90370	0.90710	0.90840	1.08070	0.98120	0.85150	0.98900	0.67840	1.08920	1.10730	1.12120	0.61940	1.05070	1.00350	1.22820	0.73200	0.84110	0.94730	1.01970	0.56730	0.93580	1.01710	0.81810	0.62580	0.88840	0.80590	0.86650	1.02090	0.65500	0.81340	0.86050	0.65210	0.91630	0.84160	0.71360	0.60900	0.97330	1.26170	1.52110	1.15140	0.79020	0.80320	0.85570	0.96280	1.00630	1.02680	0.85210	0.68770	0.87980	0.89630	1.08470	0.78120	0.74020	0.59730	0.87240	0.66630	0.87030	0.94790	1.11250	0.63310	0.90320	0.88910	1.07460	1.09400	0.85680	0.91780	0.96820	0.61070	0.98930	0.84760	0.84080	0.62900	0.62300	0.86700	1.09680	1.11750
4:14:16	37.1	0.90410	1.11490	1.07730	0.79730	1.21170	1.21650	1.18650	0.60220	0.58600	1.10560	1.11920	0.96790	1.12620	0.92860	1.09330	0.61090	1.25660	1.19560	1.14310	0.65080	0.96300	0.93990	0.96290	1.12920	1.05830	0.92510	1.09260	0.70080	1.13890	1.16790	1.18740	0.62020	1.07780	1.05330	1.25580	0.76720	0.91440	1.01250	1.11750	0.60480	1.04600	1.03670	0.91040	0.65490	0.95340	0.85750	0.92030	1.08740	0.70270	0.90260	0.93350	0.67650	1.01940	0.89570	0.78070	0.64460	1.02510	1.27720	1.53390	1.25140	0.83910	0.85840	0.90510	1.01250	1.10940	1.08920	0.91920	0.66540	0.94580	0.93730	1.11950	0.84330	0.79250	0.61540	0.93000	0.67620	0.93180	1.02910	1.17520	0.61900	0.95300	0.93220	1.10410	1.11750	0.92300	0.99730	1.03460	0.62430	1.06380	0.90250	0.89600	0.65520	0.59530	0.92770	1.15240	1.16530
4:29:16	37.1	0.87390	1.19590	1.12280	0.78120	1.21650	1.23390	1.21050	0.59930	0.62830	1.11540	1.15830	1.02060	1.18060	0.95210	1.15020	0.58990	1.26340	1.24900	1.20300	0.66250	1.03210	0.99060	1.01730	1.16640	1.12280	0.99880	1.12650	0.66560	1.15610	1.18080	1.19350	0.62320	1.11990	1.12030	1.33240	0.83580	0.98060	1.06710	1.14940	0.61050	1.09880	1.05490	0.97290	0.65080	1.01610	0.90710	0.97960	1.12460	0.76030	1.00540	0.99400	0.68800	1.07290	0.98550	0.82970	0.64440	1.06690	1.30560	1.54240	1.24150	0.90990	0.91600	0.90120	1.02320	1.12790	1.13580	0.95280	0.68020	0.99230	0.99580	1.09530	0.90350	0.82340	0.66460	1.03100	0.69380	0.97400	1.08460	1.20330	0.64600	1.05500	0.98520	1.15080	1.14830	0.95990	1.07880	1.09130	0.64220	1.12120	0.98140	0.91440	0.65460	0.61950	1.00710	1.15820	1.22070
4:44:16	37.1	0.93570	1.21240	1.15890	0.77640	1.22690	1.24230	1.21150	0.59940	0.64970	1.14560	1.18410	1.09030	1.22270	0.97590	1.21610	0.59730	1.28360	1.24040	1.20030	0.62910	1.06300	1.04550	1.06900	1.19390	1.17290	1.07940	1.21830	0.67290	1.18230	1.19940	1.21410	0.62040	1.15880	1.20910	1.36120	0.88880	1.05560	1.08700	1.21750	0.60500	1.10900	1.07770	1.01870	0.63350	1.08770	0.98510	1.06320	1.15990	0.83220	1.04630	1.06490	0.69430	1.13390	1.05710	0.90070	0.63450	1.12600	1.32280	1.54560	1.23900	0.95950	0.98690	0.98370	1.03200	1.12250	1.17450	1.00730	0.67920	1.05200	1.01070	1.10330	0.95660	0.90380	0.71890	1.11840	0.69920	1.03160	1.15150	1.22540	0.63320	1.11290	1.03080	1.18560	1.16960	0.98720	1.10070	1.15100	0.64400	1.14250	1.04940	0.97970	0.64530	0.59840	1.06880	1.20860	1.25700
4:59:16	37.1	1.02210	1.22680	1.23780	0.78420	1.24060	1.24890	1.21270	0.59990	0.65770	1.16350	1.18430	1.12610	1.26460	1.04520	1.25940	0.60550	1.27850	1.25800	1.19800	0.62690	1.06970	1.06410	1.08170	1.21120	1.21540	1.12470	1.24350	0.65660	1.20520	1.21430	1.23000	0.61350	1.17380	1.24070	1.38050	0.96160	1.10090	1.11760	1.22050	0.59590	1.14000	1.10140	1.07030	0.63180	1.12430	1.03760	1.09140	1.16420	0.89050	1.10080	1.13850	0.69300	1.16720	1.09620	0.97020	0.63430	1.15070	1.32920	1.54730	1.26040	1.00210	1.03570	1.00990	1.02440	1.11800	1.18340	1.06640	0.70870	1.10020	0.98470	1.10600	1.00690	0.97930	0.76820	1.16650	0.70460	1.07490	1.16190	1.23810	0.64090	1.09420	1.07050	1.22050	1.19180	1.04790	1.07510	1.17960	0.66870	1.15880	1.07150	1.01280	0.65150	0.66880	1.11310	1.21430	1.28340
