

Software Version	3.04.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0043.5.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\DG_48hr_37C_orbital-continuous.prt



Plate Number	Plate 1
Date	6/11/2023
Time	5:39:03 PM
Reader Type:	Epoch 2
Reader Serial Number:	1608242
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
2:44:16	37.5	0.75770	0.78400	0.86740	0.76350	0.77450	0.93490	0.94070	0.88230	0.86720	0.78540	0.74070	0.70480	0.88050	0.91720	0.81890	0.80710	0.94900	1.10320	1.25380	1.05880	0.94920	1.07420	0.97760	0.91870	0.80440	0.82550	0.72350	0.99240	1.08720	1.21870	1.13040	1.05880	1.00030	1.18230	1.02880	0.85570	0.72580	0.78120	0.79690	0.93470	0.90860	1.17370	0.93460	0.96190	0.96050	0.95470	0.92840	0.95180	0.76860	0.78690	0.98370	0.86760	0.86690	0.87170	0.85180	0.74350	0.80900	0.86680	0.91240	0.79750	0.87170	0.73860	0.78380	0.89670	1.10330	0.97390	0.90900	0.96040	0.95540	1.08510	1.08970	0.97320	0.68590	0.77460	1.04900	1.07810	0.93310	1.10760	1.06770	1.00240	1.30760	0.94980	0.88020	0.82220	0.58230	0.46810	0.51110	0.56210	0.72570	0.75020	0.49390	0.88990	0.88910	1.15580	1.10610	0.57050
2:59:16	37.5	0.81350	0.83990	0.91370	0.80490	0.79520	0.96920	0.97580	0.93950	0.89800	0.80940	0.76720	0.73270	0.89040	0.91580	0.81950	0.86320	1.03130	1.23020	1.30610	1.04280	1.06400	1.14430	1.03640	1.00330	0.80660	0.82940	0.73160	1.05290	1.15490	1.29900	1.20200	1.14570	1.03890	1.25140	1.07160	0.90910	0.68860	0.81610	0.78830	0.99880	0.95930	1.24220	0.98390	1.02000	0.99670	0.98870	0.98260	0.94090	0.83130	0.76090	1.06280	0.88950	0.88400	0.90850	0.87280	0.79540	0.87570	1.00450	0.96090	0.86400	0.85560	0.79830	0.76350	0.97190	1.19170	1.00320	1.05570	1.00460	1.06580	1.16010	1.15800	1.03080	0.69640	0.74780	1.09260	1.13940	1.01560	1.16270	1.13740	1.04820	1.36140	0.96540	0.90930	0.82410	0.54370	0.46400	0.48550	0.62160	0.82270	0.84320	0.49210	1.01420	0.98410	1.19820	1.12480	0.93760
3:14:16	37.5	0.88580	0.89490	0.95930	0.85030	0.81760	1.01580	1.04350	0.99400	0.96250	0.87520	0.78800	0.75270	0.89230	0.91640	0.82360	0.92310	1.14510	1.28870	1.35580	1.15040	1.07830	1.21150	1.10050	1.11120	0.80840	0.83590	0.76150	1.16260	1.23960	1.34860	1.25100	1.20870	1.10610	1.28690	1.18240	1.00520	0.79410	0.82080	0.80270	1.06760	1.04520	1.28950	1.05300	1.05490	1.08380	1.05060	1.00490	1.06150	0.76840	0.80470	1.13240	0.92140	0.94260	1.00040	0.91830	0.84560	0.90580	1.10710	1.01480	0.88980	0.85870	0.77240	0.76960	1.04210	1.26310	1.06190	1.13460	1.09390	1.20290	1.24590	1.23650	1.10480	0.68140	0.80550	1.15700	1.22250	1.16360	1.24840	1.22070	1.22550	1.38060	1.00620	1.01140	0.84870	0.46640	0.47350	0.48360	0.69560	0.92880	0.92950	0.54020	1.05850	1.12230	1.25480	1.27420	0.84100
3:29:16	37.5	0.95060	0.96310	1.04210	0.83160	0.85810	1.06050	1.10990	1.05160	0.99010	0.85900	0.82170	0.76400	0.89600	0.91600	0.81560	1.05420	1.24690	1.33860	1.41230	1.22910	1.20820	1.24890	1.18670	1.23850	0.81080	0.84790	0.78100	1.25190	1.31240	1.39290	1.29310	1.29860	1.18470	1.32680	1.25430	1.08040	0.72330	0.81140	0.78980	1.16700	1.11340	1.33030	1.10170	1.12000	1.13510	1.11620	1.13510	1.14400	0.76180	0.75290	1.19190	1.01230	0.98730	1.08780	1.01650	0.91810	1.04340	1.19090	1.11870	0.96670	0.85880	0.74230	0.64840	1.19830	1.34340	1.14880	1.22950	1.18580	1.28000	1.32290	1.27980	1.14880	0.67700	0.81200	1.20120	1.28370	1.27450	1.29450	1.29160	1.17730	1.49150	1.08470	1.11880	0.93320	0.49440	0.46540	0.46910	0.77790	1.00180	1.01670	0.60860	1.10650	1.18070	1.36010	1.34220	1.01080
3:44:16	37.5	1.03960	1.05860	1.08680	0.88010	0.91490	1.11870	1.18170	1.13140	1.08470	0.85970	0.86380	0.69590	0.90050	0.91270	0.81210	1.22190	1.30440	1.38030	1.44240	1.36160	1.25640	1.30530	1.25920	1.35090	0.80980	0.85210	0.79110	1.34770	1.38850	1.42880	1.33380	1.34110	1.29210	1.37350	1.29390	1.13330	0.71450	0.80820	0.81530	1.33300	1.28240	1.37880	1.17500	1.20890	1.22520	1.20450	1.15310	1.21130	0.75510	0.77450	1.25430	1.08260	1.05060	1.21120	1.06180	1.03310	1.09060	1.24470	1.16230	1.13430	0.85930	0.77590	0.60730	1.31700	1.39140	1.21800	1.29710	1.38430	1.34000	1.34030	1.33650	1.18570	0.67230	0.81400	1.24630	1.34860	1.34850	1.38790	1.35850	1.27000	1.52160	1.19050	1.17880	1.01600	0.45840	0.48930	0.48170	0.88770	1.09100	1.08440	0.70760	1.18330	1.23290	1.35160	1.36930	0.87900
3:59:16	37.5	1.13090	1.12460	1.10170	0.93440	0.98700	1.15650	1.24870	1.20070	1.18240	0.90730	0.92980	0.70280	0.90410	0.91270	0.80770	1.28160	1.35590	1.41990	1.47000	1.36660	1.26300	1.32460	1.30690	1.33740	0.81250	0.85380	0.79310	1.36780	1.42670	1.47770	1.36720	1.39830	1.31610	1.41830	1.33690	1.20320	0.71630	0.80590	0.82820	1.41210	1.30070	1.39560	1.21540	1.19170	1.24620	1.24820	1.36390	1.35140	0.74760	0.79260	1.30760	1.15860	1.14000	1.22990	1.15110	1.17590	1.15300	1.29570	1.27300	1.08040	0.85880	0.74110	0.54540	1.36200	1.42640	1.26950	1.34360	1.44130	1.38670	1.39310	1.33620	1.24070	0.67000	0.80570	1.30820	1.39060	1.42390	1.48680	1.40480	1.36640	1.55040	1.17150	1.25650	1.08750	0.45850	0.47860	0.43890	0.99900	1.15830	1.17990	0.71690	1.25200	1.27880	1.40250	1.38800	0.63110
4:14:16	37.5	1.21720	1.20010	1.14920	0.98810	1.05700	1.21530	1.30490	1.26150	1.22470	0.97120	0.97070	0.71580	0.90730	0.91090	0.80710	1.33040	1.38760	1.41490	1.50650	1.39630	1.34490	1.38120	1.34810	1.34760	0.81550	0.86190	0.80110	1.42100	1.44630	1.49720	1.37130	1.44350	1.32680	1.44970	1.38050	1.21160	0.71900	0.80420	0.82730	1.44620	1.34860	1.39190	1.27230	1.27170	1.32770	1.32980	1.30700	1.45690	0.75890	0.80450	1.32320	1.23800	1.18790	1.32810	1.20620	1.24500	1.30390	1.29880	1.35380	1.13400	0.86160	0.74610	0.54190	1.36710	1.45500	1.32610	1.43740	1.48560	1.49550	1.46360	1.36980	1.28650	0.69740	0.80340	1.31330	1.43150	1.43020	1.48790	1.44630	1.41880	1.55980	1.28590	1.32980	1.12880	0.46270	0.44120	0.48510	1.09550	1.19980	1.25990	0.83490	1.32670	1.30920	1.38340	1.37810	0.67670
4:29:16	37.5	1.29110	1.26090	1.25290	1.05580	1.10760	1.22650	1.34540	1.30360	1.28000	1.04100	1.06450	0.84100	0.91540	0.90970	0.80860	1.36190	1.38790	1.41660	1.51370	1.42200	1.38890	1.39700	1.42090	1.37020	0.81840	0.85780	0.79040	1.44250	1.46210	1.50230	1.40650	1.47970	1.31300	1.46760	1.43310	1.22810	0.72110	0.80390	0.82900	1.45390	1.37800	1.38500	1.35750	1.30670	1.36040	1.38200	1.32430	1.40910	0.74590	0.82650	1.33000	1.29260	1.27750	1.40580	1.35760	1.31210	1.38480	1.35640	1.40330	1.35020	0.85640	0.75870	0.56990	1.37990	1.47290	1.36350	1.55300	1.52140	1.59730	1.48880	1.40190	1.34030	0.68760	0.81190	1.32280	1.44490	1.45820	1.48570	1.47540	1.41380	1.57990	1.32240	1.30400	1.19160	0.50010	0.49260	0.45670	1.18520	1.24040	1.35780	0.99850	1.35600	1.32750	1.38130	1.35880	0.73750
4:44:16	37.5	1.34140	1.34460	1.29730	1.11590	1.16380	1.23140	1.40190	1.35910	1.32410	1.12210	1.12690	0.83060	0.91240	0.90900	0.81190	1.36060	1.39770	1.41290	1.51950	1.44040	1.41100	1.40340	1.45190	1.42000	0.82460	0.86180	0.80550	1.45710	1.48410	1.53190	1.37480	1.49380	1.33370	1.49770	1.44510	1.32150	0.71760	0.80250	0.83670	1.49980	1.39800	1.40320	1.42120	1.26810	1.45080	1.37800	1.34820	1.41650	0.74170	0.95850	1.33550	1.33330	1.35160	1.43320	1.39700	1.37220	1.43030	1.53190	1.41790	1.34240	0.85600	0.78290	0.61210	1.41430	1.47850	1.38930	1.62440	1.55070	1.62900	1.54270	1.50770	1.35140	0.69130	0.80750	1.31890	1.46090	1.47790	1.49950	1.52700	1.50620	1.59630	1.40220	1.32930	1.22320	0.45850	0.42550	0.45330	1.22880	1.24760	1.39360	1.08070	1.34610	1.34380	1.40700	1.38050	0.81880
4:59:16	37.5	1.36720	1.41550	1.30900	1.16580	1.21590	1.23460	1.43100	1.40990	1.37250	1.15950	1.16830	1.04320	0.92040	0.90870	0.81410	1.37390	1.38660	1.41890	1.56790	1.45010	1.38310	1.42000	1.45030	1.44900	0.82780	0.86960	0.81630	1.46260	1.50350	1.55640	1.38760	1.46950	1.35420	1.50010	1.45620	1.33540	0.72630	0.83130	0.83690	1.52390	1.48060	1.39840	1.46750	1.53240	1.50280	1.39590	1.36190	1.43810	0.73880	0.72960	1.34030	1.38130	1.38900	1.43130	1.43630	1.44290	1.46660	1.44540	1.46590	1.24150	0.85250	0.79150	0.56100	1.42620	1.48440	1.37850	1.58310	1.57570	1.58430	1.55490	1.51190	1.38150	0.67360	0.81040	1.34580	1.46560	1.48160	1.49690	1.54930	1.56210	1.61610	1.43100	1.47650	1.26230	0.46920	0.48160	0.48770	1.25040	1.27040	1.37580	1.08390	1.33060	1.35170	1.41220	1.41340	0.76980
