

Software Version	3.04.17



Experiment File Path:	C:\Users\Public\Documents\Experiments\Doran\e0046.2A.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\DG_48hr_37C_orbital-continuous.prt



Plate Number	Plate 1
Date	8/18/2023
Time	1:46:22 PM
Reader Type:	Epoch 2
Reader Serial Number:	1608242
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:15:00, 193 Reads
    Shake	Orbital: Continuous
	Frequency: 282 cpm (3 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

600

Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
2:44:16	37.3	1.12600	1.25920	1.26990	1.15960	1.17740	1.23640	1.26590	1.20080	1.21930	1.19190	1.19420	1.23540	1.24860	1.22980	1.31260	1.26410	1.32380	1.30960	1.33330	1.33840	1.37580	1.25810	1.25230	1.19830	1.23660	1.28490	1.30400	1.27020	1.30640	1.27000	1.26800	1.46680	1.31110	1.20760	1.21690	1.20830	1.32370	1.29350	1.27700	1.31350	1.27100	1.32280	1.23870	1.30350	1.30170	1.21430	1.11830	1.31150	1.33240	1.32470	1.37690	1.32550	1.31080	1.30180	1.32400	1.25040	1.29290	0.98050	1.26550	0.99000	1.25610	1.26770	1.31970	1.20830	1.36580	1.16440	1.29060	1.22890	1.23740	1.27100	1.24270	1.13740	1.14640	1.09690	1.33440	1.28110	1.37120	1.25730	1.28930	1.26550	1.28070	1.19140	1.30880	1.43310	1.17320	1.36750	1.26820	1.29180	1.25740	1.34600	1.25840	1.25830	1.24910	1.26010	1.31310	1.20320
2:59:16	37.3	1.16650	1.31230	1.32750	1.19770	1.22270	1.28660	1.32300	1.27020	1.29660	1.23680	1.26170	1.25140	1.30850	1.28320	1.35260	1.31360	1.35750	1.34540	1.40810	1.39120	1.40560	1.31590	1.29030	1.25920	1.27360	1.32040	1.33480	1.31430	1.36520	1.31800	1.30690	1.51910	1.35540	1.28870	1.28230	1.27500	1.36880	1.33470	1.31540	1.33270	1.32130	1.36730	1.28990	1.34710	1.36030	1.25850	1.15160	1.34980	1.39450	1.36460	1.41300	1.37070	1.35620	1.34300	1.35990	1.30230	1.35700	1.03870	1.31620	1.03320	1.30350	1.30270	1.35290	1.24940	1.40580	1.17590	1.33930	1.30750	1.27200	1.30420	1.28920	1.21880	1.17170	1.13720	1.39470	1.32330	1.40400	1.30290	1.33960	1.29830	1.32390	1.22700	1.30330	1.50040	1.22350	1.41020	1.31340	1.33520	1.29920	1.38410	1.30410	1.31100	1.28750	1.30580	1.35260	1.21740
3:14:16	37.3	1.21910	1.36750	1.36710	1.23940	1.27550	1.33230	1.34660	1.29070	1.29370	1.27620	1.29620	1.27720	1.35100	1.31500	1.39400	1.34580	1.38840	1.37260	1.40030	1.41490	1.43980	1.34580	1.33510	1.29870	1.30150	1.35570	1.36820	1.33900	1.38800	1.33600	1.34590	1.55150	1.38740	1.30620	1.29260	1.34000	1.39800	1.37270	1.35280	1.37640	1.36370	1.38740	1.33480	1.37950	1.38120	1.30650	1.20520	1.39270	1.43040	1.40200	1.44590	1.39990	1.38670	1.35510	1.40040	1.32230	1.37570	1.09750	1.35970	1.08830	1.33610	1.33880	1.39170	1.29900	1.44900	1.19500	1.37940	1.31370	1.31360	1.34300	1.40130	1.25110	1.20700	1.18250	1.44160	1.36260	1.43590	1.33940	1.37470	1.33140	1.35320	1.30600	1.36950	1.56780	1.27010	1.43750	1.35020	1.37050	1.33600	1.42290	1.34130	1.35890	1.32700	1.35670	1.41680	1.28070
3:29:16	37.3	1.27770	1.40560	1.40390	1.28240	1.32310	1.36690	1.36960	1.31970	1.32240	1.30730	1.33290	1.29470	1.38380	1.35050	1.43370	1.37830	1.42050	1.40550	1.42360	1.45330	1.45150	1.37980	1.37170	1.32940	1.33550	1.39540	1.40070	1.37640	1.41580	1.36280	1.39180	1.58050	1.42230	1.31570	1.35000	1.35780	1.43060	1.41320	1.38940	1.40150	1.38300	1.41340	1.38740	1.41350	1.40900	1.34480	1.28690	1.42460	1.46310	1.43440	1.47220	1.42720	1.41580	1.37880	1.43940	1.40260	1.41080	1.15600	1.41820	1.14410	1.36570	1.36650	1.42030	1.32280	1.47480	1.22240	1.40860	1.39770	1.34150	1.39540	1.39710	1.32050	1.25530	1.22600	1.47990	1.38010	1.46090	1.36500	1.39220	1.35750	1.37690	1.31130	1.39720	1.50400	1.30330	1.45780	1.38240	1.39440	1.35190	1.43470	1.36670	1.42430	1.35960	1.39300	1.42750	1.39690
3:44:16	37.3	1.33220	1.43530	1.43710	1.32000	1.35090	1.39760	1.40810	1.36020	1.35040	1.32590	1.33560	1.33300	1.42110	1.38540	1.45840	1.41560	1.44470	1.43620	1.44340	1.48430	1.47540	1.41230	1.40610	1.37620	1.36350	1.42140	1.42030	1.40730	1.44960	1.39260	1.40610	1.60410	1.43690	1.35630	1.39830	1.37900	1.46000	1.44710	1.41740	1.43190	1.41410	1.46190	1.37160	1.43840	1.44850	1.38510	1.30280	1.43400	1.50210	1.45770	1.49260	1.45700	1.44890	1.40250	1.47650	1.39520	1.44260	1.19790	1.43100	1.17920	1.39810	1.38580	1.44860	1.36270	1.49930	1.25690	1.43750	1.39660	1.36600	1.39240	1.39720	1.35480	1.30500	1.26490	1.52120	1.43830	1.47840	1.39100	1.42100	1.41630	1.39960	1.36200	1.43480	1.54820	1.33890	1.48060	1.41430	1.41700	1.37180	1.45280	1.38320	1.41000	1.39720	1.41420	1.45080	1.30540
3:59:16	37.3	1.36660	1.46550	1.45860	1.35620	1.37940	1.42420	1.45160	1.40550	1.39470	1.34470	1.41620	1.38870	1.44730	1.41190	1.47270	1.44380	1.46680	1.45690	1.46180	1.51410	1.49080	1.44260	1.44580	1.46110	1.38610	1.44080	1.43730	1.45060	1.47690	1.45680	1.41540	1.62360	1.45500	1.41880	1.48370	1.40950	1.48190	1.45890	1.43660	1.44220	1.44520	1.45710	1.41040	1.46640	1.45270	1.40880	1.31370	1.45920	1.52530	1.47240	1.50420	1.48620	1.47130	1.49030	1.50580	1.39790	1.46170	1.24320	1.46150	1.22320	1.42210	1.40240	1.45410	1.37680	1.52430	1.29680	1.46550	1.39840	1.39160	1.41700	1.41660	1.33070	1.33920	1.30890	1.54760	1.43170	1.49810	1.42690	1.44500	1.43480	1.42590	1.37150	1.51350	1.54500	1.37460	1.49560	1.42450	1.44150	1.39820	1.47320	1.40680	1.44410	1.43430	1.43910	1.44850	1.33550
4:14:16	37.3	1.39940	1.48400	1.47130	1.37780	1.40390	1.42620	1.47590	1.44410	1.41600	1.37220	1.44090	1.39960	1.46330	1.42680	1.48500	1.46810	1.48250	1.47880	1.47960	1.53710	1.49770	1.47170	1.46130	1.47930	1.39790	1.45200	1.44110	1.45260	1.50160	1.44680	1.49480	1.64240	1.48040	1.43090	1.46510	1.43020	1.49180	1.46850	1.44680	1.45960	1.45500	1.49030	1.41210	1.49570	1.49180	1.43460	1.33740	1.48100	1.53960	1.48070	1.50670	1.50910	1.49320	1.44820	1.53160	1.46550	1.48640	1.27490	1.48950	1.26920	1.43570	1.40690	1.46360	1.41410	1.54670	1.34970	1.49210	1.43150	1.41370	1.44170	1.44360	1.35400	1.37560	1.33710	1.58050	1.46250	1.52510	1.43730	1.46880	1.49920	1.46800	1.35850	1.43420	1.58340	1.39070	1.49950	1.43220	1.46390	1.42220	1.49290	1.44250	1.52050	1.48030	1.45290	1.46470	1.35070
4:29:16	37.4	1.43440	1.49570	1.48020	1.39890	1.41650	1.42290	1.49630	1.47440	1.43790	1.39600	1.48900	1.44470	1.47530	1.43610	1.48540	1.48640	1.50060	1.49070	1.48730	1.54750	1.51740	1.48840	1.48470	1.48860	1.40410	1.45640	1.44430	1.46480	1.51890	1.45700	1.48330	1.65600	1.49480	1.45310	1.48650	1.44920	1.49340	1.47030	1.45240	1.47380	1.47360	1.54600	1.43760	1.50510	1.49040	1.45740	1.39160	1.50470	1.55020	1.47990	1.50650	1.52750	1.50930	1.51340	1.54820	1.52460	1.51210	1.30760	1.49980	1.30140	1.44550	1.41170	1.46970	1.41720	1.56300	1.37750	1.51300	1.45620	1.43340	1.45990	1.46720	1.37690	1.41410	1.36350	1.60060	1.48590	1.54130	1.46430	1.47740	1.43470	1.47440	1.43840	1.55510	1.60540	1.39600	1.50130	1.43240	1.48460	1.44180	1.51270	1.45070	1.45820	1.50300	1.48800	1.51410	1.41470
4:44:16	37.4	1.46240	1.50100	1.48670	1.40600	1.41890	1.41640	1.51200	1.49640	1.45350	1.41260	1.45920	1.47800	1.48210	1.43980	1.48540	1.49530	1.49900	1.50940	1.49730	1.56800	1.50940	1.50240	1.50200	1.48530	1.40630	1.45880	1.45520	1.47070	1.53290	1.48820	1.49540	1.66550	1.52040	1.46550	1.51350	1.48840	1.50280	1.47410	1.45410	1.48370	1.48330	1.51130	1.53000	1.51350	1.52460	1.47560	1.39090	1.52110	1.55820	1.48210	1.51080	1.53900	1.51880	1.47780	1.56180	1.45540	1.51420	1.33740	1.53710	1.32720	1.44110	1.40260	1.46960	1.43900	1.59300	1.40310	1.52290	1.46280	1.44600	1.47260	1.48150	1.40920	1.43940	1.37830	1.61160	1.49990	1.55400	1.47000	1.48960	1.44600	1.47580	1.44130	1.47510	1.62750	1.40120	1.50260	1.43400	1.49170	1.45960	1.51990	1.46380	1.47520	1.45620	1.48220	1.52280	1.38700
4:59:16	37.4	1.48450	1.50340	1.48660	1.40820	1.41940	1.41500	1.51900	1.50260	1.46450	1.42050	1.45720	1.48540	1.48330	1.44110	1.48620	1.50230	1.50760	1.50780	1.50430	1.57760	1.51460	1.51000	1.50960	1.48740	1.40880	1.46030	1.45550	1.48050	1.54170	1.48990	1.54440	1.67220	1.52710	1.47540	1.52830	1.49360	1.51300	1.46830	1.45740	1.49030	1.49060	1.53220	1.48250	1.51990	1.53090	1.49870	1.39920	1.51720	1.56240	1.48300	1.51170	1.54620	1.52520	1.54830	1.56440	1.46460	1.52100	1.37050	1.53920	1.34220	1.43980	1.40400	1.47190	1.44220	1.59740	1.44840	1.53370	1.46750	1.45690	1.49760	1.49310	1.45530	1.45170	1.38870	1.61840	1.49950	1.56300	1.47710	1.49690	1.44880	1.48680	1.51660	1.48000	1.61990	1.40340	1.50390	1.44210	1.49910	1.46720	1.52540	1.47140	1.47550	1.46640	1.52670	1.53090	1.40190
