inoculationReplicate	passage	ratio	label	group	mixtureType	combo	line	sample
1	5	10:1	XDA-10:1-XDB	mixture	theoretical	XDA-XDB	theoretical-1	theoretical-1_XDA-10:1-XDB_5
1	5	100:1	XDA-100:1-XDB	mixture	theoretical	XDA-XDB	theoretical-1	theoretical-1_XDA-100:1-XDB_5
1	5	1000:1	XDA-1000:1-XDB	mixture	theoretical	XDA-XDB	theoretical-1	theoretical-1_XDA-1000:1-XDB_5
2	5	0:1	XDA-0:1-XDB	control	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-0:1-XDB_5
2	5	1:0	XDA-1:0-XDB	control	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-1:0-XDB_5
2	5	1:1	XDA-1:1-XDB	mixture	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-1:1-XDB_5
2	5	1:10	XDA-1:10-XDB	mixture	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-1:10-XDB_5
2	5	1:100	XDA-1:100-XDB	mixture	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-1:100-XDB_5
2	5	1:1000	XDA-1:1000-XDB	mixture	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-1:1000-XDB_5
2	5	10:1	XDA-10:1-XDB	mixture	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-10:1-XDB_5
2	5	100:1	XDA-100:1-XDB	mixture	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-100:1-XDB_5
2	5	1000:1	XDA-1000:1-XDB	mixture	theoretical	XDA-XDB	theoretical-2	theoretical-2_XDA-1000:1-XDB_5
1	3	1:1	XFA-1:1-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1:1-XFB_3
1	3	1:10	XFA-1:10-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1:10-XFB_3
1	3	1:100	XFA-1:100-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1:100-XFB_3
1	3	1:1000	XFA-1:1000-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1:1000-XFB_3
1	3	10:1	XFA-10:1-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-10:1-XFB_3
1	3	100:1	XFA-100:1-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-100:1-XFB_3
1	3	1000:1	XFA-1000:1-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1000:1-XFB_3
2	3	1:1	XFA-1:1-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1:1-XFB_3
2	3	1:10	XFA-1:10-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1:10-XFB_3
2	3	1:100	XFA-1:100-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1:100-XFB_3
2	3	1:1000	XFA-1:1000-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1:1000-XFB_3
2	3	10:1	XFA-10:1-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-10:1-XFB_3
2	3	100:1	XFA-100:1-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-100:1-XFB_3
2	3	1000:1	XFA-1000:1-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1000:1-XFB_3
3	3	1:1	XFA-1:1-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1:1-XFB_3
3	3	1:10	XFA-1:10-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1:10-XFB_3
3	3	1:100	XFA-1:100-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1:100-XFB_3
3	3	1:1000	XFA-1:1000-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1:1000-XFB_3
3	3	10:1	XFA-10:1-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-10:1-XFB_3
3	3	100:1	XFA-100:1-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-100:1-XFB_3
3	3	1000:1	XFA-1000:1-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1000:1-XFB_3
1	3	0:1	XFA-0:1-XFB	control	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-0:1-XFB_3
1	3	1:0	XFA-1:0-XFB	control	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:0-XFB_3
1	3	1:1	XFA-1:1-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:1-XFB_3
1	3	1:10	XFA-1:10-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:10-XFB_3
1	3	1:100	XFA-1:100-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:100-XFB_3
1	3	1:1000	XFA-1:1000-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:1000-XFB_3
1	3	10:1	XFA-10:1-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-10:1-XFB_3
1	3	100:1	XFA-100:1-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-100:1-XFB_3
1	3	1000:1	XFA-1000:1-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1000:1-XFB_3
2	3	0:1	XFA-0:1-XFB	control	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-0:1-XFB_3
2	3	1:0	XFA-1:0-XFB	control	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:0-XFB_3
2	3	1:1	XFA-1:1-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:1-XFB_3
2	3	1:10	XFA-1:10-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:10-XFB_3
2	3	1:100	XFA-1:100-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:100-XFB_3
2	3	1:1000	XFA-1:1000-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:1000-XFB_3
2	3	10:1	XFA-10:1-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-10:1-XFB_3
2	3	100:1	XFA-100:1-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-100:1-XFB_3
2	3	1000:1	XFA-1000:1-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1000:1-XFB_3
1	5	1:1	XFA-1:1-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1:1-XFB_5
1	5	1:10	XFA-1:10-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1:10-XFB_5
1	5	1:100	XFA-1:100-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1:100-XFB_5
1	5	1:1000	XFA-1:1000-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1:1000-XFB_5
1	5	10:1	XFA-10:1-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-10:1-XFB_5
1	5	100:1	XFA-100:1-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-100:1-XFB_5
1	5	1000:1	XFA-1000:1-XFB	mixture	actual	XFA-XFB	actual-1	actual-1_XFA-1000:1-XFB_5
2	5	1:1	XFA-1:1-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1:1-XFB_5
2	5	1:10	XFA-1:10-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1:10-XFB_5
2	5	1:100	XFA-1:100-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1:100-XFB_5
2	5	1:1000	XFA-1:1000-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1:1000-XFB_5
2	5	10:1	XFA-10:1-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-10:1-XFB_5
2	5	100:1	XFA-100:1-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-100:1-XFB_5
2	5	1000:1	XFA-1000:1-XFB	mixture	actual	XFA-XFB	actual-2	actual-2_XFA-1000:1-XFB_5
3	5	1:1	XFA-1:1-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1:1-XFB_5
3	5	1:10	XFA-1:10-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1:10-XFB_5
3	5	1:100	XFA-1:100-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1:100-XFB_5
3	5	1:1000	XFA-1:1000-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1:1000-XFB_5
3	5	10:1	XFA-10:1-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-10:1-XFB_5
3	5	100:1	XFA-100:1-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-100:1-XFB_5
3	5	1000:1	XFA-1000:1-XFB	mixture	actual	XFA-XFB	actual-3	actual-3_XFA-1000:1-XFB_5
1	5	0:1	XFA-0:1-XFB	control	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-0:1-XFB_5
1	5	1:0	XFA-1:0-XFB	control	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:0-XFB_5
1	5	1:1	XFA-1:1-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:1-XFB_5
1	5	1:10	XFA-1:10-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:10-XFB_5
1	5	1:100	XFA-1:100-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:100-XFB_5
1	5	1:1000	XFA-1:1000-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1:1000-XFB_5
1	5	10:1	XFA-10:1-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-10:1-XFB_5
1	5	100:1	XFA-100:1-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-100:1-XFB_5
1	5	1000:1	XFA-1000:1-XFB	mixture	theoretical	XFA-XFB	theoretical-1	theoretical-1_XFA-1000:1-XFB_5
2	5	0:1	XFA-0:1-XFB	control	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-0:1-XFB_5
2	5	1:0	XFA-1:0-XFB	control	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:0-XFB_5
2	5	1:1	XFA-1:1-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:1-XFB_5
2	5	1:10	XFA-1:10-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:10-XFB_5
2	5	1:100	XFA-1:100-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:100-XFB_5
2	5	1:1000	XFA-1:1000-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1:1000-XFB_5
2	5	10:1	XFA-10:1-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-10:1-XFB_5
2	5	100:1	XFA-100:1-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-100:1-XFB_5
2	5	1000:1	XFA-1000:1-XFB	mixture	theoretical	XFA-XFB	theoretical-2	theoretical-2_XFA-1000:1-XFB_5
1	3	1:1	XBA-1:1-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1:1-XCA_3
1	3	1:10	XBA-1:10-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1:10-XCA_3
1	3	1:100	XBA-1:100-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1:100-XCA_3
1	3	1:1000	XBA-1:1000-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1:1000-XCA_3
1	3	10:1	XBA-10:1-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-10:1-XCA_3
1	3	100:1	XBA-100:1-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-100:1-XCA_3
1	3	1000:1	XBA-1000:1-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1000:1-XCA_3
2	3	1:1	XBA-1:1-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1:1-XCA_3
2	3	1:10	XBA-1:10-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1:10-XCA_3
2	3	1:100	XBA-1:100-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1:100-XCA_3
2	3	1:1000	XBA-1:1000-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1:1000-XCA_3
2	3	10:1	XBA-10:1-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-10:1-XCA_3
2	3	100:1	XBA-100:1-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-100:1-XCA_3
2	3	1000:1	XBA-1000:1-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1000:1-XCA_3
3	3	1:1	XBA-1:1-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1:1-XCA_3
3	3	1:10	XBA-1:10-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1:10-XCA_3
3	3	1:100	XBA-1:100-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1:100-XCA_3
3	3	1:1000	XBA-1:1000-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1:1000-XCA_3
3	3	10:1	XBA-10:1-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-10:1-XCA_3
3	3	100:1	XBA-100:1-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-100:1-XCA_3
3	3	1000:1	XBA-1000:1-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1000:1-XCA_3
1	3	0:1	XBA-0:1-XCA	control	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-0:1-XCA_3
1	3	1:0	XBA-1:0-XCA	control	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:0-XCA_3
1	3	1:1	XBA-1:1-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:1-XCA_3
1	3	1:10	XBA-1:10-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:10-XCA_3
1	3	1:100	XBA-1:100-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:100-XCA_3
1	3	1:1000	XBA-1:1000-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:1000-XCA_3
1	3	10:1	XBA-10:1-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-10:1-XCA_3
1	3	100:1	XBA-100:1-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-100:1-XCA_3
1	3	1000:1	XBA-1000:1-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1000:1-XCA_3
2	3	0:1	XBA-0:1-XCA	control	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-0:1-XCA_3
2	3	1:0	XBA-1:0-XCA	control	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:0-XCA_3
2	3	1:1	XBA-1:1-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:1-XCA_3
2	3	1:10	XBA-1:10-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:10-XCA_3
2	3	1:100	XBA-1:100-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:100-XCA_3
2	3	1:1000	XBA-1:1000-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:1000-XCA_3
2	3	10:1	XBA-10:1-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-10:1-XCA_3
2	3	100:1	XBA-100:1-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-100:1-XCA_3
2	3	1000:1	XBA-1000:1-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1000:1-XCA_3
1	5	1:1	XBA-1:1-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1:1-XCA_5
1	5	1:10	XBA-1:10-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1:10-XCA_5
1	5	1:100	XBA-1:100-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1:100-XCA_5
1	5	1:1000	XBA-1:1000-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1:1000-XCA_5
1	5	10:1	XBA-10:1-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-10:1-XCA_5
1	5	100:1	XBA-100:1-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-100:1-XCA_5
1	5	1000:1	XBA-1000:1-XCA	mixture	actual	XBA-XCA	actual-1	actual-1_XBA-1000:1-XCA_5
2	5	1:1	XBA-1:1-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1:1-XCA_5
2	5	1:10	XBA-1:10-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1:10-XCA_5
2	5	1:100	XBA-1:100-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1:100-XCA_5
2	5	1:1000	XBA-1:1000-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1:1000-XCA_5
2	5	10:1	XBA-10:1-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-10:1-XCA_5
2	5	100:1	XBA-100:1-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-100:1-XCA_5
2	5	1000:1	XBA-1000:1-XCA	mixture	actual	XBA-XCA	actual-2	actual-2_XBA-1000:1-XCA_5
3	5	1:1	XBA-1:1-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1:1-XCA_5
3	5	1:10	XBA-1:10-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1:10-XCA_5
3	5	1:100	XBA-1:100-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1:100-XCA_5
3	5	1:1000	XBA-1:1000-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1:1000-XCA_5
3	5	10:1	XBA-10:1-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-10:1-XCA_5
3	5	100:1	XBA-100:1-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-100:1-XCA_5
3	5	1000:1	XBA-1000:1-XCA	mixture	actual	XBA-XCA	actual-3	actual-3_XBA-1000:1-XCA_5
1	5	0:1	XBA-0:1-XCA	control	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-0:1-XCA_5
1	5	1:0	XBA-1:0-XCA	control	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:0-XCA_5
1	5	1:1	XBA-1:1-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:1-XCA_5
1	5	1:10	XBA-1:10-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:10-XCA_5
1	5	1:100	XBA-1:100-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:100-XCA_5
1	5	1:1000	XBA-1:1000-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1:1000-XCA_5
1	5	10:1	XBA-10:1-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-10:1-XCA_5
1	5	100:1	XBA-100:1-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-100:1-XCA_5
1	5	1000:1	XBA-1000:1-XCA	mixture	theoretical	XBA-XCA	theoretical-1	theoretical-1_XBA-1000:1-XCA_5
2	5	0:1	XBA-0:1-XCA	control	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-0:1-XCA_5
2	5	1:0	XBA-1:0-XCA	control	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:0-XCA_5
2	5	1:1	XBA-1:1-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:1-XCA_5
2	5	1:10	XBA-1:10-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:10-XCA_5
2	5	1:100	XBA-1:100-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:100-XCA_5
2	5	1:1000	XBA-1:1000-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1:1000-XCA_5
2	5	10:1	XBA-10:1-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-10:1-XCA_5
2	5	100:1	XBA-100:1-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-100:1-XCA_5
2	5	1000:1	XBA-1000:1-XCA	mixture	theoretical	XBA-XCA	theoretical-2	theoretical-2_XBA-1000:1-XCA_5
1	3	1:1	XCA-1:1-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1:1-XDA_3
1	3	1:10	XCA-1:10-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1:10-XDA_3
1	3	1:100	XCA-1:100-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1:100-XDA_3
1	3	1:1000	XCA-1:1000-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1:1000-XDA_3
1	3	10:1	XCA-10:1-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-10:1-XDA_3
1	3	100:1	XCA-100:1-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-100:1-XDA_3
1	3	1000:1	XCA-1000:1-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1000:1-XDA_3
2	3	1:1	XCA-1:1-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1:1-XDA_3
2	3	1:10	XCA-1:10-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1:10-XDA_3
2	3	1:100	XCA-1:100-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1:100-XDA_3
2	3	1:1000	XCA-1:1000-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1:1000-XDA_3
2	3	10:1	XCA-10:1-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-10:1-XDA_3
2	3	100:1	XCA-100:1-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-100:1-XDA_3
2	3	1000:1	XCA-1000:1-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1000:1-XDA_3
3	3	1:1	XCA-1:1-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-1:1-XDA_3
3	3	1:10	XCA-1:10-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-1:10-XDA_3
3	3	1:100	XCA-1:100-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-1:100-XDA_3
3	3	1:1000	XCA-1:1000-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-1:1000-XDA_3
3	3	10:1	XCA-10:1-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-10:1-XDA_3
3	3	100:1	XCA-100:1-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-100:1-XDA_3
3	3	1000:1	XCA-1000:1-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-1000:1-XDA_3
1	3	0:1	XCA-0:1-XDA	control	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-0:1-XDA_3
1	3	1:0	XCA-1:0-XDA	control	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-1:0-XDA_3
1	3	1:1	XCA-1:1-XDA	mixture	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-1:1-XDA_3
1	3	1:10	XCA-1:10-XDA	mixture	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-1:10-XDA_3
1	3	1:100	XCA-1:100-XDA	mixture	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-1:100-XDA_3
1	3	1:1000	XCA-1:1000-XDA	mixture	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-1:1000-XDA_3
1	3	10:1	XCA-10:1-XDA	mixture	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-10:1-XDA_3
1	3	100:1	XCA-100:1-XDA	mixture	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-100:1-XDA_3
1	3	1000:1	XCA-1000:1-XDA	mixture	theoretical	XCA-XDA	theoretical-1	theoretical-1_XCA-1000:1-XDA_3
2	3	0:1	XCA-0:1-XDA	control	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-0:1-XDA_3
2	3	1:0	XCA-1:0-XDA	control	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-1:0-XDA_3
2	3	1:1	XCA-1:1-XDA	mixture	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-1:1-XDA_3
2	3	1:10	XCA-1:10-XDA	mixture	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-1:10-XDA_3
2	3	1:100	XCA-1:100-XDA	mixture	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-1:100-XDA_3
2	3	1:1000	XCA-1:1000-XDA	mixture	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-1:1000-XDA_3
2	3	10:1	XCA-10:1-XDA	mixture	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-10:1-XDA_3
2	3	100:1	XCA-100:1-XDA	mixture	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-100:1-XDA_3
2	3	1000:1	XCA-1000:1-XDA	mixture	theoretical	XCA-XDA	theoretical-2	theoretical-2_XCA-1000:1-XDA_3
1	5	1:1	XCA-1:1-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1:1-XDA_5
1	5	1:10	XCA-1:10-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1:10-XDA_5
1	5	1:100	XCA-1:100-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1:100-XDA_5
1	5	1:1000	XCA-1:1000-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1:1000-XDA_5
1	5	10:1	XCA-10:1-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-10:1-XDA_5
1	5	100:1	XCA-100:1-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-100:1-XDA_5
1	5	1000:1	XCA-1000:1-XDA	mixture	actual	XCA-XDA	actual-1	actual-1_XCA-1000:1-XDA_5
2	5	1:1	XCA-1:1-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1:1-XDA_5
2	5	1:10	XCA-1:10-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1:10-XDA_5
2	5	1:100	XCA-1:100-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1:100-XDA_5
2	5	1:1000	XCA-1:1000-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1:1000-XDA_5
2	5	10:1	XCA-10:1-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-10:1-XDA_5
2	5	100:1	XCA-100:1-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-100:1-XDA_5
2	5	1000:1	XCA-1000:1-XDA	mixture	actual	XCA-XDA	actual-2	actual-2_XCA-1000:1-XDA_5
3	5	1:1	XCA-1:1-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-1:1-XDA_5
3	5	1:10	XCA-1:10-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-1:10-XDA_5
3	5	1:100	XCA-1:100-XDA	mixture	actual	XCA-XDA	actual-3	actual-3_XCA-1:100-XDA_5
