inoculationReplicate	passage	ratio	label	group	mixtureType	combo	line	sample
1	5	0:1	XBA-0:1-XBB	control	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-0:1-XBB_5
1	5	1:0	XBA-1:0-XBB	control	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:0-XBB_5
1	5	1:1	XBA-1:1-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:1-XBB_5
1	5	1:10	XBA-1:10-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:10-XBB_5
1	5	1:100	XBA-1:100-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:100-XBB_5
1	5	1:1000	XBA-1:1000-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1:1000-XBB_5
1	5	10:1	XBA-10:1-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-10:1-XBB_5
1	5	100:1	XBA-100:1-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-100:1-XBB_5
1	5	1000:1	XBA-1000:1-XBB	mixture	theoretical	XBA-XBB	theoretical-1	theoretical-1_XBA-1000:1-XBB_5
2	5	0:1	XBA-0:1-XBB	control	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-0:1-XBB_5
2	5	1:0	XBA-1:0-XBB	control	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:0-XBB_5
2	5	1:1	XBA-1:1-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:1-XBB_5
2	5	1:10	XBA-1:10-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:10-XBB_5
2	5	1:100	XBA-1:100-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:100-XBB_5
2	5	1:1000	XBA-1:1000-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1:1000-XBB_5
2	5	10:1	XBA-10:1-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-10:1-XBB_5
2	5	100:1	XBA-100:1-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-100:1-XBB_5
2	5	1000:1	XBA-1000:1-XBB	mixture	theoretical	XBA-XBB	theoretical-2	theoretical-2_XBA-1000:1-XBB_5
1	3	1:1	XCA-1:1-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-1:1-XCB_3
1	3	1:10	XCA-1:10-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-1:10-XCB_3
1	3	1:100	XCA-1:100-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-1:100-XCB_3
1	3	1:1000	XCA-1:1000-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-1:1000-XCB_3
1	3	10:1	XCA-10:1-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-10:1-XCB_3
