"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Firmicutes"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Cyanobacteria"	"Bacteria;Planctomycetota"	"Bacteria;Fusobacteriota"
"16S-C-G1-L3_e0017-3-C-G1"	19592	23911	34825	56	12	0	0	0	0
"16S-C-G10-L0_e0017-0-C-G10"	31727	48304	40260	67	30	0	0	0	0
"16S-C-G10-L1_e0017-1-C-G10"	28730	51146	38906	107	124	0	0	0	0
"16S-C-G10-L2_e0017-2-C-G10"	13111	18108	21715	96	273	0	0	0	0
"16S-C-G10-L3_e0017-3-C-G10"	28961	28403	35050	131	96	0	0	0	0
"16S-C-G11-L0_e0017-0-C-G11"	22364	40184	30943	45	14	0	0	0	0
"16S-C-G11-L1_e0017-1-C-G11"	15903	28384	26675	7	79	0	0	0	0
"16S-C-G11-L2_e0017-2-C-G11"	10280	16809	19370	65	143	0	0	0	0
"16S-C-G11-L3_e0017-3-C-G11"	13124	18424	28139	54	9	0	0	0	0
"16S-C-G12-L0_e0017-0-C-G12"	29819	40745	42291	107	37	0	0	0	0
"16S-C-G12-L1_e0017-1-C-G12"	22746	33125	31555	0	40	0	0	0	0
"16S-C-G12-L2_e0017-2-C-G12"	11417	21251	30564	64	71	0	0	0	0
"16S-C-G12-L3_e0017-3-C-G12"	18232	26443	41185	0	10	0	0	0	0
"16S-C-G2-L0_e0017-0-C-G2"	24360	54539	65608	341	159	0	0	0	0
"16S-C-G2-L1_e0017-1-C-G2"	48066	54259	71257	170	191	0	0	0	0
"16S-C-G2-L2_e0017-2-C-G2"	28386	34632	36779	122	105	0	0	0	0
"16S-C-G2-L3_e0017-3-C-G2"	32820	33096	41810	64	36	0	0	0	0
"16S-C-G3-L0_e0017-0-C-G3"	35932	44710	56121	176	224	0	0	0	0
"16S-C-G3-L1_e0017-1-C-G3"	39027	49216	63349	177	205	0	0	0	0
"16S-C-G3-L2_e0017-2-C-G3"	17507	26176	35290	79	112	0	0	0	0
"16S-C-G3-L3_e0017-3-C-G3"	31953	39820	50152	146	57	0	0	0	0
"16S-C-G4-L0_e0017-0-C-G4"	27991	48773	41445	79	12	0	0	0	0
"16S-C-G4-L1_e0017-1-C-G4"	29309	42165	39640	112	247	0	0	0	0
"16S-C-G4-L2_e0017-2-C-G4"	15048	21015	31337	58	90	0	0	0	0
"16S-C-G4-L3_e0017-3-C-G4"	28746	32328	40746	119	63	0	0	0	0
"16S-C-G5-L0_e0017-0-C-G5"	40813	93359	63974	93	330	0	0	0	0
"16S-C-G5-L1_e0017-1-C-G5"	89067	130296	112463	332	562	0	0	0	0
"16S-C-G5-L2_e0017-2-C-G5"	14759	24319	38126	89	202	0	0	0	0
"16S-C-G5-L3_e0017-3-C-G5"	20565	32022	40219	91	81	0	0	0	0
"16S-C-G6-L0_e0017-0-C-G6"	40517	61282	47951	117	201	0	0	0	0
"16S-C-G6-L1_e0017-1-C-G6"	56781	91077	68746	146	272	0	0	0	0
"16S-C-G6-L2_e0017-2-C-G6"	20377	27491	33118	107	133	0	0	0	0
"16S-C-G6-L3_e0017-3-C-G6"	35487	37625	50085	137	114	0	0	0	0
"16S-C-G7-L0_e0017-0-C-G7"	36663	49055	48046	136	177	0	0	0	0
"16S-C-G7-L1_e0017-1-C-G7"	67954	70450	64742	187	198	0	0	0	0
"16S-C-G7-L2_e0017-2-C-G7"	20238	23671	23786	81	159	0	0	0	0
"16S-C-G7-L3_e0017-3-C-G7"	33405	36731	40198	142	166	0	0	0	0
"16S-C-G8-L0_e0017-0-C-G8"	21458	48448	51058	101	202	0	0	0	0
"16S-C-G8-L1_e0017-1-C-G8"	33737	43316	34681	79	90	0	0	0	0
"16S-C-G8-L2_e0017-2-C-G8"	14745	28663	34482	91	394	0	0	0	0
"16S-C-G8-L3_e0017-3-C-G8"	29569	26677	30527	92	47	9	0	0	0
"16S-C-G9-L0_e0017-0-C-G9"	52824	68165	71792	216	242	0	0	0	0
"16S-C-G9-L1_e0017-1-C-G9"	74569	88580	76532	168	229	0	0	0	0
"16S-C-G9-L2_e0017-2-C-G9"	24432	36957	53174	140	258	0	0	0	0
"16S-C-G9-L3_e0017-3-C-G9"	26999	36642	43225	101	38	0	0	0	0
"16S-C-H1-L0_e0017-0-C-H1"	10	13	44	0	0	0	0	0	0
"16S-C-H1-L1_e0017-1-C-H1"	9667	17544	21644	125	72	0	27	0	0
"16S-C-H1-L2_e0017-2-C-H1"	135	176	554	0	0	0	0	0	0
"16S-C-H10-L0_e0017-0-C-H10"	32030	50021	66097	240	45	0	0	0	0
"16S-C-H10-L1_e0017-1-C-H10"	48787	49917	61110	189	53	0	0	0	0
"16S-C-H10-L2_e0017-2-C-H10"	21422	28563	35020	80	75	0	0	0	0
"16S-C-H10-L3_e0017-3-C-H10"	40839	40710	38424	66	10	0	0	0	0
"16S-C-H11-L0_e0017-0-C-H11"	34503	48488	70170	192	70	0	0	0	0
"16S-C-H11-L1_e0017-1-C-H11"	45881	43921	74160	134	64	0	0	0	0
"16S-C-H11-L2_e0017-2-C-H11"	21845	26679	27798	84	47	0	0	0	0
"16S-C-H11-L3_e0017-3-C-H11"	44351	42983	53078	39	0	0	0	0	0
"16S-C-H12-L0_e0017-0-C-H12"	0	0	0	0	0	0	0	0	0
"16S-C-H12-L1_e0017-1-C-H12"	40209	56916	86633	80	52	0	10	0	0
"16S-C-H12-L2_e0017-2-C-H12"	4964	7001	11801	28	14	0	0	4	0
"16S-C-H12-L3_e0017-3-C-H12"	6	0	2	0	0	0	0	0	0
"16S-C-H2-L0_e0017-0-C-H2"	48268	65316	45928	219	26	704	0	0	0
"16S-C-H2-L1_e0017-1-C-H2"	45745	45329	57417	118	132	0	0	0	0
"16S-C-H2-L2_e0017-2-C-H2"	27279	30081	38627	114	38	426	0	0	0
"16S-C-H2-L3_e0017-3-C-H2"	31593	30267	31060	99	13	0	0	0	0
"16S-C-H3-L0_e0017-0-C-H3"	37167	55209	77228	267	113	0	0	0	0
"16S-C-H3-L1_e0017-1-C-H3"	45733	48121	70505	218	125	0	0	0	0
"16S-C-H3-L2_e0017-2-C-H3"	34720	35549	40944	113	53	3	0	0	0
"16S-C-H3-L3_e0017-3-C-H3"	36450	39380	69911	134	31	0	0	0	0
"16S-C-H4-L0_e0017-0-C-H4"	33588	51852	59403	170	128	0	0	0	0
"16S-C-H4-L1_e0017-1-C-H4"	46029	40584	72932	218	80	0	0	0	0
"16S-C-H4-L2_e0017-2-C-H4"	19141	25016	32173	111	65	0	0	0	0
"16S-C-H4-L3_e0017-3-C-H4"	16213	17443	28407	89	22	0	0	0	0
"16S-C-H5-L0_e0017-0-C-H5"	25047	46168	67102	304	145	0	0	0	0
"16S-C-H5-L1_e0017-1-C-H5"	83461	78088	144182	334	155	0	0	0	0
"16S-C-H5-L2_e0017-2-C-H5"	20372	19933	21340	65	70	0	0	0	0
"16S-C-H5-L3_e0017-3-C-H5"	65030	100036	138881	357	177	0	0	0	0
"16S-C-H6-L0_e0017-0-C-H6"	37750	68614	90984	247	158	0	0	0	0
"16S-C-H6-L1_e0017-1-C-H6"	67609	62242	88877	289	104	0	0	0	0
"16S-C-H6-L2_e0017-2-C-H6"	0	0	0	0	0	0	0	0	0
"16S-C-H6-L3_e0017-3-C-H6"	42665	42268	48442	181	26	0	0	0	0
"16S-C-H7-L0_e0017-0-C-H7"	43233	73492	123163	397	162	0	0	0	0
"16S-C-H7-L1_e0017-1-C-H7"	63261	54131	62611	237	44	0	0	0	0
"16S-C-H7-L2_e0017-2-C-H7"	24709	25430	28167	117	63	0	0	0	0
"16S-C-H7-L3_e0017-3-C-H7"	42295	43124	46772	150	8	0	0	0	0
"16S-C-H8-L0_e0017-0-C-H8"	30848	53024	38164	120	17	0	0	0	0
"16S-C-H8-L1_e0017-1-C-H8"	42853	38135	46706	157	51	0	0	0	0
"16S-C-H8-L2_e0017-2-C-H8"	24644	30795	30675	163	110	0	0	0	0
"16S-C-H8-L3_e0017-3-C-H8"	37783	31330	42081	153	21	0	0	0	0
"16S-C-H9-L0_e0017-0-C-H9"	33630	66407	43080	150	20	0	0	0	0
"16S-C-H9-L1_e0017-1-C-H9"	45502	39167	56754	196	48	0	0	0	0
"16S-C-H9-L2_e0017-2-C-H9"	10346	15629	25437	42	36	0	0	0	0
"16S-C-H9-L3_e0017-3-C-H9"	35141	29802	45357	101	22	0	0	0	0
"16S-D-A1-L1_e0017-1-D-A1"	1855	5882	3586	0	130	0	0	0	0
"16S-D-A10-L1_e0017-1-D-A10"	33818	51446	59632	77	574	0	0	0	0
"16S-D-A11-L1_e0017-1-D-A11"	31139	43860	51946	48	305	0	0	0	0
"16S-D-A12-L1_e0017-1-D-A12"	150	63	48	0	0	0	0	0	0
"16S-D-A2-L1_e0017-1-D-A2"	28195	45340	87015	167	136	0	0	0	0
"16S-D-A3-L1_e0017-1-D-A3"	48973	46902	72656	110	433	0	0	0	0
"16S-D-A4-L1_e0017-1-D-A4"	35415	62363	72430	196	1149	0	0	0	0
"16S-D-A5-L1_e0017-1-D-A5"	52092	60626	65388	137	516	0	0	0	0
"16S-D-A6-L1_e0017-1-D-A6"	32048	51562	66582	137	465	0	0	0	0
"16S-D-A7-L1_e0017-1-D-A7"	28771	57905	65426	89	380	0	0	0	0
"16S-D-A8-L1_e0017-1-D-A8"	34158	53846	65318	139	483	0	0	0	0
"16S-D-A9-L1_e0017-1-D-A9"	45902	49171	54157	131	537	0	0	0	0
"16S-D-B1-L1_e0017-1-D-B1"	20601	55862	88597	97	58	0	0	0	0
"16S-D-B10-L1_e0017-1-D-B10"	16264	66883	67355	0	372	0	0	0	0
"16S-D-B11-L1_e0017-1-D-B11"	27468	61462	76567	14	281	2	0	0	0
"16S-D-B12-L1_e0017-1-D-B12"	18577	55710	54274	0	220	0	0	0	0
"16S-D-B2-L1_e0017-1-D-B2"	32467	50530	71395	112	147	0	0	0	0
"16S-D-B3-L1_e0017-1-D-B3"	38229	52828	69949	0	133	0	0	0	0
"16S-D-B4-L1_e0017-1-D-B4"	36558	67498	79084	146	214	0	0	0	0
"16S-D-B5-L1_e0017-1-D-B5"	37925	55818	56195	0	158	0	0	0	0
"16S-D-B6-L1_e0017-1-D-B6"	50029	66461	68603	10	57	0	0	0	0
"16S-D-B7-L1_e0017-1-D-B7"	29344	51361	64931	0	155	0	0	0	0
"16S-D-B8-L1_e0017-1-D-B8"	38312	47042	51819	84	152	0	0	0	0
"16S-D-B9-L1_e0017-1-D-B9"	24407	51897	61954	0	195	0	0	0	0
"16S-D-C1-L1_e0017-1-D-C1"	41284	46388	103661	135	507	0	0	0	0
"16S-D-C10-L1_e0017-1-D-C10"	56045	50265	53230	221	657	0	0	0	0
"16S-D-C11-L1_e0017-1-D-C11"	55691	50848	43215	66	66	0	0	0	0
"16S-D-C12-L1_e0017-1-D-C12"	61244	57516	47967	0	759	0	0	0	0
"16S-D-C2-L1_e0017-1-D-C2"	42156	44060	97295	104	505	0	0	0	0
"16S-D-C3-L1_e0017-1-D-C3"	35240	37798	81316	167	478	0	0	0	0
"16S-D-C4-L1_e0017-1-D-C4"	23266	25191	69771	77	298	0	0	0	0
"16S-D-C5-L1_e0017-1-D-C5"	27211	28192	70250	81	175	0	0	0	0
"16S-D-C6-L1_e0017-1-D-C6"	30163	27622	42546	105	153	0	0	0	0
"16S-D-C7-L1_e0017-1-D-C7"	54318	46680	54158	89	106	0	0	0	0
"16S-D-C8-L1_e0017-1-D-C8"	52266	43180	46338	157	457	0	0	0	0
"16S-D-C9-L1_e0017-1-D-C9"	67889	66277	53251	87	148	0	0	0	0
"16S-D-D1-L1_e0017-1-D-D1"	45135	50014	50035	204	134	0	0	0	0
"16S-D-D10-L1_e0017-1-D-D10"	34190	39339	56756	156	141	25	0	0	0
"16S-D-D11-L1_e0017-1-D-D11"	46803	55911	59854	369	40	646	0	0	0
"16S-D-D12-L1_e0017-1-D-D12"	37784	49022	51669	186	49	0	0	0	0
"16S-D-D2-L1_e0017-1-D-D2"	52684	44563	54929	197	150	0	0	0	0
"16S-D-D3-L1_e0017-1-D-D3"	53699	50786	67390	477	272	166	0	0	0
"16S-D-D4-L1_e0017-1-D-D4"	46648	67849	79315	395	306	0	0	0	0
"16S-D-D5-L1_e0017-1-D-D5"	34906	43491	46499	237	198	0	0	0	0
"16S-D-D6-L1_e0017-1-D-D6"	36629	40077	60447	260	249	0	0	0	0
"16S-D-D7-L1_e0017-1-D-D7"	35433	38749	62905	280	127	0	0	0	0
"16S-D-D8-L1_e0017-1-D-D8"	43977	52656	55720	367	23	0	0	0	0
"16S-D-D9-L1_e0017-1-D-D9"	46282	50541	69189	346	173	4	0	0	0
"16S-D-E1-L1_e0017-1-D-E1"	19601	30622	49875	88	29	0	0	0	0
"16S-D-E10-L1_e0017-1-D-E10"	18402	50187	71310	123	241	0	0	0	0
"16S-D-E11-L1_e0017-1-D-E11"	35160	44683	50724	5	162	0	0	0	0
"16S-D-E2-L1_e0017-1-D-E2"	24447	47433	52354	143	37	0	0	0	0
"16S-D-E3-L1_e0017-1-D-E3"	36874	35673	64043	160	111	0	0	0	0
"16S-D-E4-L1_e0017-1-D-E4"	47066	47349	57872	232	163	0	0	0	0
"16S-D-E5-L1_e0017-1-D-E5"	47288	62928	79506	315	167	0	0	0	0
"16S-D-E6-L1_e0017-1-D-E6"	13359	28564	37550	116	58	0	0	0	0
"16S-D-E7-L1_e0017-1-D-E7"	22540	53797	64670	170	103	0	0	0	0
"16S-D-E8-L1_e0017-1-D-E8"	23508	54953	73228	94	84	0	0	0	0
"16S-D-E9-L1_e0017-1-D-E9"	23110	54269	68387	158	254	0	0	0	0
"16S-D-F1-L1_e0017-1-D-F1"	34535	47641	59476	85	217	0	0	0	0
"16S-D-F10-L1_e0017-1-D-F10"	32375	38989	52987	104	152	0	0	0	0
"16S-D-F11-L1_e0017-1-D-F11"	39007	44760	61878	91	220	0	0	0	0
"16S-D-F12-L1_e0017-1-D-F12"	37509	49168	61948	134	198	0	0	0	0
"16S-D-F2-L1_e0017-1-D-F2"	42622	52274	65194	95	222	0	0	0	0
"16S-D-F3-L1_e0017-1-D-F3"	41238	50933	71210	115	218	0	0	0	0
"16S-D-F4-L1_e0017-1-D-F4"	33698	42043	52076	89	237	0	0	0	0
"16S-D-F5-L1_e0017-1-D-F5"	38605	47863	62264	110	249	0	0	0	0
"16S-D-F6-L1_e0017-1-D-F6"	41762	52866	73128	115	317	0	0	0	0
"16S-D-F7-L1_e0017-1-D-F7"	30033	39784	51749	91	213	0	0	0	0
"16S-D-F8-L1_e0017-1-D-F8"	38388	45689	52712	89	168	0	0	0	0
"16S-D-F9-L1_e0017-1-D-F9"	15995	19688	26947	37	80	0	0	0	0
"16S-D-G1-L1_e0017-1-D-G1"	35615	44922	73475	107	100	0	0	0	0
"16S-D-G10-L1_e0017-1-D-G10"	35005	47851	53011	164	275	0	0	0	0
"16S-D-G11-L1_e0017-1-D-G11"	31578	41055	56282	123	379	0	0	0	0
"16S-D-G12-L1_e0017-1-D-G12"	35378	45671	64298	0	80	0	0	0	0
"16S-D-G2-L1_e0017-1-D-G2"	15090	19616	27775	34	112	0	0	0	0
"16S-D-G3-L1_e0017-1-D-G3"	39769	50687	65076	175	241	0	0	0	0
"16S-D-G4-L1_e0017-1-D-G4"	38043	55795	62634	123	410	0	0	0	0
"16S-D-G5-L1_e0017-1-D-G5"	30195	47472	54519	140	207	0	0	0	0
"16S-D-G6-L1_e0017-1-D-G6"	42292	50891	60615	128	239	0	0	0	0
"16S-D-G7-L1_e0017-1-D-G7"	33707	48463	54627	147	261	0	0	0	0
"16S-D-G8-L1_e0017-1-D-G8"	48868	51465	48640	166	247	23	0	0	0
"16S-D-G9-L1_e0017-1-D-G9"	33513	51824	56901	173	274	0	0	0	0
"16S-D-H1-L1_e0017-1-D-H1"	848	456	481	0	0	0	0	0	0
"16S-D-H10-L1_e0017-1-D-H10"	41571	39823	46195	139	61	0	0	0	0
"16S-D-H11-L1_e0017-1-D-H11"	43136	40632	60007	89	22	0	0	0	0
"16S-D-H12-L1_e0017-1-D-H12"	0	0	14	0	0	0	0	0	0
"16S-D-H2-L1_e0017-1-D-H2"	41111	44301	57131	175	93	0	0	0	0
"16S-D-H3-L1_e0017-1-D-H3"	53274	63038	58242	75	253	0	0	0	0
"16S-D-H4-L1_e0017-1-D-H4"	33638	49977	76176	267	94	0	0	0	0
"16S-D-H5-L1_e0017-1-D-H5"	30673	39027	66141	172	37	0	0	0	0
"16S-D-H6-L1_e0017-1-D-H6"	39879	58278	68254	265	56	0	0	0	0
"16S-D-H7-L1_e0017-1-D-H7"	34936	47730	70454	371	78	0	0	0	0
"16S-D-H8-L1_e0017-1-D-H8"	44045	46196	61426	251	86	0	0	0	0
"16S-D-H9-L1_e0017-1-D-H9"	54974	53916	77598	181	89	0	0	0	0
