"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Firmicutes"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Cyanobacteria"	"Bacteria;Planctomycetota"	"Bacteria;Fusobacteriota"
"16S-C-B3-L0_e0017-0-C-B3"	28590	69364	57552	26	19	0	0	0	0
"16S-C-B3-L1_e0017-1-C-B3"	32238	53542	56226	0	84	0	0	0	0
"16S-C-B3-L2_e0017-2-C-B3"	21312	36194	46455	138	76	0	0	0	0
"16S-C-B3-L3_e0017-3-C-B3"	36292	52126	67968	0	58	0	0	0	0
"16S-C-B4-L0_e0017-0-C-B4"	56102	84510	86000	131	201	0	0	0	0
"16S-C-B4-L1_e0017-1-C-B4"	32353	77017	82157	24	55	0	0	0	0
"16S-C-B4-L2_e0017-2-C-B4"	17706	30268	44408	111	103	0	0	0	0
"16S-C-B4-L3_e0017-3-C-B4"	29693	68817	56693	32	27	0	0	0	0
"16S-C-B5-L0_e0017-0-C-B5"	39016	57716	56044	168	148	0	0	0	0
"16S-C-B5-L1_e0017-1-C-B5"	22099	37454	36865	0	68	0	0	0	0
"16S-C-B5-L2_e0017-2-C-B5"	12745	26517	39650	116	101	0	0	0	0
"16S-C-B5-L3_e0017-3-C-B5"	22029	35197	38582	3	44	0	0	0	0
"16S-C-B6-L0_e0017-0-C-B6"	38858	75664	64359	102	44	0	0	0	0
"16S-C-B6-L1_e0017-1-C-B6"	24615	34004	55954	0	46	0	0	0	0
"16S-C-B6-L2_e0017-2-C-B6"	13502	24861	35500	31	50	0	0	0	0
"16S-C-B6-L3_e0017-3-C-B6"	36617	46742	56737	4	43	0	0	0	0
"16S-C-B7-L0_e0017-0-C-B7"	30750	56497	54506	99	48	0	0	0	0
"16S-C-B7-L1_e0017-1-C-B7"	32203	61100	59997	0	27	0	0	0	0
"16S-C-B7-L2_e0017-2-C-B7"	14556	27171	36453	82	47	0	0	0	0
"16S-C-B7-L3_e0017-3-C-B7"	27824	39793	53421	0	61	0	0	0	0
"16S-C-B8-L0_e0017-0-C-B8"	33499	59248	65497	123	92	0	0	0	0
"16S-C-B8-L1_e0017-1-C-B8"	39019	52684	68372	24	88	0	0	0	0
"16S-C-B8-L2_e0017-2-C-B8"	12851	25167	30185	60	44	0	0	0	0
"16S-C-B8-L3_e0017-3-C-B8"	28869	40239	48417	49	48	0	0	0	0
"16S-C-B9-L0_e0017-0-C-B9"	22442	43523	52174	0	101	0	0	0	0
"16S-C-B9-L1_e0017-1-C-B9"	17390	29595	36699	0	29	0	0	0	0
"16S-C-B9-L2_e0017-2-C-B9"	7658	14184	16979	0	36	0	0	0	0
"16S-C-B9-L3_e0017-3-C-B9"	20667	31853	38618	0	65	0	0	0	0
"16S-C-C1-L0_e0017-0-C-C1"	33488	49388	53157	111	118	0	0	0	0
"16S-C-C1-L1_e0017-1-C-C1"	36481	45894	69477	142	229	0	0	0	0
"16S-C-C1-L2_e0017-2-C-C1"	14267	19606	38900	68	70	0	0	0	0
"16S-C-C1-L3_e0017-3-C-C1"	27365	32450	52366	74	50	0	0	0	0
"16S-C-C10-L0_e0017-0-C-C10"	6371	8414	6207	16	51	0	0	0	0
"16S-C-C10-L1_e0017-1-C-C10"	5368	5019	4735	8	17	0	0	0	0
"16S-C-C10-L2_e0017-2-C-C10"	2868	2867	2267	11	17	0	0	0	0
"16S-C-C10-L3_e0017-3-C-C10"	5099	6139	5272	27	10	0	0	0	0
"16S-C-C11-L0_e0017-0-C-C11"	58193	62862	54369	342	365	0	0	0	0
"16S-C-C11-L1_e0017-1-C-C11"	47544	48365	40678	130	222	0	0	0	0
"16S-C-C11-L2_e0017-2-C-C11"	27641	27994	17842	112	238	0	0	0	0
"16S-C-C11-L3_e0017-3-C-C11"	49344	44837	30384	119	94	0	0	0	3
"16S-C-C12-L0_e0017-0-C-C12"	37535	76040	66513	177	363	0	0	0	0
"16S-C-C12-L1_e0017-1-C-C12"	58521	47802	43940	130	199	0	0	0	0
"16S-C-C12-L2_e0017-2-C-C12"	21154	30167	26835	80	92	0	0	0	0
"16S-C-C12-L3_e0017-3-C-C12"	51634	53998	38261	0	112	0	0	0	0
"16S-C-C2-L0_e0017-0-C-C2"	31006	59297	54145	80	135	0	0	0	0
"16S-C-C2-L1_e0017-1-C-C2"	40065	60095	71868	153	430	0	0	0	0
"16S-C-C2-L2_e0017-2-C-C2"	23801	35063	44201	116	153	0	0	0	0
"16S-C-C2-L3_e0017-3-C-C2"	32783	36102	53633	90	25	0	0	0	0
"16S-C-C3-L0_e0017-0-C-C3"	36095	53250	46844	277	436	0	0	0	0
"16S-C-C3-L1_e0017-1-C-C3"	49933	67579	49739	238	700	0	0	0	0
"16S-C-C3-L2_e0017-2-C-C3"	17831	27742	40294	94	180	0	0	0	0
"16S-C-C3-L3_e0017-3-C-C3"	31419	37457	54514	106	95	0	0	0	0
"16S-C-C4-L0_e0017-0-C-C4"	56151	80893	58532	332	547	0	0	0	0
"16S-C-C4-L1_e0017-1-C-C4"	49076	72333	56899	229	460	0	0	0	0
"16S-C-C4-L2_e0017-2-C-C4"	21490	33102	43578	115	256	0	0	0	0
"16S-C-C4-L3_e0017-3-C-C4"	46567	54329	85073	184	325	0	0	0	0
"16S-C-C5-L0_e0017-0-C-C5"	36197	75967	51216	127	654	0	0	0	0
"16S-C-C5-L1_e0017-1-C-C5"	31487	37712	59588	156	174	0	0	0	0
"16S-C-C5-L2_e0017-2-C-C5"	21303	33392	38871	99	270	0	0	0	0
"16S-C-C5-L3_e0017-3-C-C5"	32812	31864	52678	86	155	0	0	0	0
"16S-C-C6-L0_e0017-0-C-C6"	42589	76948	49593	273	434	0	0	0	0
"16S-C-C6-L1_e0017-1-C-C6"	51019	57897	44339	178	156	0	0	0	0
"16S-C-C6-L2_e0017-2-C-C6"	20822	41512	42444	113	163	0	0	0	0
"16S-C-C6-L3_e0017-3-C-C6"	51918	53773	54304	144	119	0	0	0	0
