"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Firmicutes;Bacilli"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Cyanobacteria;Cyanobacteriia"	"Bacteria;Cyanobacteria;Vampirivibrionia"	"Bacteria;Actinobacteriota;Acidimicrobiia"	"Bacteria;Planctomycetota;Phycisphaerae"	"Bacteria;Fusobacteriota;Fusobacteriia"
"16S-C-E12-L2_e0017-2-C-E12"	20597	35701	24795	16237	885	117	206	0	0	0	0	0	0	0	0
"16S-C-E12-L3_e0017-3-C-E12"	28158	42085	30011	17654	705	0	64	0	0	0	0	0	0	0	0
"16S-C-E2-L0_e0017-0-C-E2"	20426	27760	12705	10380	4752	113	187	11	0	0	0	0	0	0	0
"16S-C-E2-L1_e0017-1-C-E2"	23844	29437	27375	11192	860	148	26	20	0	0	0	0	0	0	0
"16S-C-E2-L2_e0017-2-C-E2"	14565	16778	12934	10754	1243	63	109	0	0	0	0	0	0	0	0
"16S-C-E2-L3_e0017-3-C-E2"	19868	27624	26914	11130	723	119	27	0	0	0	0	0	0	0	0
"16S-C-E3-L0_e0017-0-C-E3"	15335	29686	22026	11493	1438	48	29	10	0	0	0	0	0	0	0
"16S-C-E3-L1_e0017-1-C-E3"	42466	53199	40009	19075	1424	184	59	30	0	0	0	0	0	0	0
"16S-C-E3-L2_e0017-2-C-E3"	17675	28995	22267	19214	494	103	19	0	0	0	0	0	0	0	0
"16S-C-E3-L3_e0017-3-C-E3"	39533	36633	31232	22834	588	141	29	4	0	0	0	0	0	0	0
"16S-C-E4-L0_e0017-0-C-E4"	24172	44769	36817	16274	1932	90	49	26	0	0	0	0	0	0	0
"16S-C-E4-L1_e0017-1-C-E4"	44682	51774	37097	16714	1813	231	62	44	0	0	0	0	0	0	0
"16S-C-E4-L2_e0017-2-C-E4"	13222	22253	19274	13443	459	93	11	3	0	0	0	0	0	0	0
"16S-C-E4-L3_e0017-3-C-E4"	35760	35409	29987	12297	1055	149	34	6	0	0	0	0	0	0	0
"16S-C-E5-L0_e0017-0-C-E5"	25589	54349	33275	17687	2294	83	41	15	0	0	0	0	0	0	0
"16S-C-E5-L1_e0017-1-C-E5"	29324	39469	31888	15173	1452	133	41	49	0	0	0	0	0	0	0
"16S-C-E5-L2_e0017-2-C-E5"	15709	32240	22960	20811	713	90	26	0	0	0	0	0	0	0	0
"16S-C-E5-L3_e0017-3-C-E5"	22931	28550	24295	9032	766	120	27	0	0	0	0	0	0	0	0
"16S-C-E6-L0_e0017-0-C-E6"	22839	45636	30495	23489	1340	115	42	9	0	0	0	0	0	0	0
"16S-C-E6-L1_e0017-1-C-E6"	35516	56784	46476	20363	1850	103	134	38	0	0	0	0	0	0	0
"16S-C-E6-L2_e0017-2-C-E6"	15766	31280	25049	18476	613	99	9	9	0	0	0	0	0	0	0
"16S-C-E6-L3_e0017-3-C-E6"	25290	36100	29204	14477	841	176	42	0	0	0	0	0	0	0	0
"16S-C-E7-L0_e0017-0-C-E7"	25822	60736	39227	26815	1429	92	59	4	0	0	0	0	0	0	0
"16S-C-E7-L1_e0017-1-C-E7"	30603	34781	33497	16856	1593	153	34	29	0	0	0	0	0	0	0
"16S-C-E7-L2_e0017-2-C-E7"	17295	27360	19524	13914	572	86	12	10	0	0	0	0	0	0	0
"16S-C-E7-L3_e0017-3-C-E7"	27518	41151	32097	18443	874	147	54	0	0	0	0	0	0	0	0
"16S-C-E8-L0_e0017-0-C-E8"	33874	50489	40352	16832	2623	71	62	35	0	0	0	0	0	0	0
"16S-C-E8-L1_e0017-1-C-E8"	20875	27897	25666	12937	1114	63	34	21	0	0	0	0	0	0	0
"16S-C-E8-L2_e0017-2-C-E8"	10081	19226	14446	15065	1029	62	40	0	0	0	0	0	0	0	0
"16S-C-E8-L3_e0017-3-C-E8"	18839	27737	22828	12346	673	54	25	0	0	0	0	0	0	0	0
"16S-C-E9-L0_e0017-0-C-E9"	34186	52837	41664	20346	1017	174	58	34	0	0	0	0	0	0	0
"16S-C-E9-L1_e0017-1-C-E9"	25575	37747	32468	13454	1190	122	61	46	0	0	0	0	0	0	0
"16S-C-E9-L2_e0017-2-C-E9"	19872	27309	20826	20977	503	87	40	8	0	0	0	0	0	0	0
"16S-C-E9-L3_e0017-3-C-E9"	33449	48662	41233	19047	918	182	118	16	0	0	0	0	0	0	0
"16S-C-F1-L0_e0017-0-C-F1"	33006	57967	24747	21714	2687	98	72	0	0	0	0	0	0	0	0
"16S-C-F1-L1_e0017-1-C-F1"	33661	49264	30875	17753	4877	107	113	0	0	0	0	0	0	0	0
"16S-C-F1-L2_e0017-2-C-F1"	18426	24929	16605	13492	672	62	125	0	0	0	0	0	0	0	0
"16S-C-F1-L3_e0017-3-C-F1"	26664	47213	34055	21468	4950	69	47	0	0	0	0	0	0	0	0
"16S-C-F10-L0_e0017-0-C-F10"	44025	66874	42842	19630	11055	201	167	44	0	0	0	0	0	0	0
"16S-C-F10-L1_e0017-1-C-F10"	38697	62776	43973	13499	9383	149	419	13	0	0	0	0	0	0	0
"16S-C-F10-L2_e0017-2-C-F10"	25022	40773	32001	18560	869	144	259	42	0	0	0	0	0	0	0
"16S-C-F10-L3_e0017-3-C-F10"	27118	38776	30133	18901	3956	82	46	5	0	0	0	0	0	0	0
"16S-C-F11-L0_e0017-0-C-F11"	53039	79541	51647	30577	12210	203	133	37	0	0	0	0	0	0	0
"16S-C-F11-L1_e0017-1-C-F11"	32304	58345	37891	15868	12285	133	175	9	0	0	0	0	0	0	0
"16S-C-F11-L2_e0017-2-C-F11"	19508	32076	25568	14909	804	103	214	23	0	0	0	0	0	0	0
"16S-C-F11-L3_e0017-3-C-F11"	27841	43357	34885	22691	3105	66	50	0	0	0	0	0	0	0	0
"16S-C-F12-L0_e0017-0-C-F12"	40958	55417	27785	22530	1431	185	57	0	0	0	0	0	0	0	0
"16S-C-F12-L1_e0017-1-C-F12"	31334	43484	32511	13873	10107	95	108	3	0	0	0	0	0	0	0
"16S-C-F12-L2_e0017-2-C-F12"	25094	37871	16453	8334	2411	125	50	0	0	0	0	0	0	0	0
"16S-C-F12-L3_e0017-3-C-F12"	20481	34566	26121	12808	2183	53	19	0	0	0	0	0	0	0	0
"16S-C-F2-L0_e0017-0-C-F2"	2955	4612	2591	3368	151	10	6	0	0	0	0	0	0	0	0
"16S-C-F2-L1_e0017-1-C-F2"	5067	7971	4895	2978	616	9	12	0	0	0	0	0	0	0	0
"16S-C-F2-L2_e0017-2-C-F2"	4424	4261	2829	2129	235	11	13	0	0	0	0	0	0	0	0
"16S-C-F2-L3_e0017-3-C-F2"	4767	6292	4550	3160	647	4	2	0	0	0	0	0	0	0	0
"16S-C-F3-L0_e0017-0-C-F3"	20104	37621	28107	12047	1387	66	109	30	0	0	0	0	0	0	0
"16S-C-F3-L1_e0017-1-C-F3"	23118	35513	22916	14445	4193	87	91	4	0	0	0	0	0	0	0
"16S-C-F3-L2_e0017-2-C-F3"	12794	19026	14014	10841	437	65	115	19	0	0	0	0	0	0	0
"16S-C-F3-L3_e0017-3-C-F3"	18159	26206	19795	14086	2916	31	16	0	0	0	0	0	0	0	0
"16S-C-F4-L0_e0017-0-C-F4"	32284	65350	38801	11816	2167	48	126	41	0	0	0	0	0	0	0
"16S-C-F4-L1_e0017-1-C-F4"	29171	47412	34066	16206	5284	107	170	26	0	0	0	0	0	0	0
"16S-C-F4-L2_e0017-2-C-F4"	15574	24941	18162	12454	572	82	85	25	0	0	0	0	0	0	0
"16S-C-F4-L3_e0017-3-C-F4"	29902	47804	32903	10526	2392	45	39	0	0	0	0	0	0	0	0
"16S-C-F5-L0_e0017-0-C-F5"	27999	59639	35320	11535	4265	31	140	48	0	0	0	0	0	0	0
"16S-C-F5-L1_e0017-1-C-F5"	26591	46641	28212	9076	5877	75	127	8	0	0	0	0	0	0	0
"16S-C-F5-L2_e0017-2-C-F5"	19276	27819	21317	12366	1074	63	113	7	0	0	0	0	0	0	0
"16S-C-F5-L3_e0017-3-C-F5"	38226	63184	48334	30377	4427	148	122	9	0	0	0	0	0	0	0
"16S-C-F6-L0_e0017-0-C-F6"	24537	54988	32052	11332	3520	54	146	23	0	0	0	0	0	0	0
"16S-C-F6-L1_e0017-1-C-F6"	22457	33666	30843	15601	4526	67	66	7	0	0	0	0	0	0	0
"16S-C-F6-L2_e0017-2-C-F6"	13989	23074	16943	9516	627	56	115	22	0	0	0	0	0	0	0
"16S-C-F6-L3_e0017-3-C-F6"	24519	35277	33886	22929	2270	77	85	9	0	0	0	0	0	0	0
"16S-C-F7-L0_e0017-0-C-F7"	31484	67687	40448	17036	4572	17	214	21	0	0	0	0	0	0	0
"16S-C-F7-L1_e0017-1-C-F7"	32284	48594	38265	21720	6191	116	175	7	0	0	0	0	0	0	0
"16S-C-F7-L2_e0017-2-C-F7"	20889	33927	24734	15617	833	102	170	23	0	0	0	0	0	0	0
"16S-C-F7-L3_e0017-3-C-F7"	26198	45995	34232	21121	4515	106	97	0	0	0	0	0	0	0	0
"16S-C-F8-L0_e0017-0-C-F8"	28722	62104	32593	10255	4854	29	166	26	0	0	0	0	0	0	0
"16S-C-F8-L1_e0017-1-C-F8"	31600	53132	39530	13843	6266	136	109	12	0	0	0	0	0	0	0
"16S-C-F8-L2_e0017-2-C-F8"	21362	36383	27145	19183	836	123	208	46	0	0	0	0	0	0	0
"16S-C-F8-L3_e0017-3-C-F8"	29287	36157	25611	14909	2856	108	76	0	0	0	0	0	0	0	0
"16S-C-F9-L0_e0017-0-C-F9"	30755	62308	36434	12177	6365	53	273	14	0	0	0	0	0	0	0
"16S-C-F9-L1_e0017-1-C-F9"	30060	38580	25944	15448	5026	120	151	6	0	0	0	0	0	0	0
"16S-C-F9-L2_e0017-2-C-F9"	24641	45485	37042	24032	815	179	349	32	0	0	0	0	0	0	0
"16S-C-F9-L3_e0017-3-C-F9"	30283	43351	31524	23685	1848	123	105	6	0	0	0	0	0	0	0
"16S-C-G1-L0_e0017-0-C-G1"	36635	44838	29085	20643	1080	197	51	9	0	0	0	0	0	0	0
"16S-C-G1-L1_e0017-1-C-G1"	39449	46670	25204	22383	7112	156	236	4	0	0	0	0	0	0	0
"16S-C-G1-L2_e0017-2-C-G1"	15431	29332	14294	25147	543	113	78	3	0	0	0	0	0	0	0
"16S-C-G1-L3_e0017-3-C-G1"	19592	23911	12935	18397	3493	56	12	0	0	0	0	0	0	0	0
"16S-C-G10-L0_e0017-0-C-G10"	31727	48304	25899	9581	4780	67	30	0	0	0	0	0	0	0	0
"16S-C-G10-L1_e0017-1-C-G10"	28730	51146	21500	14069	3337	107	124	0	0	0	0	0	0	0	0
"16S-C-G10-L2_e0017-2-C-G10"	13111	18108	12108	8839	768	96	273	0	0	0	0	0	0	0	0
"16S-C-G10-L3_e0017-3-C-G10"	28961	28403	14039	18325	2686	131	96	0	0	0	0	0	0	0	0
"16S-C-G11-L0_e0017-0-C-G11"	22364	40184	21682	4693	4568	45	14	0	0	0	0	0	0	0	0
"16S-C-G11-L1_e0017-1-C-G11"	15903	28384	13856	10500	2319	7	79	0	0	0	0	0	0	0	0
"16S-C-G11-L2_e0017-2-C-G11"	10280	16809	11671	7153	546	65	143	0	0	0	0	0	0	0	0
"16S-C-G11-L3_e0017-3-C-G11"	13124	18424	14624	12827	688	54	9	0	0	0	0	0	0	0	0
"16S-C-G12-L0_e0017-0-C-G12"	29819	40745	24426	15956	1909	107	37	0	0	0	0	0	0	0	0
"16S-C-G12-L1_e0017-1-C-G12"	22746	33125	20529	9030	1996	0	40	0	0	0	0	0	0	0	0
"16S-C-G12-L2_e0017-2-C-G12"	11417	21251	18875	11043	646	64	71	0	0	0	0	0	0	0	0
"16S-C-G12-L3_e0017-3-C-G12"	18232	26443	26355	13777	1053	0	10	0	0	0	0	0	0	0	0
"16S-C-G2-L0_e0017-0-C-G2"	24360	54539	31275	33246	1087	341	159	0	0	0	0	0	0	0	0
"16S-C-G2-L1_e0017-1-C-G2"	48066	54259	32064	31817	7376	170	191	0	0	0	0	0	0	0	0
"16S-C-G2-L2_e0017-2-C-G2"	28386	34632	15240	20868	671	122	105	0	0	0	0	0	0	0	0
"16S-C-G2-L3_e0017-3-C-G2"	32820	33096	17330	19328	5152	64	32	4	0	0	0	0	0	0	0
"16S-C-G3-L0_e0017-0-C-G3"	35932	44710	25622	21580	8913	176	208	16	0	0	0	0	0	0	0
"16S-C-G3-L1_e0017-1-C-G3"	39027	49216	26740	29508	7101	177	205	0	0	0	0	0	0	0	0
"16S-C-G3-L2_e0017-2-C-G3"	17507	26176	12908	20575	1807	79	108	4	0	0	0	0	0	0	0
"16S-C-G3-L3_e0017-3-C-G3"	31953	39820	21847	24703	3602	146	46	11	0	0	0	0	0	0	0
"16S-C-G4-L0_e0017-0-C-G4"	27991	48773	21976	14195	5274	79	12	0	0	0	0	0	0	0	0
"16S-C-G4-L1_e0017-1-C-G4"	29309	42165	20367	15286	3987	112	247	0	0	0	0	0	0	0	0
"16S-C-G4-L2_e0017-2-C-G4"	15048	21015	12033	17304	2000	58	90	0	0	0	0	0	0	0	0
"16S-C-G4-L3_e0017-3-C-G4"	28746	32328	17078	20214	3454	119	59	4	0	0	0	0	0	0	0
"16S-C-G5-L0_e0017-0-C-G5"	40813	93359	38415	18887	6672	93	326	4	0	0	0	0	0	0	0
"16S-C-G5-L1_e0017-1-C-G5"	89067	130296	62605	38529	11329	332	562	0	0	0	0	0	0	0	0
"16S-C-G5-L2_e0017-2-C-G5"	14759	24319	18801	18643	682	89	202	0	0	0	0	0	0	0	0
"16S-C-G5-L3_e0017-3-C-G5"	20565	32022	17613	19088	3518	91	81	0	0	0	0	0	0	0	0
"16S-C-G6-L0_e0017-0-C-G6"	40517	61282	29102	14327	4522	117	197	4	0	0	0	0	0	0	0
"16S-C-G6-L1_e0017-1-C-G6"	56781	91077	39208	24507	5031	146	272	0	0	0	0	0	0	0	0
"16S-C-G6-L2_e0017-2-C-G6"	20377	27491	16002	16278	838	107	133	0	0	0	0	0	0	0	0
"16S-C-G6-L3_e0017-3-C-G6"	35487	37625	20998	26407	2680	137	106	8	0	0	0	0	0	0	0
"16S-C-G7-L0_e0017-0-C-G7"	36663	49055	23774	18214	6058	136	171	6	0	0	0	0	0	0	0
"16S-C-G7-L1_e0017-1-C-G7"	67954	70450	33695	23917	7127	187	198	0	0	0	0	0	0	0	0
"16S-C-G7-L2_e0017-2-C-G7"	20238	23671	13027	9928	831	81	159	0	0	0	0	0	0	0	0
"16S-C-G7-L3_e0017-3-C-G7"	33405	36731	18821	17971	3406	142	166	0	0	0	0	0	0	0	0
"16S-C-G8-L0_e0017-0-C-G8"	21458	48448	29113	19028	2917	101	196	6	0	0	0	0	0	0	0
"16S-C-G8-L1_e0017-1-C-G8"	33737	43316	19713	11106	3862	79	90	0	0	0	0	0	0	0	0
"16S-C-G8-L2_e0017-2-C-G8"	14745	28663	21197	12430	855	91	394	0	0	0	0	0	0	0	0
"16S-C-G8-L3_e0017-3-C-G8"	29569	26677	13695	14441	2391	92	47	0	9	0	0	0	0	0	0
"16S-C-G9-L0_e0017-0-C-G9"	52824	68165	37267	26835	7690	216	242	0	0	0	0	0	0	0	0
"16S-C-G9-L1_e0017-1-C-G9"	74569	88580	41773	27285	7474	168	229	0	0	0	0	0	0	0	0
"16S-C-G9-L2_e0017-2-C-G9"	24432	36957	29658	21748	1768	140	251	7	0	0	0	0	0	0	0
"16S-C-G9-L3_e0017-3-C-G9"	26999	36642	18302	19524	5399	101	38	0	0	0	0	0	0	0	0
"16S-C-H1-L0_e0017-0-C-H1"	10	13	19	16	9	0	0	0	0	0	0	0	0	0	0
"16S-C-H1-L1_e0017-1-C-H1"	9667	17544	12041	8297	1306	125	72	0	0	0	27	0	0	0	0
"16S-C-H1-L2_e0017-2-C-H1"	135	176	262	292	0	0	0	0	0	0	0	0	0	0	0
"16S-C-H10-L0_e0017-0-C-H10"	32030	50021	36048	28334	1715	240	36	9	0	0	0	0	0	0	0
"16S-C-H10-L1_e0017-1-C-H10"	48787	49917	33028	23722	4360	189	53	0	0	0	0	0	0	0	0
"16S-C-H10-L2_e0017-2-C-H10"	21422	28563	19244	15006	770	80	75	0	0	0	0	0	0	0	0
"16S-C-H10-L3_e0017-3-C-H10"	40839	40710	22458	14244	1722	66	10	0	0	0	0	0	0	0	0
"16S-C-H11-L0_e0017-0-C-H11"	34503	48488	44553	24557	1060	192	63	7	0	0	0	0	0	0	0
"16S-C-H11-L1_e0017-1-C-H11"	45881	43921	44437	27435	2288	134	55	9	0	0	0	0	0	0	0
"16S-C-H11-L2_e0017-2-C-H11"	21845	26679	14542	12502	754	84	47	0	0	0	0	0	0	0	0
"16S-C-H11-L3_e0017-3-C-H11"	44351	42983	30297	21300	1481	39	0	0	0	0	0	0	0	0	0
"16S-C-H12-L0_e0017-0-C-H12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-H12-L1_e0017-1-C-H12"	40209	56916	51955	30529	4149	80	36	16	0	0	0	10	0	0	0
"16S-C-H12-L2_e0017-2-C-H12"	4954	7001	6305	5266	230	28	8	0	0	10	0	0	6	4	0
"16S-C-H12-L3_e0017-3-C-H12"	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"16S-C-H2-L0_e0017-0-C-H2"	48268	65316	21204	22703	2021	219	26	0	704	0	0	0	0	0	0
"16S-C-H2-L1_e0017-1-C-H2"	45745	45329	31231	24656	1530	118	132	0	0	0	0	0	0	0	0
"16S-C-H2-L2_e0017-2-C-H2"	27279	30081	12246	24910	1471	114	38	0	426	0	0	0	0	0	0
"16S-C-H2-L3_e0017-3-C-H2"	31593	30267	17061	13073	926	99	13	0	0	0	0	0	0	0	0
"16S-C-H3-L0_e0017-0-C-H3"	37167	55207	34158	41440	1630	267	95	18	0	0	0	0	0	0	0
"16S-C-H3-L1_e0017-1-C-H3"	45733	48121	35014	30230	5261	218	116	9	0	0	0	0	0	0	0
"16S-C-H3-L2_e0017-2-C-H3"	34720	35549	18936	21158	850	113	53	0	3	0	0	0	0	0	0
"16S-C-H3-L3_e0017-3-C-H3"	36450	39380	28389	39579	1943	134	26	5	0	0	0	0	0	0	0
"16S-C-H4-L0_e0017-0-C-H4"	33588	51852	32071	24326	3006	170	121	7	0	0	0	0	0	0	0
"16S-C-H4-L1_e0017-1-C-H4"	46029	40584	36984	34813	1135	218	63	17	0	0	0	0	0	0	0
"16S-C-H4-L2_e0017-2-C-H4"	19141	25016	15168	13034	3971	111	65	0	0	0	0	0	0	0	0
"16S-C-H4-L3_e0017-3-C-H4"	16213	17443	13308	14506	593	89	22	0	0	0	0	0	0	0	0
"16S-C-H5-L0_e0017-0-C-H5"	25047	46168	40762	25350	990	304	118	27	0	0	0	0	0	0	0
"16S-C-H5-L1_e0017-1-C-H5"	83461	78088	70923	70034	3225	334	129	26	0	0	0	0	0	0	0
"16S-C-H5-L2_e0017-2-C-H5"	20372	19933	12320	8545	473	65	70	0	0	0	0	0	0	0	0
"16S-C-H5-L3_e0017-3-C-H5"	65030	100036	66801	68103	3977	357	163	14	0	0	0	0	0	0	0
"16S-C-H6-L0_e0017-0-C-H6"	37750	68614	50508	38955	1519	247	131	27	0	0	0	0	0	0	0
"16S-C-H6-L1_e0017-1-C-H6"	67609	62242	48954	37371	2552	289	92	12	0	0	0	0	0	0	0
"16S-C-H6-L2_e0017-2-C-H6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-H6-L3_e0017-3-C-H6"	42665	42268	23089	23696	1655	181	17	9	0	0	0	0	0	0	0
"16S-C-H7-L0_e0017-0-C-H7"	43233	73492	63947	57571	1645	397	116	46	0	0	0	0	0	0	0
"16S-C-H7-L1_e0017-1-C-H7"	63261	54131	35287	25039	2285	237	36	8	0	0	0	0	0	0	0
"16S-C-H7-L2_e0017-2-C-H7"	24709	25430	17526	10018	623	117	63	0	0	0	0	0	0	0	0
"16S-C-H7-L3_e0017-3-C-H7"	42295	43124	26271	18465	2036	150	8	0	0	0	0	0	0	0	0
"16S-C-H8-L0_e0017-0-C-H8"	30848	53024	29493	6773	1898	120	17	0	0	0	0	0	0	0	0
"16S-C-H8-L1_e0017-1-C-H8"	42853	38135	28615	16365	1726	157	43	8	0	0	0	0	0	0	0
"16S-C-H8-L2_e0017-2-C-H8"	24644	30795	16755	13303	617	163	101	9	0	0	0	0	0	0	0
"16S-C-H8-L3_e0017-3-C-H8"	37783	31330	22125	18648	1308	153	21	0	0	0	0	0	0	0	0
"16S-C-H9-L0_e0017-0-C-H9"	33630	66407	32750	8276	2054	150	20	0	0	0	0	0	0	0	0
"16S-C-H9-L1_e0017-1-C-H9"	45502	39167	32473	22850	1431	196	48	0	0	0	0	0	0	0	0
"16S-C-H9-L2_e0017-2-C-H9"	10346	15629	15224	9823	390	42	36	0	0	0	0	0	0	0	0
"16S-C-H9-L3_e0017-3-C-H9"	35141	29802	24999	19127	1231	101	18	4	0	0	0	0	0	0	0
"16S-D-A1-L1_e0017-1-D-A1"	1855	5882	2528	1026	32	0	95	35	0	0	0	0	0	0	0
"16S-D-A10-L1_e0017-1-D-A10"	33818	51446	39951	18997	684	77	517	57	0	0	0	0	0	0	0
"16S-D-A11-L1_e0017-1-D-A11"	31139	43860	33562	17766	618	48	280	25	0	0	0	0	0	0	0
"16S-D-A12-L1_e0017-1-D-A12"	150	63	33	15	0	0	0	0	0	0	0	0	0	0	0
"16S-D-A2-L1_e0017-1-D-A2"	28195	45340	30177	56289	547	167	126	10	0	0	0	0	0	0	0
"16S-D-A3-L1_e0017-1-D-A3"	48973	46902	35815	36102	739	110	399	34	0	0	0	0	0	0	0
"16S-D-A4-L1_e0017-1-D-A4"	35415	62363	43553	27940	937	196	1108	41	0	0	0	0	0	0	0
"16S-D-A5-L1_e0017-1-D-A5"	52092	60626	40487	23872	1029	137	473	43	0	0	0	0	0	0	0
"16S-D-A6-L1_e0017-1-D-A6"	32048	51562	37921	27256	1405	137	436	29	0	0	0	0	0	0	0
"16S-D-A7-L1_e0017-1-D-A7"	28771	57905	37806	26955	665	89	345	35	0	0	0	0	0	0	0
"16S-D-A8-L1_e0017-1-D-A8"	34158	53846	39548	25048	722	139	418	65	0	0	0	0	0	0	0
"16S-D-A9-L1_e0017-1-D-A9"	45902	49171	37824	15525	808	131	481	56	0	0	0	0	0	0	0
"16S-D-B1-L1_e0017-1-D-B1"	20601	55862	46139	41750	708	97	58	0	0	0	0	0	0	0	0
"16S-D-B10-L1_e0017-1-D-B10"	16264	66883	44247	21675	1433	0	372	0	0	0	0	0	0	0	0
"16S-D-B11-L1_e0017-1-D-B11"	27468	61462	52080	23505	982	14	255	26	2	0	0	0	0	0	0
"16S-D-B12-L1_e0017-1-D-B12"	18577	55710	37681	16210	383	0	220	0	0	0	0	0	0	0	0
"16S-D-B2-L1_e0017-1-D-B2"	32467	50530	38560	32256	576	112	143	4	0	0	0	0	0	0	0
"16S-D-B3-L1_e0017-1-D-B3"	38229	52828	37155	31901	893	0	125	8	0	0	0	0	0	0	0
"16S-D-B4-L1_e0017-1-D-B4"	36558	67498	44146	34252	686	146	204	10	0	0	0	0	0	0	0
"16S-D-B5-L1_e0017-1-D-B5"	37925	55818	44456	10978	761	0	147	11	0	0	0	0	0	0	0
"16S-D-B6-L1_e0017-1-D-B6"	50029	66461	44735	22988	880	10	57	0	0	0	0	0	0	0	0
"16S-D-B7-L1_e0017-1-D-B7"	29344	51361	42339	21817	775	0	155	0	0	0	0	0	0	0	0
"16S-D-B8-L1_e0017-1-D-B8"	38312	47042	35825	15454	540	84	147	5	0	0	0	0	0	0	0
"16S-D-B9-L1_e0017-1-D-B9"	24407	51897	42078	19337	539	0	195	0	0	0	0	0	0	0	0
"16S-D-C1-L1_e0017-1-D-C1"	41284	46388	30830	68984	3847	135	502	5	0	0	0	0	0	0	0
"16S-D-C10-L1_e0017-1-D-C10"	56045	50265	30441	18839	3950	221	657	0	0	0	0	0	0	0	0
"16S-D-C11-L1_e0017-1-D-C11"	55691	50848	33215	7726	2274	66	66	0	0	0	0	0	0	0	0
"16S-D-C12-L1_e0017-1-D-C12"	61244	57516	31187	14590	2190	0	759	0	0	0	0	0	0	0	0
"16S-D-C2-L1_e0017-1-D-C2"	42156	44060	30679	64174	2442	104	500	5	0	0	0	0	0	0	0
"16S-D-C3-L1_e0017-1-D-C3"	35240	37798	33185	45454	2677	167	468	10	0	0	0	0	0	0	0
"16S-D-C4-L1_e0017-1-D-C4"	23266	25191	17615	50732	1424	77	289	9	0	0	0	0	0	0	0
"16S-D-C5-L1_e0017-1-D-C5"	27211	28192	17555	50512	2183	81	170	5	0	0	0	0	0	0	0
"16S-D-C6-L1_e0017-1-D-C6"	30163	27622	16134	24750	1662	105	149	4	0	0	0	0	0	0	0
"16S-D-C7-L1_e0017-1-D-C7"	54318	46680	34309	17520	2329	89	106	0	0	0	0	0	0	0	0
"16S-D-C8-L1_e0017-1-D-C8"	52266	43180	37370	7182	1786	157	457	0	0	0	0	0	0	0	0
"16S-D-C9-L1_e0017-1-D-C9"	67889	66277	42964	8072	2215	87	148	0	0	0	0	0	0	0	0
"16S-D-D1-L1_e0017-1-D-D1"	45135	50014	18925	30142	968	204	134	0	0	0	0	0	0	0	0
"16S-D-D10-L1_e0017-1-D-D10"	34190	39339	21038	35084	634	156	141	0	25	0	0	0	0	0	0
"16S-D-D11-L1_e0017-1-D-D11"	46803	55911	19255	39234	1365	369	40	0	646	0	0	0	0	0	0
"16S-D-D12-L1_e0017-1-D-D12"	37784	49022	18823	31570	1274	186	49	0	0	0	0	0	0	0	0
"16S-D-D2-L1_e0017-1-D-D2"	52684	44563	28545	25128	1254	197	150	0	0	0	0	0	0	0	0
"16S-D-D3-L1_e0017-1-D-D3"	53699	50786	18869	46850	1671	477	272	0	166	0	0	0	0	0	0
"16S-D-D4-L1_e0017-1-D-D4"	46648	67849	35788	42254	1273	395	306	0	0	0	0	0	0	0	0
"16S-D-D5-L1_e0017-1-D-D5"	34906	43491	22887	22629	983	237	198	0	0	0	0	0	0	0	0
"16S-D-D6-L1_e0017-1-D-D6"	36629	40077	23520	35938	989	260	249	0	0	0	0	0	0	0	0
"16S-D-D7-L1_e0017-1-D-D7"	35433	38749	18164	43633	1106	280	127	0	0	0	0	0	0	0	0
"16S-D-D8-L1_e0017-1-D-D8"	43977	52656	15776	38531	1413	367	23	0	0	0	0	0	0	0	0
"16S-D-D9-L1_e0017-1-D-D9"	46282	50541	20501	47401	1287	346	173	0	4	0	0	0	0	0	0
"16S-D-E1-L1_e0017-1-D-E1"	19596	30622	31621	17750	504	88	29	0	0	0	0	0	0	0	0
"16S-D-E10-L1_e0017-1-D-E10"	18402	50187	49107	21615	588	123	231	10	0	0	0	0	0	0	0
"16S-D-E11-L1_e0017-1-D-E11"	35160	44683	33853	16223	648	5	143	19	0	0	0	0	0	0	0
"16S-D-E2-L1_e0017-1-D-E2"	24447	47433	41239	10029	1086	143	16	21	0	0	0	0	0	0	0
"16S-D-E3-L1_e0017-1-D-E3"	36874	35673	34056	29299	688	160	67	44	0	0	0	0	0	0	0
"16S-D-E4-L1_e0017-1-D-E4"	47066	47349	40854	16232	786	232	97	66	0	0	0	0	0	0	0
"16S-D-E5-L1_e0017-1-D-E5"	47288	62928	56116	22280	1110	315	114	53	0	0	0	0	0	0	0
