"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Firmicutes;Bacilli"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Cyanobacteria;Cyanobacteriia"	"Bacteria;Cyanobacteria;Vampirivibrionia"	"Bacteria;Actinobacteriota;Acidimicrobiia"	"Bacteria;Planctomycetota;Phycisphaerae"	"Bacteria;Fusobacteriota;Fusobacteriia"
"16S-C-B1-L0_e0017-0-C-B1"	31987	56625	30736	19400	3238	199	84	22	0	0	0	0	0	0	0
"16S-C-B1-L1_e0017-1-C-B1"	26544	53743	37684	16253	1884	0	21	5	0	0	0	0	0	0	0
"16S-C-B1-L2_e0017-2-C-B1"	11413	23129	17305	21529	495	77	86	10	0	0	0	0	0	0	0
"16S-C-B1-L3_e0017-3-C-B1"	10429	25119	18915	19810	288	17	25	0	0	0	0	0	0	0	0
"16S-C-B10-L0_e0017-0-C-B10"	17805	32007	20613	12692	3316	7	37	0	0	0	0	0	0	0	0
"16S-C-B10-L1_e0017-1-C-B10"	12654	21380	16958	12487	1552	0	63	0	0	0	0	0	0	0	0
"16S-C-B10-L2_e0017-2-C-B10"	7152	13100	8987	8202	858	0	24	0	0	0	0	0	0	0	0
"16S-C-B10-L3_e0017-3-C-B10"	12969	29839	17868	11031	1456	0	101	0	0	0	0	0	0	0	0
"16S-C-B11-L0_e0017-0-C-B11"	42805	70742	50722	26424	1749	266	126	15	0	0	0	0	0	0	0
"16S-C-B11-L1_e0017-1-C-B11"	53694	76407	56544	19315	4668	0	77	0	0	0	0	0	0	0	0
"16S-C-B11-L2_e0017-2-C-B11"	27017	47806	28399	13854	1100	129	269	11	0	0	0	0	0	0	0
"16S-C-B11-L3_e0017-3-C-B11"	42951	58407	48183	29350	1439	8	90	8	0	0	0	0	0	0	0
"16S-C-B12-L0_e0017-0-C-B12"	33534	76190	40706	14821	780	86	209	36	0	0	0	0	0	0	0
