"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales"	"Bacteria;Firmicutes;Clostridia;Lachnospirales"	"Bacteria;Firmicutes;Bacilli;Lactobacillales"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales"	"Bacteria;Firmicutes;Clostridia;Oscillospirales"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales"	"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales"	"Bacteria;Firmicutes;Clostridia;Eubacteriales"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales"	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales"	"Bacteria;Firmicutes;Clostridia;Christensenellales"	"Bacteria;Firmicutes;Clostridia;Clostridiales"	"Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales"	"Bacteria;Firmicutes;Bacilli;Bacillales"	"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast"	"Bacteria;Firmicutes;Bacilli;Staphylococcales"	"Bacteria;Firmicutes;Bacilli;Thermicanales"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales"	"Bacteria;Firmicutes;Bacilli;Thermoactinomycetales"	"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales"	"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales"	"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154"	"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales"	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales"
"16S-C-B6-L0_e0017-0-C-B6"	31038	75664	13446	23928	7352	11659	7820	6281	1317	288	81	102	38	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B6-L1_e0017-1-C-B6"	24585	34004	15991	8525	15010	7668	30	7362	1252	0	146	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B6-L2_e0017-2-C-B6"	6478	24861	6555	6890	15924	1958	7024	3391	503	35	244	31	44	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B6-L3_e0017-3-C-B6"	31381	46742	11448	15881	9361	10852	5236	7909	1108	46	132	4	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B7-L0_e0017-0-C-B7"	25305	56497	13630	14983	11231	8265	5445	5143	1077	0	170	99	37	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B7-L1_e0017-1-C-B7"	32193	61100	16296	20876	6122	11527	10	2806	2326	0	44	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B7-L2_e0017-2-C-B7"	7318	27171	7504	6196	15365	1889	7238	4557	537	6	397	82	44	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B7-L3_e0017-3-C-B7"	26166	39793	12584	16701	9493	10090	1658	3289	1085	4	175	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B8-L0_e0017-0-C-B8"	28920	59248	12788	20304	13966	11880	4579	5058	1283	0	212	123	88	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B8-L1_e0017-1-C-B8"	31301	52684	18448	16521	18279	9499	7718	3596	1582	14	433	24	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B8-L2_e0017-2-C-B8"	7123	25158	4648	7220	12314	2724	5728	2636	392	0	246	60	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B8-L3_e0017-3-C-B8"	22485	40239	11810	14636	5445	12055	6384	3214	1042	0	208	49	48	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B9-L0_e0017-0-C-B9"	14749	43523	9909	14872	5713	12662	7693	6242	1037	1659	67	0	93	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B9-L1_e0017-1-C-B9"	17390	29595	8567	8380	8459	4904	0	5540	770	0	79	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B9-L2_e0017-2-C-B9"	3922	14184	3112	3706	5450	1282	3736	2423	322	599	85	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B9-L3_e0017-3-C-B9"	20566	31853	8039	11086	2687	9639	101	6501	563	0	98	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C1-L0_e0017-0-C-C1"	22557	49388	6985	12492	15394	6563	10931	7076	1126	3496	17	111	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C1-L1_e0017-1-C-C1"	25378	45894	4142	11433	40129	1389	11103	3417	1334	7179	451	142	225	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C1-L2_e0017-2-C-C1"	2854	19606	6701	5019	19426	1128	11413	5462	435	352	377	68	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C1-L3_e0017-3-C-C1"	21325	32450	4598	12328	25562	1787	6040	3281	1253	2683	858	74	44	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C10-L0_e0017-0-C-C10"	4854	8414	552	2325	1174	759	1517	882	193	322	0	16	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C10-L1_e0017-1-C-C10"	4445	5019	357	1720	1131	569	923	500	159	282	17	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C10-L2_e0017-2-C-C10"	2044	2867	293	1107	105	470	824	206	64	18	4	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C10-L3_e0017-3-C-C10"	4007	6139	312	2382	717	658	1092	568	207	391	37	27	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C11-L0_e0017-0-C-C11"	43983	62803	3821	17367	12087	8506	14210	6433	1989	4133	14	342	353	12	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C11-L1_e0017-1-C-C11"	39311	48365	2930	14792	8105	6280	8233	4202	1862	2203	299	130	222	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C11-L2_e0017-2-C-C11"	22183	27922	1690	8069	741	2473	5458	3314	873	667	11	112	238	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C11-L3_e0017-3-C-C11"	40955	44837	4045	13847	226	6486	8389	2978	1749	962	77	119	94	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"16S-C-C12-L0_e0017-0-C-C12"	11632	75849	10619	25200	465	18518	25903	8398	1671	1598	44	177	359	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C12-L1_e0017-1-C-C12"	50604	47802	3330	15993	12091	4319	7917	3560	1998	2542	95	130	199	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C12-L2_e0017-2-C-C12"	12813	30110	4826	10204	1111	4527	8341	5037	1086	0	42	80	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C12-L3_e0017-3-C-C12"	42884	53998	2824	17330	191	11379	8750	3578	1711	892	350	0	112	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C2-L0_e0017-0-C-C2"	29660	59297	20507	15288	6075	6328	1346	4500	1043	0	398	80	113	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C2-L1_e0017-1-C-C2"	29449	60095	5772	13607	32396	1627	10613	5741	2334	9256	1131	153	426	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C2-L2_e0017-2-C-C2"	14929	35063	11582	7236	14152	3241	8872	7068	745	0	177	116	140	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C2-L3_e0017-3-C-C2"	26825	36100	3883	13576	27257	2171	5958	2832	1504	1797	602	90	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C3-L0_e0017-0-C-C3"	25658	53237	4255	13014	14885	1949	10437	5709	2019	4963	42	277	423	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C3-L1_e0017-1-C-C3"	41224	67579	7025	14228	10229	2027	8709	5894	4540	5038	757	238	692	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C3-L2_e0017-2-C-C3"	9289	27702	7626	6881	14614	1398	8542	6926	860	1628	361	94	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C3-L3_e0017-3-C-C3"	25738	37454	11453	13888	19028	1694	5681	3504	1315	2475	1148	106	88	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C4-L0_e0017-0-C-C4"	43793	80893	3225	30157	7314	6497	12358	6384	2195	2679	49	332	537	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C4-L1_e0017-1-C-C4"	39040	72267	6227	16602	14465	2091	10033	5783	3589	7650	478	229	447	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C4-L2_e0017-2-C-C4"	11958	33102	6406	12451	16751	1973	9532	3029	884	1803	281	115	252	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C4-L3_e0017-3-C-C4"	35529	54242	4680	20147	46833	2295	11038	3907	2367	3053	1779	184	320	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C5-L0_e0017-0-C-C5"	22916	75967	6387	21308	2064	11249	13281	6082	2051	2018	33	127	633	21	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C5-L1_e0017-1-C-C5"	23578	37712	2187	11105	32981	1829	7909	2991	1459	6782	254	156	170	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C5-L2_e0017-2-C-C5"	9424	33392	10794	9136	3799	5263	11879	7349	702	1449	375	99	262	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C5-L3_e0017-3-C-C5"	27985	31862	2309	13021	28466	1067	4827	2730	1234	2156	1688	86	151	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C6-L0_e0017-0-C-C6"	30941	76803	2542	28925	2314	5236	11648	6600	1792	2120	22	273	413	21	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C6-L1_e0017-1-C-C6"	40011	57897	2821	14653	9550	6789	11002	4469	2875	2383	789	178	156	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C6-L2_e0017-2-C-C6"	11117	41417	12164	13853	5975	4488	9705	4276	939	256	488	113	163	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C6-L3_e0017-3-C-C6"	44267	53773	3041	15685	23872	2946	7651	4183	1953	1865	748	144	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C7-L0_e0017-0-C-C7"	30888	65705	3863	13450	1151	7512	9920	7210	1894	858	10	337	466	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C7-L1_e0017-1-C-C7"	24073	42551	3188	12451	9066	7737	9378	4462	1599	2967	157	135	201	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C7-L2_e0017-2-C-C7"	17811	27608	1777	8913	1103	2187	7513	3138	1025	583	242	111	385	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C7-L3_e0017-3-C-C7"	36931	39177	4206	15258	9223	3177	7038	2457	1546	1709	216	118	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C8-L0_e0017-0-C-C8"	29396	63187	2414	22051	2581	5162	8404	5290	1410	1816	6	198	402	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C8-L1_e0017-1-C-C8"	38767	52720	478	12372	2450	2646	5471	2115	3427	682	14	49	26	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C8-L2_e0017-2-C-C8"	3524	19776	5604	7905	2052	4528	5264	2889	319	282	38	65	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C8-L3_e0017-3-C-C8"	23740	23469	5380	9779	855	2651	5086	1899	969	535	90	53	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C9-L0_e0017-0-C-C9"	33504	82505	5295	17384	2327	9202	10391	9428	1662	2027	15	276	624	17	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C9-L1_e0017-1-C-C9"	61456	55389	2862	16435	5286	5173	9278	3890	2951	2038	66	162	163	4	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C9-L2_e0017-2-C-C9"	13692	21010	2096	9321	512	3087	5950	1961	682	159	38	78	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-C9-L3_e0017-3-C-C9"	44319	53294	3356	17185	4601	3955	8851	5492	1885	821	680	185	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D1-L0_e0017-0-C-D1"	23474	82825	14937	14277	10183	14888	5962	15820	1327	0	159	161	300	58	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D1-L1_e0017-1-C-D1"	48489	67569	0	17929	13877	2882	4566	3367	2707	0	380	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D1-L2_e0017-2-C-D1"	6561	26912	7086	5956	19307	2515	9789	5476	476	0	368	62	255	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D1-L3_e0017-3-C-D1"	29341	31043	107	7441	18467	2247	3044	1325	558	0	635	50	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D10-L0_e0017-0-C-D10"	20825	47560	2464	16909	12790	7622	6917	3490	981	0	146	145	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D10-L1_e0017-1-C-D10"	52232	48718	0	16838	40025	2601	6234	1996	2155	0	1516	252	16	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D10-L2_e0017-2-C-D10"	12348	40934	10957	12238	15846	1732	8091	3375	851	0	426	191	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D10-L3_e0017-3-C-D10"	40019	40848	1412	12950	32104	3299	5719	1237	1468	0	1217	138	21	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D11-L0_e0017-0-C-D11"	33467	71997	46	31505	12649	10817	8429	4059	1748	82	83	212	77	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D11-L1_e0017-1-C-D11"	43351	38221	0	11733	31943	2942	3350	1178	1757	0	1446	252	16	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D11-L2_e0017-2-C-D11"	12539	26544	4643	9976	17392	1088	4115	2187	590	0	732	145	90	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D11-L3_e0017-3-C-D11"	57596	58631	0	15160	5851	3889	5412	592	2158	0	493	139	9	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D12-L0_e0017-0-C-D12"	32890	54729	511	25557	24079	2018	12778	3218	1519	3077	1139	203	136	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D12-L1_e0017-1-C-D12"	42203	51638	0	17772	28294	4494	6195	2866	2013	0	1009	278	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D12-L2_e0017-2-C-D12"	7755	24614	7524	9718	19622	1061	9461	2438	862	112	1170	119	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D12-L3_e0017-3-C-D12"	40943	44797	0	12318	29683	6456	4937	2572	1767	0	1436	176	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D2-L0_e0017-0-C-D2"	17687	31587	1111	8756	1145	17956	2516	3477	134	2381	65	104	354	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D2-L1_e0017-1-C-D2"	62714	62496	0	12784	23920	2537	4379	3290	3002	0	850	176	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D2-L2_e0017-2-C-D2"	14226	31257	5271	8577	1334	8855	7247	3518	643	109	79	77	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D2-L3_e0017-3-C-D2"	41036	43662	1824	17649	18891	4311	8417	2164	1380	0	525	116	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D3-L0_e0017-0-C-D3"	30809	64221	95	28014	17605	14565	10450	5924	1991	11	281	280	402	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D3-L1_e0017-1-C-D3"	46062	44689	0	19645	31916	2361	6205	2188	1673	0	871	289	112	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D3-L2_e0017-2-C-D3"	13861	28897	2629	11844	8964	3990	8084	3108	582	10	168	103	168	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D3-L3_e0017-3-C-D3"	37473	47277	38	13175	37044	1296	6042	918	1077	6	1603	239	77	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D4-L0_e0017-0-C-D4"	29796	78988	136	31418	12950	14006	8342	6153	2325	7	294	237	317	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D4-L1_e0017-1-C-D4"	42589	47148	18	20150	23126	3551	4445	2573	1695	0	815	253	124	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D4-L2_e0017-2-C-D4"	11041	24643	1624	9495	15383	1555	4530	3607	436	6	402	109	99	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D4-L3_e0017-3-C-D4"	42343	58148	119	22987	34354	3908	3001	2181	1790	6	1009	220	81	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D5-L0_e0017-0-C-D5"	12949	37141	3164	14371	4403	5459	4149	3133	926	382	19	73	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D5-L1_e0017-1-C-D5"	12782	14253	5	6443	6873	1841	1719	870	505	0	259	58	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D5-L2_e0017-2-C-D5"	2905	12127	2879	4317	4440	1079	2782	1833	211	166	164	41	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D5-L3_e0017-3-C-D5"	8817	11995	417	5313	6068	1054	1847	644	307	7	120	45	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D6-L0_e0017-0-C-D6"	31920	60930	456	24272	5196	7893	7194	4657	1877	0	81	132	239	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D6-L1_e0017-1-C-D6"	36937	39913	152	19414	18223	4060	7004	2465	1567	0	205	244	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D6-L2_e0017-2-C-D6"	11248	29312	4462	12047	7443	2968	6181	1844	614	0	307	125	147	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D6-L3_e0017-3-C-D6"	35202	39383	1284	16138	25249	3191	3597	1785	1360	0	491	170	69	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D7-L0_e0017-0-C-D7"	12818	47141	5389	16644	7118	8049	6132	5795	1077	51	39	66	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D7-L1_e0017-1-C-D7"	43149	53675	0	21525	23209	4320	10581	2303	2615	0	149	206	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D7-L2_e0017-2-C-D7"	5071	30184	16076	7658	4499	2806	8003	10740	470	0	853	174	202	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D7-L3_e0017-3-C-D7"	41511	42725	32	15936	39766	3436	3446	1967	1569	0	286	246	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D8-L0_e0017-0-C-D8"	16598	71476	7059	20355	6947	10289	9427	6846	1336	55	81	107	323	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D8-L1_e0017-1-C-D8"	34514	41578	3	13718	21837	3144	3678	1790	2024	0	675	147	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D8-L2_e0017-2-C-D8"	3927	27630	6364	7865	7173	1480	6425	4522	562	0	233	78	116	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D8-L3_e0017-3-C-D8"	37803	47185	55	11611	37470	1491	3243	584	1493	0	1482	211	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D9-L0_e0017-0-C-D9"	26983	51097	16	20421	10251	6592	3822	3546	1070	0	162	135	216	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D9-L1_e0017-1-C-D9"	33248	42777	4	11427	21325	2235	3606	2421	1948	0	1133	168	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D9-L2_e0017-2-C-D9"	13011	28421	1328	10468	18928	1347	3956	2049	687	0	636	166	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-D9-L3_e0017-3-C-D9"	42964	42090	13	12384	33964	3297	3742	1855	795	0	1816	255	108	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E1-L0_e0017-0-C-E1"	20765	55018	25337	14755	19713	9700	3049	5622	1524	25	413	108	83	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E1-L1_e0017-1-C-E1"	35056	47538	14734	14598	2116	16132	13	7780	1311	55	142	160	45	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E1-L2_e0017-2-C-E1"	11837	32936	6904	7029	8086	4377	10295	4694	789	5	129	57	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E1-L3_e0017-3-C-E1"	27600	36368	12855	12252	6968	13521	2272	6925	1032	0	332	74	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E10-L0_e0017-0-C-E10"	24958	48408	22515	11492	8460	17081	6565	6769	939	296	62	214	38	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E10-L1_e0017-1-C-E10"	34137	48921	28664	9937	5489	8850	0	3794	1847	0	360	116	106	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E10-L2_e0017-2-C-E10"	13092	33046	8552	9684	10467	5952	7937	5874	598	187	193	98	64	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
