sample reads.in reads.out
16S-C-B9-L3_e0017-3-C-B9.fastq.gz 136318 130223
16S-C-C1-L0_e0017-0-C-C1.fastq.gz 228750 214850
16S-C-C1-L1_e0017-1-C-C1.fastq.gz 265582 247893
16S-C-C1-L2_e0017-2-C-C1.fastq.gz 133689 124606
16S-C-C1-L3_e0017-3-C-C1.fastq.gz 147278 138524
16S-C-C10-L0_e0017-0-C-C10.fastq.gz 31381 29799
16S-C-C10-L1_e0017-1-C-C10.fastq.gz 24231 22964
16S-C-C10-L2_e0017-2-C-C10.fastq.gz 13547 12976
16S-C-C10-L3_e0017-3-C-C10.fastq.gz 21376 20381
16S-C-C11-L0_e0017-0-C-C11.fastq.gz 284388 267033
16S-C-C11-L1_e0017-1-C-C11.fastq.gz 230472 215954
16S-C-C11-L2_e0017-2-C-C11.fastq.gz 130648 122139
16S-C-C11-L3_e0017-3-C-C11.fastq.gz 182146 172722
16S-C-C12-L0_e0017-0-C-C12.fastq.gz 305317 290041
16S-C-C12-L1_e0017-1-C-C12.fastq.gz 247058 233909
16S-C-C12-L2_e0017-2-C-C12.fastq.gz 130473 124595
16S-C-C12-L3_e0017-3-C-C12.fastq.gz 205869 195996
16S-C-C2-L0_e0017-0-C-C2.fastq.gz 242164 229693
16S-C-C2-L1_e0017-1-C-C2.fastq.gz 305377 288054
16S-C-C2-L2_e0017-2-C-C2.fastq.gz 185516 176020
16S-C-C2-L3_e0017-3-C-C2.fastq.gz 188348 179092
16S-C-C3-L0_e0017-0-C-C3.fastq.gz 241108 228771
16S-C-C3-L1_e0017-1-C-C3.fastq.gz 275451 260770
16S-C-C3-L2_e0017-2-C-C3.fastq.gz 164207 156572
16S-C-C3-L3_e0017-3-C-C3.fastq.gz 183781 175059
16S-C-C4-L0_e0017-0-C-C4.fastq.gz 320956 307107
16S-C-C4-L1_e0017-1-C-C4.fastq.gz 308836 294985
16S-C-C4-L2_e0017-2-C-C4.fastq.gz 179034 172134
16S-C-C4-L3_e0017-3-C-C4.fastq.gz 263167 252637
16S-C-C5-L0_e0017-0-C-C5.fastq.gz 265405 250838
16S-C-C5-L1_e0017-1-C-C5.fastq.gz 221995 209384
16S-C-C5-L2_e0017-2-C-C5.fastq.gz 187586 177066
16S-C-C5-L3_e0017-3-C-C5.fastq.gz 173270 164310
16S-C-C6-L0_e0017-0-C-C6.fastq.gz 282577 270258
16S-C-C6-L1_e0017-1-C-C6.fastq.gz 275368 262424
16S-C-C6-L2_e0017-2-C-C6.fastq.gz 194404 186019
16S-C-C6-L3_e0017-3-C-C6.fastq.gz 233414 223801
16S-C-C7-L0_e0017-0-C-C7.fastq.gz 230885 218797
16S-C-C7-L1_e0017-1-C-C7.fastq.gz 215773 203554
16S-C-C7-L2_e0017-2-C-C7.fastq.gz 140824 132863
16S-C-C7-L3_e0017-3-C-C7.fastq.gz 184992 176068
16S-C-C8-L0_e0017-0-C-C8.fastq.gz 232003 220592
16S-C-C8-L1_e0017-1-C-C8.fastq.gz 188117 178505
16S-C-C8-L2_e0017-2-C-C8.fastq.gz 97553 93280
16S-C-C8-L3_e0017-3-C-C8.fastq.gz 99744 95116
16S-C-C9-L0_e0017-0-C-C9.fastq.gz 294319 277701
16S-C-C9-L1_e0017-1-C-C9.fastq.gz 284762 267158
16S-C-C9-L2_e0017-2-C-C9.fastq.gz 113838 107040
16S-C-C9-L3_e0017-3-C-C9.fastq.gz 191775 181286
16S-C-D1-L0_e0017-0-C-D1.fastq.gz 292681 280341
16S-C-D1-L1_e0017-1-C-D1.fastq.gz 257583 246820
16S-C-D1-L2_e0017-2-C-D1.fastq.gz 140550 135396
16S-C-D1-L3_e0017-3-C-D1.fastq.gz 131091 126112
