sample reads.in reads.out
16S-A-G8-L3_e0043-A-5-3-A-G8.fastq.gz 1234763 1121315
16S-A-G9-L3_e0043-A-5-3-A-G9.fastq.gz 1189337 1092860
16S-A-H1-L3_e0043-A-5-3-A-H1.fastq.gz 289 267
16S-A-H10-L3_e0043-A-5-3-A-H10.fastq.gz 1086787 989385
16S-A-H11-L3_e0043-A-5-3-A-H11.fastq.gz 205474 188314
16S-A-H12-L3_e0043-A-5-3-A-H12.fastq.gz 764115 714447
16S-A-H2-L3_e0043-A-5-3-A-H2.fastq.gz 1937 1840
16S-A-H3-L3_e0043-A-5-3-A-H3.fastq.gz 1453 1377
16S-A-H4-L3_e0043-A-5-3-A-H4.fastq.gz 404157 379624
16S-A-H5-L3_e0043-A-5-3-A-H5.fastq.gz 410942 386968
16S-A-H6-L3_e0043-A-5-3-A-H6.fastq.gz 561824 528273
16S-A-H7-L3_e0043-A-5-3-A-H7.fastq.gz 1479988 1355150
16S-A-H8-L3_e0043-A-5-3-A-H8.fastq.gz 1218056 1118442
16S-A-H9-L3_e0043-A-5-3-A-H9.fastq.gz 1318299 1202657
