sample reads.in reads.out
16S-A-A8-L5_e0050-A-3-5-A-A8.fastq.gz 18 17
16S-A-A8-L6_e0050-B-3-6-A-A8.fastq.gz 56 55
16S-A-A8-L7_e0050-8-7-A-A8.fastq.gz 10 1
16S-A-A9-L0_e0049-5-0-A-A9.fastq.gz 82 74
16S-A-A9-L1_e0049-8-1-A-A9.fastq.gz 0 0
16S-A-A9-L2_e0050-A-5-2-A-A9.fastq.gz 7 6
16S-A-A9-L3_e0050-B-5-3-A-A9.fastq.gz 11 7
16S-A-A9-L4_e0049-3-4-A-A9.fastq.gz 43 26
16S-A-A9-L5_e0050-A-3-5-A-A9.fastq.gz 0 0
16S-A-A9-L6_e0050-B-3-6-A-A9.fastq.gz 89 85
16S-A-A9-L7_e0050-8-7-A-A9.fastq.gz 2 0
16S-A-B1-L0_e0049-5-0-A-B1.fastq.gz 14213 13781
16S-A-B1-L1_e0049-8-1-A-B1.fastq.gz 12593 12270
16S-A-B1-L2_e0050-A-5-2-A-B1.fastq.gz 26009 25289
16S-A-B1-L3_e0050-B-5-3-A-B1.fastq.gz 32465 31599
16S-A-B1-L4_e0049-3-4-A-B1.fastq.gz 11235 10856
16S-A-B1-L5_e0050-A-3-5-A-B1.fastq.gz 21802 21262
16S-A-B1-L6_e0050-B-3-6-A-B1.fastq.gz 22047 21478
16S-A-B1-L7_e0050-8-7-A-B1.fastq.gz 13453 13100
16S-A-B10-L0_e0049-5-0-A-B10.fastq.gz 14074 13723
16S-A-B10-L1_e0049-8-1-A-B10.fastq.gz 1 1
16S-A-B10-L2_e0050-A-5-2-A-B10.fastq.gz 18223 17693
16S-A-B10-L3_e0050-B-5-3-A-B10.fastq.gz 16323 15830
16S-A-B10-L4_e0049-3-4-A-B10.fastq.gz 10164 9868
16S-A-B10-L5_e0050-A-3-5-A-B10.fastq.gz 8697 8469
16S-A-B10-L6_e0050-B-3-6-A-B10.fastq.gz 8628 8375
16S-A-B10-L7_e0050-8-7-A-B10.fastq.gz 12730 12358
16S-A-B11-L0_e0049-5-0-A-B11.fastq.gz 11116 10774
16S-A-B11-L1_e0049-8-1-A-B11.fastq.gz 0 0
16S-A-B11-L2_e0050-A-5-2-A-B11.fastq.gz 11602 11255
16S-A-B11-L3_e0050-B-5-3-A-B11.fastq.gz 10969 10657
16S-A-B11-L4_e0049-3-4-A-B11.fastq.gz 6747 6529
16S-A-B11-L5_e0050-A-3-5-A-B11.fastq.gz 4768 4631
16S-A-B11-L6_e0050-B-3-6-A-B11.fastq.gz 9603 9348
16S-A-B11-L7_e0050-8-7-A-B11.fastq.gz 12016 11636
16S-A-B12-L0_e0049-5-0-A-B12.fastq.gz 15948 15560
16S-A-B12-L1_e0049-8-1-A-B12.fastq.gz 0 0
16S-A-B12-L2_e0050-A-5-2-A-B12.fastq.gz 17393 16829
16S-A-B12-L3_e0050-B-5-3-A-B12.fastq.gz 22559 21862
16S-A-B12-L4_e0049-3-4-A-B12.fastq.gz 10995 10645
16S-A-B12-L5_e0050-A-3-5-A-B12.fastq.gz 18013 17572
16S-A-B12-L6_e0050-B-3-6-A-B12.fastq.gz 4946 4792
16S-A-B12-L7_e0050-8-7-A-B12.fastq.gz 14610 14146
16S-A-B2-L0_e0049-5-0-A-B2.fastq.gz 13679 13220
16S-A-B2-L1_e0049-8-1-A-B2.fastq.gz 8619 8376
16S-A-B2-L2_e0050-A-5-2-A-B2.fastq.gz 26075 25230
16S-A-B2-L3_e0050-B-5-3-A-B2.fastq.gz 20135 19532
16S-A-B2-L4_e0049-3-4-A-B2.fastq.gz 9480 9167
16S-A-B2-L5_e0050-A-3-5-A-B2.fastq.gz 21325 20732
16S-A-B2-L6_e0050-B-3-6-A-B2.fastq.gz 20485 19884
16S-A-B2-L7_e0050-8-7-A-B2.fastq.gz 14324 13923
16S-A-B3-L0_e0049-5-0-A-B3.fastq.gz 12618 12281
16S-A-B3-L1_e0049-8-1-A-B3.fastq.gz 13667 13286
16S-A-B3-L2_e0050-A-5-2-A-B3.fastq.gz 28425 27521
16S-A-B3-L3_e0050-B-5-3-A-B3.fastq.gz 23620 22920
16S-A-B3-L4_e0049-3-4-A-B3.fastq.gz 9180 8897
16S-A-B3-L5_e0050-A-3-5-A-B3.fastq.gz 20464 19886
16S-A-B3-L6_e0050-B-3-6-A-B3.fastq.gz 15037 14612
16S-A-B3-L7_e0050-8-7-A-B3.fastq.gz 11182 10841
16S-A-B4-L0_e0049-5-0-A-B4.fastq.gz 79 77
16S-A-B4-L1_e0049-8-1-A-B4.fastq.gz 89 81
16S-A-B4-L2_e0050-A-5-2-A-B4.fastq.gz 26 23
16S-A-B4-L3_e0050-B-5-3-A-B4.fastq.gz 52 45
16S-A-B4-L4_e0049-3-4-A-B4.fastq.gz 100 72
16S-A-B4-L5_e0050-A-3-5-A-B4.fastq.gz 119 117
16S-A-B4-L6_e0050-B-3-6-A-B4.fastq.gz 119 109
16S-A-B4-L7_e0050-8-7-A-B4.fastq.gz 15 10
16S-A-B5-L0_e0049-5-0-A-B5.fastq.gz 11076 10667
16S-A-B5-L1_e0049-8-1-A-B5.fastq.gz 8765 8476
16S-A-B5-L2_e0050-A-5-2-A-B5.fastq.gz 23996 23255
16S-A-B5-L3_e0050-B-5-3-A-B5.fastq.gz 21403 20724
16S-A-B5-L4_e0049-3-4-A-B5.fastq.gz 9851 9527
16S-A-B5-L5_e0050-A-3-5-A-B5.fastq.gz 12313 11948
16S-A-B5-L6_e0050-B-3-6-A-B5.fastq.gz 9937 9615
16S-A-B5-L7_e0050-8-7-A-B5.fastq.gz 9871 9560
16S-A-B6-L0_e0049-5-0-A-B6.fastq.gz 4583 4434
16S-A-B6-L1_e0049-8-1-A-B6.fastq.gz 1092 1063
16S-A-B6-L2_e0050-A-5-2-A-B6.fastq.gz 5834 5649
16S-A-B6-L3_e0050-B-5-3-A-B6.fastq.gz 7116 6876
16S-A-B6-L4_e0049-3-4-A-B6.fastq.gz 5417 5203
16S-A-B6-L5_e0050-A-3-5-A-B6.fastq.gz 5651 5507
16S-A-B6-L6_e0050-B-3-6-A-B6.fastq.gz 5003 4826
16S-A-B6-L7_e0050-8-7-A-B6.fastq.gz 4649 4502
16S-A-B7-L0_e0049-5-0-A-B7.fastq.gz 8680 8397
16S-A-B7-L1_e0049-8-1-A-B7.fastq.gz 2416 2339
16S-A-B7-L2_e0050-A-5-2-A-B7.fastq.gz 18847 18288
16S-A-B7-L3_e0050-B-5-3-A-B7.fastq.gz 13493 13058
16S-A-B7-L4_e0049-3-4-A-B7.fastq.gz 6527 6308
16S-A-B7-L5_e0050-A-3-5-A-B7.fastq.gz 9093 8825
16S-A-B7-L6_e0050-B-3-6-A-B7.fastq.gz 11608 11244
16S-A-B7-L7_e0050-8-7-A-B7.fastq.gz 8621 8353
16S-A-B8-L0_e0049-5-0-A-B8.fastq.gz 121 112
16S-A-B8-L1_e0049-8-1-A-B8.fastq.gz 0 0
16S-A-B8-L2_e0050-A-5-2-A-B8.fastq.gz 4 3
16S-A-B8-L3_e0050-B-5-3-A-B8.fastq.gz 75 73
16S-A-B8-L4_e0049-3-4-A-B8.fastq.gz 88 73
16S-A-B8-L5_e0050-A-3-5-A-B8.fastq.gz 86 86
16S-A-B8-L6_e0050-B-3-6-A-B8.fastq.gz 73 72
16S-A-B8-L7_e0050-8-7-A-B8.fastq.gz 0 0
16S-A-B9-L0_e0049-5-0-A-B9.fastq.gz 10338 10018
16S-A-B9-L1_e0049-8-1-A-B9.fastq.gz 16 15
16S-A-B9-L2_e0050-A-5-2-A-B9.fastq.gz 6 6
16S-A-B9-L3_e0050-B-5-3-A-B9.fastq.gz 8 7
16S-A-B9-L4_e0049-3-4-A-B9.fastq.gz 6716 6514
16S-A-B9-L5_e0050-A-3-5-A-B9.fastq.gz 25 24
16S-A-B9-L6_e0050-B-3-6-A-B9.fastq.gz 41 38
16S-A-B9-L7_e0050-8-7-A-B9.fastq.gz 8 0
16S-A-C1-L0_e0049-5-0-A-C1.fastq.gz 9462 9219
16S-A-C1-L1_e0049-8-1-A-C1.fastq.gz 5990 5835
16S-A-C1-L2_e0050-A-5-2-A-C1.fastq.gz 27673 26677
16S-A-C1-L3_e0050-B-5-3-A-C1.fastq.gz 28691 27747
16S-A-C1-L4_e0049-3-4-A-C1.fastq.gz 8161 7896
16S-A-C1-L5_e0050-A-3-5-A-C1.fastq.gz 24105 23330
16S-A-C1-L6_e0050-B-3-6-A-C1.fastq.gz 24307 23497
16S-A-C1-L7_e0050-8-7-A-C1.fastq.gz 13350 12937
16S-A-C10-L0_e0049-5-0-A-C10.fastq.gz 13989 13640
16S-A-C10-L1_e0049-8-1-A-C10.fastq.gz 0 0
16S-A-C10-L2_e0050-A-5-2-A-C10.fastq.gz 24037 23353
16S-A-C10-L3_e0050-B-5-3-A-C10.fastq.gz 18847 18320
16S-A-C10-L4_e0049-3-4-A-C10.fastq.gz 8617 8383
16S-A-C10-L5_e0050-A-3-5-A-C10.fastq.gz 7639 7463
16S-A-C10-L6_e0050-B-3-6-A-C10.fastq.gz 8398 8180
16S-A-C10-L7_e0050-8-7-A-C10.fastq.gz 10754 10456
16S-A-C11-L0_e0049-5-0-A-C11.fastq.gz 11000 10731
16S-A-C11-L1_e0049-8-1-A-C11.fastq.gz 0 0
16S-A-C11-L2_e0050-A-5-2-A-C11.fastq.gz 17847 17332
16S-A-C11-L3_e0050-B-5-3-A-C11.fastq.gz 16152 15703
16S-A-C11-L4_e0049-3-4-A-C11.fastq.gz 7071 6891
16S-A-C11-L5_e0050-A-3-5-A-C11.fastq.gz 6826 6626
16S-A-C11-L6_e0050-B-3-6-A-C11.fastq.gz 8402 8158
16S-A-C11-L7_e0050-8-7-A-C11.fastq.gz 12287 11913
16S-A-C12-L0_e0049-5-0-A-C12.fastq.gz 10259 9972
16S-A-C12-L1_e0049-8-1-A-C12.fastq.gz 1 1
16S-A-C12-L2_e0050-A-5-2-A-C12.fastq.gz 15980 15419
16S-A-C12-L3_e0050-B-5-3-A-C12.fastq.gz 17655 17097
16S-A-C12-L4_e0049-3-4-A-C12.fastq.gz 10086 9786
16S-A-C12-L5_e0050-A-3-5-A-C12.fastq.gz 14076 13655
16S-A-C12-L6_e0050-B-3-6-A-C12.fastq.gz 9372 9043
16S-A-C12-L7_e0050-8-7-A-C12.fastq.gz 13350 12928
16S-A-C2-L0_e0049-5-0-A-C2.fastq.gz 12221 11885
16S-A-C2-L1_e0049-8-1-A-C2.fastq.gz 12354 12075
16S-A-C2-L2_e0050-A-5-2-A-C2.fastq.gz 27621 26543
16S-A-C2-L3_e0050-B-5-3-A-C2.fastq.gz 24200 23307
16S-A-C2-L4_e0049-3-4-A-C2.fastq.gz 9657 9375
16S-A-C2-L5_e0050-A-3-5-A-C2.fastq.gz 21311 20572
16S-A-C2-L6_e0050-B-3-6-A-C2.fastq.gz 18976 18199
16S-A-C2-L7_e0050-8-7-A-C2.fastq.gz 12848 12397
16S-A-C3-L0_e0049-5-0-A-C3.fastq.gz 12509 12132
16S-A-C3-L1_e0049-8-1-A-C3.fastq.gz 13190 12883
16S-A-C3-L2_e0050-A-5-2-A-C3.fastq.gz 34384 33061
16S-A-C3-L3_e0050-B-5-3-A-C3.fastq.gz 26599 25675
16S-A-C3-L4_e0049-3-4-A-C3.fastq.gz 8559 8288
16S-A-C3-L5_e0050-A-3-5-A-C3.fastq.gz 15991 15467
16S-A-C3-L6_e0050-B-3-6-A-C3.fastq.gz 14838 14340
16S-A-C3-L7_e0050-8-7-A-C3.fastq.gz 13359 12876
16S-A-C4-L0_e0049-5-0-A-C4.fastq.gz 71 66
16S-A-C4-L1_e0049-8-1-A-C4.fastq.gz 442 433
16S-A-C4-L2_e0050-A-5-2-A-C4.fastq.gz 141 133
16S-A-C4-L3_e0050-B-5-3-A-C4.fastq.gz 62 59
16S-A-C4-L4_e0049-3-4-A-C4.fastq.gz 157 127
16S-A-C4-L5_e0050-A-3-5-A-C4.fastq.gz 18974 18488
16S-A-C4-L6_e0050-B-3-6-A-C4.fastq.gz 320 313
16S-A-C4-L7_e0050-8-7-A-C4.fastq.gz 2 0
