MSI	Alignment ID	Average Rt(min)	Average Mz	Metabolite name	INCHIKEY	Adduct type	Bacte0003_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010945_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010953_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010943_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010967_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010969_KCHU015_QE2	Bacte0003_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010999_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010981_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010955_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_011005_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010965_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010913_KCHU015_QE2	Bacte0126_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010997_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010995_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010927_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010933_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010917_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010985_KCHU015_QE2	EnteC0002_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010919_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_011013_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010957_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010959_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_011009_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_011017_KCHU015_QE2	EnteC0003_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_011023_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010983_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010971_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010935_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010961_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010905_KCHU015_QE2	Lachn0058_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010991_KCHU015_QE2	mBHI_HilicExtraction_F1_R1_T1_Untargeted_DDA_HILICshort_Pos_011021_KCHU015_QE2	mBHI_HilicExtraction_F1_R2_T1_Untargeted_DDA_HILICshort_Pos_011019_KCHU015_QE2	Strep0007_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_011015_KCHU015_QE2	Strep0007_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010987_KCHU015_QE2	Strep0007_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010973_KCHU015_QE2	Strep0007_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010937_KCHU015_QE2	Strep0007_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010907_KCHU015_QE2	Strep0007_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010901_KCHU015_QE2	Strep0017_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010929_KCHU015_QE2	Strep0017_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010939_KCHU015_QE2	Strep0017_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_011011_KCHU015_QE2	Strep0017_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010911_KCHU015_QE2	Strep0017_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010921_KCHU015_QE2	Strep0017_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_011007_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R1_T2_Untargeted_DDA_HILICshort_Pos_010915_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R1_T4_Untargeted_DDA_HILICshort_Pos_010909_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010989_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R2_T2_Untargeted_DDA_HILICshort_Pos_010979_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R2_T4_Untargeted_DDA_HILICshort_Pos_010947_KCHU015_QE2	Tanne0007_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010941_KCHU015_QE2	XFA_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010903_KCHU015_QE2	XFA_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010963_KCHU015_QE2	XFB_HilicExtraction_F1_R1_T48_Untargeted_DDA_HILICshort_Pos_010993_KCHU015_QE2	XFB_HilicExtraction_F1_R2_T48_Untargeted_DDA_HILICshort_Pos_010931_KCHU015_QE2	BK_Pos_1_010897_KCHU015_QE2	BK_Pos_2_010923_KCHU015_QE2	BK_Pos_3_010949_KCHU015_QE2	BK_Pos_4_010975_KCHU015_QE2	BK_Pos_5_011001_KCHU015_QE2	BK_Pos_6_011025_KCHU015_QE2	QC_Pos_1_010899_KCHU015_QE2	QC_Pos_2_010925_KCHU015_QE2	QC_Pos_3_010951_KCHU015_QE2	QC_Pos_4_010977_KCHU015_QE2	QC_Pos_5_011003_KCHU015_QE2	QC_Pos_6_011027_KCHU015_QE2
	4468	2.691	347.15594	Unknown	null	[M+H]+	1145112	1049027	2132828	1068706	968828	2106257	852789	952691	1753357	892124	819154	2091992	940916	339442	266098	959673	100089	336095	962338	799140	294748	862063	861931	290336	878606	1003980	255442	983545	803317	331672	1149696	1196081	1050718	1101199	248570	918782	1239809	287770	923287	1075152	1219498	996521	1147928	1275222	1046326	885824	1768787	1121451	959296	1577795	0	0	373661	319913	0	0	0	0	0	0	723020	714512	867319	846754	889837	810273
	2039	3.027	221.07658	Unknown	null	[M+H]+	853982	1193762	1641348	1088828	918001	1601364	986267	908101	1737208	1093743	972541	1776004	932508	849347	830278	1126288	854496	821834	1149818	966570	687316	1015928	1064525	668826	1027702	967510	1166886	992407	941779	938985	1062241	1318530	996026	1040755	621217	1073110	1114616	702706	1014376	918564	766230	949730	930901	728946	1089204	990890	2134158	1204159	1083558	1800996	31180	0	0	0	0	0	0	0	0	0	975390	895472	891001	973104	1035998	1006112
	5723	2.138	416.1955	Unknown	null	[M+H]+	0	0	1397213	0	0	1262454	0	0	803905	138523	0	820911	0	0	47085	0	28322	0	0	200077	0	0	0	0	0	23642	57648	0	0	0	0	0	0	55192	65536	0	0	62708	0	0	118414	0	0	60144	0	0	2135617	0	0	1905706	0	0	0	0	0	0	0	0	0	0	122121	44614	75564	44360	39700	67967
	5343	2.587	394.15784	Unknown	null	[M+H]+	939434	922420	2139546	1104919	853121	1728571	895725	869092	1749890	903258	1032569	2035451	993138	707026	0	1029087	599482	0	882524	928734	50103	1076740	921534	45512	1025899	981140	0	976802	1181884	0	995385	1109594	942018	958760	584081	998108	1213558	505118	903174	956782	1083560	1022839	1048806	1169935	861594	897506	1561641	1038540	957332	1569376	0	0	77216	76958	0	0	0	0	0	0	763670	796495	927136	884459	859126	926386
	7727	2.811	569.29169	Unknown	null	[M+H]+	53496	58009	593479	73144	84942	518337	0	0	444025	51377	115802	469560	51886	58344	79196	45948	0	80832	71374	70678	0	65597	46565	59428	56830	92209	95237	50746	77808	57725	66035	77913	0	56382	42536	70874	60818	163668	56353	0	146919	103681	111037	187474	92219	69580	928145	77435	94450	953935	1959303	2143884	343263	324287	0	0	0	0	0	0	63378	129074	128908	191890	65406	109652
	5657	2.216	413.27493	Unknown	null	[M+H]+	1552879	1684268	0	1602889	1550373	0	1459569	1382125	592218	1306874	1570860	463092	1698578	1697430	2099650	1599240	1462931	1991045	1606338	1596205	1482260	1563957	1524391	1485520	1418019	1376227	2116390	1501933	1591643	1752574	1588990	2143886	1333052	1253926	967360	1297188	1614768	897077	1403143	1489901	1751460	1562579	1496825	1808931	1741570	1672475	475379	1819298	1633151	427594	94524	0	717122	796455	0	0	0	0	0	0	1257187	1282105	1173589	1137205	1307568	1166001
	7508	2.236	548.25659	Unknown	null	[M+H]+	1039972	898664	465293	1031490	1032304	29520	917940	921718	0	780590	687955	0	953748	1051128	1117616	994208	990540	883699	739497	972647	2061586	951131	828749	1844079	1003782	879251	0	866246	667328	0	1102352	1216224	967574	1002004	2083410	985310	968740	2145028	941490	887475	1538610	994611	969283	1575389	970102	784225	1106256	1023723	972919	1117045	0	0	0	0	0	0	0	0	0	0	812867	842144	799204	805099	821632	782567
	6241	0.586	447.12064	Unknown	null	[M+H]+	33709	144545	333278	31477	48885	160867	31635	37618	125299	48423	53952	54945	163615	813780	2148058	162486	965193	1860774	46855	174003	1200236	48183	261702	983725	80157	47114	232578	84367	123404	248046	0	0	54865	199656	385168	69090	178230	548605	92523	192842	831515	34582	0	987564	62303	50052	201959	53938	93049	160323	0	0	0	0	0	0	0	0	0	0	232303	0	0	132707	0	122550
	2731	2.502	259.2012	Unknown	null	[M+H]+	0	0	189110	0	64412	378359	65202	77342	232531	0	63667	394664	0	0	80844	42432	113225	0	0	0	55237	0	136260	0	0	0	0	0	0	0	103659	101969	0	58790	40809	60894	74319	85013	64577	0	0	0	47425	0	0	0	306780	90666	51887	85920	2054373	2149008	1277164	1301601	0	0	0	0	0	0	44285	82254	142266	0	61791	88772
	2038	2.969	221.07651	Unknown	null	[M+H]+	1300474	1254603	558658	1139892	1093225	596030	1236978	1362018	1246889	1393538	1294455	1259961	1237373	1298158	1661386	1327010	1275930	1621166	1169731	1164571	1623896	1274007	1165972	1690928	1126346	1327321	540071	1265822	1210979	334445	1244602	1242024	1270498	1205114	74765	1140906	1218108	162866	1306125	1189716	1744120	1349180	1260090	1630901	1642290	1194332	2059475	1138668	1421743	2150934	31180	0	0	0	0	0	0	0	0	0	1105400	1167717	1111458	1092227	1138232	1208435
	5575	2.815	408.19748	Unknown	null	[M+H]+	1323797	1251101	1982291	1138996	1339743	1895095	1215802	1440206	1717592	1119780	1198749	1816404	1191066	1183065	1153644	1243155	1335834	1157034	1199664	1209268	1226859	1133597	1204409	1246749	1224161	1271566	1323151	1293062	1091192	1307268	1288237	1475522	1091496	1179215	1198618	1133443	1215118	1368530	1151959	1506442	1256230	1160617	1293244	1676996	1115637	1350316	1619735	1168882	1194461	1420232	250559	268203	2152178	1955346	0	0	0	0	0	0	1186325	1180504	1340697	1363504	1304147	1251938
	3945	2.837	320.12698	Unknown	null	[M+H]+	1227424	1094080	2016983	1223811	1121656	2152768	1097710	993238	1750180	1214522	1121182	1491620	1226670	1058425	1267770	1016105	1223419	1357412	1184237	1165105	983972	1102188	1098064	1087845	987528	1183428	1179610	1071545	1120080	1315084	1333814	1499920	1011149	1380231	1315570	1284950	1237532	1026715	1291166	1249363	1178735	1085192	1208242	1174586	1202891	1219948	1374649	1419214	1114550	1324094	1874922	1898982	1768630	1804315	0	0	0	0	0	0	1109181	1222908	1199908	1234077	1154188	1133937
	5910	0.714	428.14722	Unknown	null	[M+H]+	95193	37906	0	32500	89599	0	76622	0	0	43552	82041	52864	57612	32256	79207	103158	98166	82564	33583	90887	0	75253	0	56166	142017	56095	172702	71178	57768	53186	41640	0	93939	69967	68846	117062	75560	102943	47462	31825	76276	109436	31578	0	208394	74394	100675	0	170999	130216	2153185	2058758	725976	922024	0	0	0	0	0	0	289448	303078	241110	166585	341641	230815
	6324	2.008	452.2771	Unknown	null	[M+2H]2+	534209	952316	932740	488132	830355	198623	264380	1359134	1092512	447494	1220757	1231484	360846	872203	1069388	213424	237687	181433	580350	1558201	1673157	468367	727571	1249786	415614	563634	95095	423508	489058	0	1549697	1596536	646727	825146	835560	624266	926973	1974945	559622	464668	0	596631	371090	53666	509225	1490314	2155510	418870	1178261	1191459	0	0	0	41081	0	0	0	0	0	0	730922	653500	766752	638844	642335	641562
