x
Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae
Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae
Bacteria.Firmicutes.Clostridia.Oscillospirales.Butyricicoccaceae
Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospiraceae
Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae
Bacteria.Firmicutes.Clostridia.Peptostreptococcales.Tissierellales.Family_XI
Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae
Bacteria.Firmicutes.Negativicutes.Veillonellales.Selenomonadales.Veillonellaceae
Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Sutterellaceae
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae
